id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	70801	汝南南城门	1200	20	0.3	1	3
0	22069	汝南南营寨	500	4	0.3	0	4
0	70802	汝南政厅	3000	40	0.3	1	1
0	70803	汝南箭楼	1000	20	0.3	1	2
0	70804	汝南箭楼	1000	20	0.3	1	2
0	70805	汝南箭塔	1000	20	0.3	1	2
0	70806	汝南箭塔	1000	20	0.3	1	2
0	70807	重步兵	700	4	0.3	1	8
0	70808	重步兵	700	4	0.3	1	8
0	70809	重步兵	700	4	0.3	1	8
0	70810	重步兵	700	4	0.3	1	8
0	70811	弩兵	700	4	0.3	1	8
0	70812	弩兵	700	4	0.3	1	8
0	70813	弩兵	700	4	0.3	1	8
0	70814	重步兵	700	4	0.3	1	8
0	70815	重步兵	700	4	0.3	1	8
0	70816	重步兵	700	4	0.3	1	8
0	70817	重步兵	700	4	0.3	1	8
0	70818	弩兵	700	4	0.3	1	8
0	70819	弩兵	700	4	0.3	1	8
0	70820	弩兵	700	4	0.3	1	8
0	70821	弩兵	700	4	0.3	1	8
0	70822	弩兵	700	4	0.3	1	8
0	70823	弩兵	700	4	0.3	1	8
0	70824	弩兵	700	4	0.3	1	8
0	70825	重步兵	700	4	0.3	1	8
0	70826	重步兵	700	4	0.3	1	8
0	70827	重步兵	700	4	0.3	1	8
0	70828	重步兵	700	4	0.3	1	8
0	70829	重步兵	700	4	0.3	1	8
0	70830	重步兵	700	4	0.3	1	8
0	70831	重步兵	700	4	0.3	1	8
0	70832	重步兵	700	4	0.3	1	8
0	70833	重步兵	700	4	0.3	1	8
0	70834	重步兵	700	4	0.3	1	8
0	70835	许靖	2000	4	0.3	1	7
0	70836	重步兵	700	4	0.3	1	8
0	70837	重步兵	700	4	0.3	1	8
0	70838	重步兵	700	4	0.3	1	8
0	70839	重步兵	700	4	0.3	1	8
0	70840	重步兵	700	4	0.3	1	8
0	70841	弩兵	700	4	0.3	1	8
0	70842	弩兵	700	4	0.3	1	8
0	70843	重步兵	700	4	0.3	1	8
0	70844	重步兵	700	4	0.3	1	8
0	70845	弩兵	700	4	0.3	1	8
0	70846	弩兵	700	4	0.3	1	8
0	70847	重步兵	700	4	0.3	1	8
0	70848	重步兵	700	4	0.3	1	8
0	70849	重步兵	700	4	0.3	1	8
0	70850	弩兵	700	4	0.3	1	8
0	70851	弩兵	700	4	0.3	1	8
0	70852	重步兵	700	4	0.3	1	8
0	70853	弩兵	700	4	0.3	1	8
0	70854	弩兵	700	4	0.3	1	8
0	70855	重步兵	700	4	0.3	1	8
0	70856	重步兵	700	4	0.3	1	8
0	70857	重步兵	700	4	0.3	1	8
0	70858	重步兵	700	4	0.3	1	8
0	70859	重步兵	700	4	0.3	1	8
0	70860	重步兵	700	4	0.3	1	8
0	70861	重步兵	700	4	0.3	1	8
0	70862	重步兵	700	4	0.3	1	8
0	70863	重步兵	700	4	0.3	1	8
0	70864	重步兵	700	4	0.3	1	8
0	70865	重步兵	700	4	0.3	1	8
0	70866	重步兵	700	4	0.3	1	8
0	70867	重步兵	700	4	0.3	1	8
0	70868	重步兵	700	4	0.3	1	8
0	70869	弩兵	700	4	0.3	1	8
0	70870	弩兵	700	4	0.3	1	8
0	70871	弩兵	700	4	0.3	1	8
0	70872	弩兵	700	4	0.3	1	8
0	70873	弩兵	700	4	0.3	1	8
0	70874	弩兵	700	4	0.3	1	8
0	70875	弩兵	700	4	0.3	1	8
0	70876	弩兵	700	4	0.3	1	8
0	70877	弩兵	700	4	0.3	1	8
0	70878	弩兵	700	4	0.3	1	8
0	70879	弩兵	700	4	0.3	1	8
0	70880	弩兵	700	4	0.3	1	8
0	70881	弩兵	700	4	0.3	1	8
0	70882	弩兵	700	4	0.3	1	8
0	70883	弩兵	700	4	0.3	1	8
0	70884	弩兵	700	4	0.3	1	8
0	70885	弩兵	700	4	0.3	1	8
0	70886	弩兵	700	4	0.3	1	8
0	70887	弩兵	700	4	0.3	1	8
0	70888	弩兵	700	4	0.3	1	8
0	70889	弩兵	700	4	0.3	1	8
0	70890	弩兵	700	4	0.3	1	8
0	70891	弩兵	700	4	0.3	1	8
0	70892	弩兵	700	4	0.3	1	8
0	70893	弩兵	700	4	0.3	1	8
0	70894	弩兵	700	4	0.3	1	8
0	70895	弩兵	700	4	0.3	1	8
0	70896	弩兵	700	4	0.3	1	8
0	70897	弩兵	700	4	0.3	1	8
0	70898	弩兵	700	4	0.3	1	8
0	70899	弩兵	700	4	0.3	1	8
0	70900	弩兵	700	4	0.3	1	8
0	70901	弩兵	700	4	0.3	1	8
0	70902	弩兵	700	4	0.3	1	8
0	70903	弩兵	700	4	0.3	1	8
0	70904	弩兵	700	4	0.3	1	8
0	70905	弩兵	700	4	0.3	1	8
0	70906	弩兵	700	4	0.3	1	8
0	70907	重步兵	700	4	0.3	1	8
0	70908	重步兵	700	4	0.3	1	8
0	70909	重步兵	700	4	0.3	1	8
0	70910	重步兵	700	4	0.3	1	8
0	70911	弩兵	700	4	0.3	1	8
0	70912	弩兵	700	4	0.3	1	8
0	70913	孔伷	2000	4	0.3	1	7
0	110105	宜春营寨	500	4	0.3	2	4
0	130052	汝南营寨	500	4	0.3	0	4
1	22069	汝南南营寨	500	5	0.3	0	4
1	70801	汝南南城门	1200	20	0.3	1	3
1	70802	汝南政厅	3000	40	0.3	1	1
1	70803	汝南箭楼	1000	20	0.3	1	2
1	70804	汝南箭楼	1000	20	0.3	1	2
1	70805	汝南箭塔	1000	20	0.3	1	2
1	70806	汝南箭塔	1000	20	0.3	1	2
1	70833	重步兵	700	5	0.3	1	8
1	70834	重步兵	700	5	0.3	1	8
1	70835	许靖	2000	5	0.3	1	7
1	70907	重步兵	700	5	0.3	1	8
1	70908	重步兵	700	5	0.3	1	8
1	70909	重步兵	700	5	0.3	1	8
1	70910	重步兵	700	5	0.3	1	8
1	70911	弩兵	700	5	0.3	1	8
1	70912	弩兵	700	5	0.3	1	8
1	70913	孔伷	2000	5	0.3	1	7
1	110105	宜春营寨	1500	8	0.3	2	4
1	120032	汝南防守点	1000	15	3	1	4
1	130052	汝南营寨	500	5	0.3	0	4
2	70802	汝南政厅	3000	40	0.3	1	1
