id	instanceid	靡備	杅講	HP捷杅	馴僻捷杅	淝茠	褒伎濬倰
0	92501	煤栦	3000	40	0.3	1	7
0	92502	殢條	700	4	0.3	1	8
0	92503	殢條	700	4	0.3	1	8
0	92504	殢條	700	4	0.3	1	8
0	92505	殢條	700	4	0.3	1	8
0	92506	殢條	700	4	0.3	1	8
0	92507	殢條	700	4	0.3	1	8
0	92508	殢條	700	4	0.3	1	8
0	92509	殢條	700	4	0.3	1	8
0	92510	殢條	700	4	0.3	1	8
0	92511	殢條	700	4	0.3	1	8
0	92512	殢條	700	4	0.3	1	8
0	92513	殢條	700	4	0.3	1	8
0	92514	殢條	700	4	0.3	1	8
0	92515	笭る條	700	4	0.3	1	8
0	92516	笭る條	700	4	0.3	1	8
0	92517	笭る條	700	4	0.3	1	8
0	92518	笭る條	700	4	0.3	1	8
0	92519	笭る條	700	4	0.3	1	8
0	92520	笭る條	700	4	0.3	1	8
0	92521	笭る條	700	4	0.3	1	8
0	92522	笭る條	700	4	0.3	1	8
0	92523	笭る條	700	4	0.3	1	8
0	92524	笭る條	700	4	0.3	1	8
0	92525	笭る條	700	4	0.3	1	8
0	92526	笭る條	700	4	0.3	1	8
0	92527	笭る條	700	4	0.3	1	8
0	92528	笭る條	700	4	0.3	1	8
0	92529	笭る條	700	4	0.3	1	8
0	92530	笭る條	700	4	0.3	1	8
0	92531	笭る條	700	4	0.3	1	8
0	92532	笭る條	700	4	0.3	1	8
0	92533	笭る條	700	4	0.3	1	8
0	92534	笭る條	700	4	0.3	1	8
0	92535	笭る條	700	4	0.3	1	8
0	92536	笭る條	700	4	0.3	1	8
0	92537	笭る條	700	4	0.3	1	8
0	92538	笭る條	700	4	0.3	1	8
0	92539	笭る條	700	4	0.3	1	8
0	92540	笭る條	700	4	0.3	1	8
0	92541	笭る條	700	4	0.3	1	8
0	92542	笭る條	700	4	0.3	1	8
0	92543	笭る條	700	4	0.3	1	8
0	92544	笭る條	700	4	0.3	1	8
0	92545	笭る條	700	4	0.3	1	8
0	92546	笭る條	700	4	0.3	1	8
0	92547	笭る條	700	4	0.3	1	8
0	92548	笭る條	700	4	0.3	1	8
0	110401	陲壽茠朘	500	4	0.3	2	4
0	130129	憒剕昶茠朘	500	4	0.3	0	4
0	130138	憒剕昶茠朘	500	4	0.3	0	4
1	92501	煤栦	3000	40	0.3	1	7
1	92502	殢條	700	5	0.3	1	8
1	92503	殢條	700	5	0.3	1	8
1	92504	殢條	700	5	0.3	1	8
1	92505	殢條	700	5	0.3	1	8
1	92506	殢條	700	5	0.3	1	8
1	92507	殢條	700	5	0.3	1	8
1	92510	殢條	700	5	0.3	1	8
1	92511	殢條	700	5	0.3	1	8
1	92522	笭る條	700	5	0.3	1	8
1	92523	笭る條	700	5	0.3	1	8
1	92524	笭る條	700	5	0.3	1	8
1	92538	笭る條	700	5	0.3	1	8
1	92539	笭る條	700	5	0.3	1	8
1	92540	笭る條	700	5	0.3	1	8
1	110401	陲壽茠朘	1500	8	0.3	2	4
1	120191	憒剕昶滅忐萸	1000	15	3	1	4
1	130129	憒剕昶茠朘	500	5	0.3	0	4
1	130138	憒剕昶茠朘	500	5	0.3	0	4
2	92501	煤栦	3000	40	0.3	1	9
