id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	76801	商县西城门	1200	20	0.3	1	3
0	22372	洛南营寨	500	4	0.3	0	4
0	22373	商县西南营寨	500	4	0.3	0	4
0	22374	商县西营寨	500	4	0.3	0	4
0	22375	商县北营寨	500	4	0.3	0	4
0	76802	商县南城门	1200	20	0.3	1	3
0	76803	商县北城门	1200	20	0.3	1	3
0	76804	商县政厅	3000	40	0.3	1	1
0	76805	商县箭塔	1000	20	0.3	1	2
0	76806	商县箭塔	1000	20	0.3	1	2
0	76807	王通	2000	4	0.3	1	7
0	76808	李力	2000	4	0.3	1	7
0	76809	萧演	2000	4	0.3	1	7
0	76810	赵浑	2000	4	0.3	1	7
0	76811	弓箭兵	700	4	0.3	1	8
0	76812	弓箭兵	700	4	0.3	1	8
0	76813	弓箭兵	700	4	0.3	1	8
0	76814	弓箭兵	700	4	0.3	1	8
0	76815	弓箭兵	700	4	0.3	1	8
0	76816	弓箭兵	700	4	0.3	1	8
0	76817	弓箭兵	700	4	0.3	1	8
0	76818	弓箭兵	700	4	0.3	1	8
0	76819	弓箭兵	700	4	0.3	1	8
0	76820	弓箭兵	700	4	0.3	1	8
0	76821	弓箭兵	700	4	0.3	1	8
0	76822	弓箭兵	700	4	0.3	1	8
0	76823	弓箭兵	700	4	0.3	1	8
0	76824	弓箭兵	700	4	0.3	1	8
0	76825	弓箭兵	700	4	0.3	1	8
0	76826	弓箭兵	700	4	0.3	1	8
0	76827	弓箭兵	700	4	0.3	1	8
0	76828	弓箭兵	700	4	0.3	1	8
0	76829	弓箭兵	700	4	0.3	1	8
0	76830	弓箭兵	700	4	0.3	1	8
0	76831	弓箭兵	700	4	0.3	1	8
0	76832	弓箭兵	700	4	0.3	1	8
0	76833	弓箭兵	700	4	0.3	1	8
0	76834	弓箭兵	700	4	0.3	1	8
0	76835	弓箭兵	700	4	0.3	1	8
0	76836	弓箭兵	700	4	0.3	1	8
0	76837	弓箭兵	700	4	0.3	1	8
0	76838	弓箭兵	700	4	0.3	1	8
0	76839	弓箭兵	700	4	0.3	1	8
0	76840	弓箭兵	700	4	0.3	1	8
0	76841	弓箭兵	700	4	0.3	1	8
0	76842	弓箭兵	700	4	0.3	1	8
0	76843	弓箭兵	700	4	0.3	1	8
0	76844	弓箭兵	700	4	0.3	1	8
0	76845	弓箭兵	700	4	0.3	1	8
0	76846	弓箭兵	700	4	0.3	1	8
0	76847	弓箭兵	700	4	0.3	1	8
0	76848	弓箭兵	700	4	0.3	1	8
0	76849	弓箭兵	700	4	0.3	1	8
0	76850	弓箭兵	700	4	0.3	1	8
0	76851	重步兵	700	4	0.3	1	8
0	76852	重步兵	700	4	0.3	1	8
0	76853	弓箭兵	700	4	0.3	1	8
0	76854	弓箭兵	700	4	0.3	1	8
0	76855	重步兵	700	4	0.3	1	8
0	76856	弓箭兵	700	4	0.3	1	8
0	76857	弓箭兵	700	4	0.3	1	8
0	76858	重步兵	700	4	0.3	1	8
0	76859	重步兵	700	4	0.3	1	8
0	76860	弓箭兵	700	4	0.3	1	8
0	76861	弓箭兵	700	4	0.3	1	8
0	76862	重步兵	700	4	0.3	1	8
0	76863	弓箭兵	700	4	0.3	1	8
0	76864	弓箭兵	700	4	0.3	1	8
0	76865	重步兵	700	4	0.3	1	8
0	76866	重步兵	700	4	0.3	1	8
0	76867	弓箭兵	700	4	0.3	1	8
0	76868	重步兵	700	4	0.3	1	8
0	76869	重步兵	700	4	0.3	1	8
0	76870	重步兵	700	4	0.3	1	8
0	76871	重步兵	700	4	0.3	1	8
0	76872	重步兵	700	4	0.3	1	8
0	76873	重骑兵	700	4	0.3	1	8
0	76874	重步兵	700	4	0.3	1	8
0	76875	重步兵	700	4	0.3	1	8
0	76876	重步兵	700	4	0.3	1	8
0	76877	重步兵	700	4	0.3	1	8
0	76878	重步兵	700	4	0.3	1	8
0	76879	重步兵	700	4	0.3	1	8
0	76880	重步兵	700	4	0.3	1	8
0	76881	重步兵	700	4	0.3	1	8
0	76882	重步兵	700	4	0.3	1	8
0	76883	弓箭兵	700	4	0.3	1	8
0	76884	弓箭兵	700	4	0.3	1	8
0	76885	重骑兵	700	4	0.3	1	8
0	76886	重骑兵	700	4	0.3	1	8
0	76887	重步兵	700	4	0.3	1	8
0	76888	重步兵	700	4	0.3	1	8
0	76889	弓箭兵	700	4	0.3	1	8
0	76890	弓箭兵	700	4	0.3	1	8
0	76891	弓箭兵	700	4	0.3	1	8
0	76892	重骑兵	700	4	0.3	1	8
0	76893	重骑兵	700	4	0.3	1	8
0	76894	重步兵	700	4	0.3	1	8
0	76895	重步兵	700	4	0.3	1	8
0	76896	重步兵	700	4	0.3	1	8
0	76897	弓箭兵	700	4	0.3	1	8
0	76898	弓箭兵	700	4	0.3	1	8
0	76899	重步兵	700	4	0.3	1	8
0	76900	重步兵	700	4	0.3	1	8
0	76901	重步兵	700	4	0.3	1	8
0	76902	重步兵	700	4	0.3	1	8
0	76903	重步兵	700	4	0.3	1	8
0	76904	重骑兵	700	4	0.3	1	8
0	76905	重骑兵	700	4	0.3	1	8
0	76906	弓箭兵	700	4	0.3	1	8
0	76907	重步兵	700	4	0.3	1	8
0	76908	重步兵	700	4	0.3	1	8
0	76909	重骑兵	700	4	0.3	1	8
0	76910	重骑兵	700	4	0.3	1	8
0	76911	重步兵	700	4	0.3	1	8
0	76912	重步兵	700	4	0.3	1	8
0	76913	弓箭兵	700	4	0.3	1	8
0	76914	弓箭兵	700	4	0.3	1	8
0	76915	弓箭兵	700	4	0.3	1	8
0	76916	弓箭兵	700	4	0.3	1	8
0	76917	重步兵	700	4	0.3	1	8
0	76918	重步兵	700	4	0.3	1	8
0	76919	重步兵	700	4	0.3	1	8
0	76920	重步兵	700	4	0.3	1	8
0	76921	重步兵	700	4	0.3	1	8
0	76922	重步兵	700	4	0.3	1	8
0	76923	重骑兵	700	4	0.3	1	8
0	76924	重骑兵	700	4	0.3	1	8
0	76925	重步兵	700	4	0.3	1	8
0	76926	重步兵	700	4	0.3	1	8
0	76927	重步兵	700	4	0.3	1	8
0	76928	重步兵	700	4	0.3	1	8
0	76929	重步兵	700	4	0.3	1	8
0	76930	重步兵	700	4	0.3	1	8
0	76931	弓箭兵	700	4	0.3	1	8
0	76932	弓箭兵	700	4	0.3	1	8
