id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	30200	寿春城门	1200	15	0.3	1	3
0	30201	寿春城门	1200	15	0.3	1	3
0	30202	寿春政厅	3000	30	0.3	1	1
0	30203	寿春箭塔	1000	12	0.3	1	2
0	30204	寿春箭塔	1000	12	0.3	1	2
0	30205	寿春箭塔	1000	12	0.3	1	2
0	30206	寿春箭塔	1000	12	0.3	1	2
0	30207	寿春据点1	800	5	0.3	0	4
0	30208	寿春据点2	800	5	0.3	0	4
0	30209	寿春据点3	800	5	0.3	0	4
0	30210	寿春据点4	800	5	0.3	0	4
0	30211	寿春出生点	1500	8	0.3	2	4
0	30212	寿春防守点	700	1.5	0.3	1	4
0	30213	袁术	3000	4	0.3	1	7
0	30214	乐就	2000	4	0.3	1	7
0	30215	李丰	2000	4	0.3	1	7
0	30216	虎卫营	700	3	0.3	1	8
0	30217	虎卫营	700	3	0.3	1	8
0	30218	虎卫营	700	3	0.3	1	8
0	30219	虎卫营	700	3	0.3	1	8
0	30220	虎卫营	700	3	0.3	1	8
0	30221	虎卫营	700	3	0.3	1	8
0	30222	虎卫营	700	3	0.3	1	8
0	30223	虎卫营	700	3	0.3	1	8
0	30224	虎卫营	700	3	0.3	1	8
0	30225	虎卫营	700	3	0.3	1	8
0	30226	虎卫营	700	3	0.3	1	8
0	30227	虎卫营	700	3	0.3	1	8
0	30228	虎卫营	700	3	0.3	1	8
0	30229	虎卫营	700	3	0.3	1	8
0	30230	虎卫营	700	3	0.3	1	8
0	30231	虎卫营	700	3	0.3	1	8
0	30232	虎卫营	700	3	0.3	1	8
0	30233	虎卫营	700	3	0.3	1	8
0	30234	虎卫营	700	3	0.3	1	8
0	30235	虎卫营	700	3	0.3	1	8
0	30236	弩兵	700	3	0.3	1	8
0	30237	弩兵	700	3	0.3	1	8
0	30238	弩兵	700	3	0.3	1	8
0	30239	弩兵	700	3	0.3	1	8
0	30240	弩兵	700	3	0.3	1	8
0	30241	弩兵	700	3	0.3	1	8
0	30242	弩兵	700	3	0.3	1	8
0	30243	弩兵	700	3	0.3	1	8
0	30244	弩兵	700	3	0.3	1	8
0	30245	弩兵	700	3	0.3	1	8
0	30246	虎卫营	700	3	0.3	1	8
0	30247	虎卫营	700	3	0.3	1	8
0	30248	虎卫营	700	3	0.3	1	8
0	30249	虎卫营	700	3	0.3	1	8
0	30250	虎卫营	700	3	0.3	1	8
0	30251	虎卫营	700	3	0.3	1	8
0	30252	虎卫营	700	3	0.3	1	8
0	30253	虎卫营	700	3	0.3	1	8
0	30254						
1	30200	寿春城门	1200	15	0.3	1	3
1	30201	寿春城门	1200	15	0.3	1	3
1	30202	寿春政厅	3000	40	0.3	1	1
1	30203	寿春箭塔	1200	18	0.5	1	2
1	30204	寿春箭塔	1200	18	0.5	1	2
1	30205	寿春箭塔	1200	18	0.5	1	2
1	30206	寿春箭塔	1200	18	0.5	1	2
1	30207	寿春据点1	1000	4	0.3	0	4
1	30208	寿春据点2	1000	4	0.3	0	4
1	30209	寿春据点3	1000	4	0.3	0	4
1	30210	寿春据点4	1000	4	0.3	0	4
1	30211	寿春出生点	1500	8	0.3	2	4
1	30212	寿春防守点	1000	1.5	3	1	4
1	30213	袁术	3000	6	0.8	1	7
1	30214	乐就	2000	6	0.5	1	7
1	30215	李丰	2000	6	0.5	1	7
1	30216	虎卫营	700	5	0.3	1	8
1	30217	虎卫营	700	5	0.3	1	8
1	30218	虎卫营	700	5	0.3	1	8
1	30219	虎卫营	700	5	0.3	1	8
1	30220	虎卫营	700	5	0.3	1	8
1	30221	虎卫营	700	5	0.3	1	8
1	30222	虎卫营	700	5	0.3	1	8
1	30223	虎卫营	700	5	0.3	1	8
1	30224	虎卫营	700	5	0.3	1	8
1	30225	虎卫营	700	5	0.3	1	8
1	30226	虎卫营	700	5	0.3	1	8
1	30227	虎卫营	700	5	0.3	1	8
1	30228	虎卫营	700	5	0.3	1	8
1	30229	虎卫营	700	5	0.3	1	8
1	30230	虎卫营	700	5	0.3	1	8
1	30231	虎卫营	700	5	0.3	1	8
1	30232	虎卫营	700	5	0.3	1	8
1	30233	虎卫营	700	5	0.3	1	8
1	30234	虎卫营	700	5	0.3	1	8
1	30235	虎卫营	700	5	0.3	1	8
1	30236	弩兵	700	5	0.3	1	8
1	30237	弩兵	700	5	0.3	1	8
1	30238	弩兵	700	5	0.3	1	8
1	30239	弩兵	700	5	0.3	1	8
1	30240	弩兵	700	5	0.3	1	8
1	30241	弩兵	700	5	0.3	1	8
1	30242	弩兵	700	5	0.3	1	8
1	30243	弩兵	700	5	0.3	1	8
1	30244	弩兵	700	5	0.3	1	8
1	30245	弩兵	700	5	0.3	1	8
1	30246	虎卫营	700	5	0.3	1	8
1	30247	虎卫营	700	5	0.3	1	8
1	30248	虎卫营	700	5	0.3	1	8
1	30249	虎卫营	700	5	0.3	1	8
1	30250	虎卫营	700	5	0.3	1	8
1	30251	虎卫营	700	5	0.3	1	8
1	30252	虎卫营	700	5	0.3	1	8
1	30253	虎卫营	700	5	0.3	1	8
1	30254						
2	30202	寿春政厅	3000	30	0.3	1	1
50	30255	犀利的山贼	3200	5	0.4	3	7
51	30256	亢奋的山贼	3200	5	0.4	3	7
52	30257	坚韧的山贼	3200	5	0.4	3	7
53	30258	激昂的山贼	3200	5	0.4	3	7
