id	instanceid	Ãû³Æ	ÊýÁ¿	HP±¶Êý	¹¥»÷±¶Êý	ÕóÓª	½ÇÉ«ÀàÐÍ
0	21167	Ð¡ÅæÎ÷³ÇÃÅ	1200	20	0.3	1	3
0	21168	Ð¡ÅæÄÏ³ÇÃÅ	1200	20	0.3	1	3
0	21169	Ð¡Åæ¶«³ÇÃÅ	1200	20	0.3	1	3
0	21170	Ð¡ÅæÕþÌü	3000	40	0.3	1	1
0	21171	Ð¡Åæ¼ýËþ	1000	20	0.3	1	2
0	21172	Ð¡Åæ¼ýËþ	1000	20	0.3	1	2
0	22101	Ð¡ÅæÄÏÓªÕ¯	500	4	0.3	0	4
0	67401	¼ýÂ¥	1000	20	0.3	1	2
0	67402	ÖØ²½±ø	700	4	0.3	1	8
0	67403	ÖØ²½±ø	700	4	0.3	1	8
0	67404	ÇáÆï±ø	700	4	0.3	1	8
0	67405	ÇáÆï±ø	700	4	0.3	1	8
0	67406	ÇáÆï±ø	700	4	0.3	1	8
0	67407	ÇáÆï±ø	700	4	0.3	1	8
0	67408	ÇáÆï±ø	700	4	0.3	1	8
0	67409	ÇáÆï±ø	700	4	0.3	1	8
0	67410	åó±ø	700	4	0.3	1	8
0	67411	åó±ø	700	4	0.3	1	8
0	67412	Îâ¶Ø	2000	4	0.3	1	7
0	67413	åó±ø	700	4	0.3	1	8
0	67414	åó±ø	700	4	0.3	1	8
0	67415	åó±ø	700	4	0.3	1	8
0	67416	åó±ø	700	4	0.3	1	8
0	67417	åó±ø	700	4	0.3	1	8
0	67418	åó±ø	700	4	0.3	1	8
0	67419	²Ü±ª	2000	4	0.3	1	7
0	67420	ÇáÆï±ø	700	4	0.3	1	8
0	67421	ÇáÆï±ø	700	4	0.3	1	8
0	67422	åó±ø	700	4	0.3	1	8
0	67423	åó±ø	700	4	0.3	1	8
0	67424	Ëï¹Û	2000	4	0.3	1	7
0	67425	åó±ø	700	4	0.3	1	8
0	67426	åó±ø	700	4	0.3	1	8
0	67427	åó±ø	700	4	0.3	1	8
0	67428	åó±ø	700	4	0.3	1	8
0	67429	åó±ø	700	4	0.3	1	8
0	67430	åó±ø	700	4	0.3	1	8
0	67431	åó±ø	700	4	0.3	1	8
0	67432	åó±ø	700	4	0.3	1	8
0	67433	åó±ø	700	4	0.3	1	8
0	67434	åó±ø	700	4	0.3	1	8
0	67435	åó±ø	700	4	0.3	1	8
0	67436	åó±ø	700	4	0.3	1	8
0	67437	åó±ø	700	4	0.3	1	8
0	67438	åó±ø	700	4	0.3	1	8
0	67439	åó±ø	700	4	0.3	1	8
0	67440	åó±ø	700	4	0.3	1	8
0	67441	åó±ø	700	4	0.3	1	8
0	67442	åó±ø	700	4	0.3	1	8
0	67443	åó±ø	700	4	0.3	1	8
0	67444	åó±ø	700	4	0.3	1	8
0	67445	åó±ø	700	4	0.3	1	8
0	67446	åó±ø	700	4	0.3	1	8
0	67447	åó±ø	700	4	0.3	1	8
0	67448	åó±ø	700	4	0.3	1	8
0	67449	åó±ø	700	4	0.3	1	8
0	67450	åó±ø	700	4	0.3	1	8
0	67451	åó±ø	700	4	0.3	1	8
0	67452	åó±ø	700	4	0.3	1	8
0	67453	åó±ø	700	4	0.3	1	8
0	67454	åó±ø	700	4	0.3	1	8
0	67455	åó±ø	700	4	0.3	1	8
0	67456	ÇáÆï±ø	700	4	0.3	1	8
0	67457	ÇáÆï±ø	700	4	0.3	1	8
0	67458	ÖØ²½±ø	700	4	0.3	1	8
0	67459	ÖØ²½±ø	700	4	0.3	1	8
0	67460	ÖØ²½±ø	700	4	0.3	1	8
0	67461	ÖØ²½±ø	700	4	0.3	1	8
0	67462	³Â«•	2000	4	0.3	1	7
0	67463	åó±ø	700	4	0.3	1	8
0	67464	åó±ø	700	4	0.3	1	8
0	67465	ÖØ²½±ø	700	4	0.3	1	8
0	67466	ÖØ²½±ø	700	4	0.3	1	8
0	67467	åó±ø	700	4	0.3	1	8
0	67468	åó±ø	700	4	0.3	1	8
0	67469	ÖØ²½±ø	700	4	0.3	1	8
0	67470	ÖØ²½±ø	700	4	0.3	1	8
0	67471	ÖØ²½±ø	700	4	0.3	1	8
0	67472	ÖØ²½±ø	700	4	0.3	1	8
0	67473	ÇáÆï±ø	700	4	0.3	1	8
0	67474	ÖØ²½±ø	700	4	0.3	1	8
0	67475	ÇáÆï±ø	700	4	0.3	1	8
0	67476	ÖØ²½±ø	700	4	0.3	1	8
0	67477	ÖØ²½±ø	700	4	0.3	1	8
0	67478	ÇáÆï±ø	700	4	0.3	1	8
0	67479	ÖØ²½±ø	700	4	0.3	1	8
0	67480	ÖØ²½±ø	700	4	0.3	1	8
0	67481	ÇáÆï±ø	700	4	0.3	1	8
0	67482	ÇáÆï±ø	700	4	0.3	1	8
0	67483	åó±ø	700	4	0.3	1	8
0	67484	ÖØ²½±ø	700	4	0.3	1	8
0	67485	ÖØ²½±ø	700	4	0.3	1	8
0	67486	ê°°Ô	2000	4	0.3	1	7
0	67487	ÖØ²½±ø	700	4	0.3	1	8
0	67488	ÖØ²½±ø	700	4	0.3	1	8
0	67489	ÇáÆï±ø	700	4	0.3	1	8
0	67490	ÇáÆï±ø	700	4	0.3	1	8
0	67491	ÇáÆï±ø	700	4	0.3	1	8
0	110077	È¡ÂÇÓªÕ¯	500	4	0.3	2	4
0	130039	Ð¡ÅæÓªÕ¯	500	4	0.3	0	4
0	130040	Ð¡ÅæÓªÕ¯	500	4	0.3	0	4
1	21167	Ð¡ÅæÎ÷³ÇÃÅ	1200	20	0.3	1	3
1	21168	Ð¡ÅæÄÏ³ÇÃÅ	1200	20	0.3	1	3
1	21169	Ð¡Åæ¶«³ÇÃÅ	1200	20	0.3	1	3
1	21170	Ð¡ÅæÕþÌü	3000	40	0.3	1	1
1	21171	Ð¡Åæ¼ýËþ	1000	20	0.3	1	2
1	21172	Ð¡Åæ¼ýËþ	1000	20	0.3	1	2
1	22101	Ð¡ÅæÄÏÓªÕ¯	500	5	0.3	0	4
1	67401	¼ýÂ¥	1000	20	0.3	1	2
1	67410	åó±ø	700	5	0.3	1	8
1	67411	åó±ø	700	5	0.3	1	8
