id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	23500	邪龙大门	800	15	0.3	1	3
0	23501	邪龙营寨	2000	10	0.3	2	4
0	23503	复活旗1	500	4	0.3	0	4
0	23504	复活旗2	500	4	0.3	0	4
0	23505	孟悦	2000	4	0.5	1	7
0	23506	孟优	3000	4	0.8	1	7
0	23507	重步兵	400	3	0.3	1	8
0	23508	重步兵	400	3	0.3	1	8
0	23509	重步兵	400	3	0.3	1	8
0	23510	重步兵	400	3	0.3	1	8
0	23511	重步兵	400	3	0.3	1	8
0	23512	重步兵	400	3	0.3	1	8
0	23513	重步兵	400	3	0.3	1	8
0	23514	重步兵	400	3	0.3	1	8
0	23515	重步兵	400	3	0.3	1	8
0	23516	重步兵	400	3	0.3	1	8
0	23517	重步兵	400	3	0.3	1	8
0	23518	重步兵	400	3	0.3	1	8
0	23519	重步兵	400	3	0.3	1	8
0	23520	重步兵	400	3	0.3	1	8
0	23521	重步兵	400	3	0.3	1	8
0	23522	虎卫营	400	3	0.3	1	8
0	23523	虎卫营	400	3	0.3	1	8
0	23524	虎卫营	400	3	0.3	1	8
0	23525	虎卫营	400	3	0.3	1	8
0	23526	弩兵	400	3	0.3	1	8
0	23527	弩兵	400	3	0.3	1	8
0	23528	弩兵	400	3	0.3	1	8
0	23529	弩兵	400	3	0.3	1	8
0	23530	弩兵	400	3	0.3	1	8
0	23531	弩兵	400	3	0.3	1	8
0	23532	虎卫营	400	3	0.3	1	8
0	23533	虎卫营	400	3	0.3	1	8
0	23534	虎卫营	400	3	0.3	1	8
0	23535	虎卫营	400	3	0.3	1	8
1	23500	邪龙大门	800	20	0.3	1	3
1	23501	邪龙营寨	2000	10	0.3	2	4
1	23502	复活点	1000	8	3	1	4
1	23503	复活旗1	1000	4	0.3	0	4
1	23504	复活旗2	1000	4	0.3	0	4
1	23566	孟悦	2000	5	0.5	1	7
1	23506	孟优	3000	5	0.8	1	7
1	23526	弩兵	700	5	0.3	1	8
1	23527	弩兵	700	5	0.3	1	8
1	23528	弩兵	700	5	0.3	1	8
1	23529	弩兵	700	5	0.3	1	8
1	23530	弩兵	700	5	0.3	1	8
1	23531	弩兵	700	5	0.3	1	8
2	23506	孟优	3000	4	0.8	1	7
10	23536	乔巴巴	400	2	0.3	2	8
10	23537	乔巴巴	400	2	0.3	2	8
10	23538	乔巴巴	400	2	0.3	2	8
11	23539	说翻就翻	400	2	0.3	2	8
11	23540	说翻就翻	400	2	0.3	2	8
11	23541	说翻就翻	400	2	0.3	2	8
12	23542	旺尼玛	400	2	0.3	2	8
12	23543	旺尼玛	400	2	0.3	2	8
12	23544	旺尼玛	400	2	0.3	2	8
13	23545	李潮羊	400	2	0.3	2	8
13	23546	李潮羊	400	2	0.3	2	8
13	23547	李潮羊	400	2	0.3	2	8
14	23548	我就是大佬	1200	25	20	2	8
14	23549	我就是大佬	1200	25	20	2	8
14	23550	我就是大佬	1200	25	20	2	8
20	23551	城防援军	400	2	0.3	1	8
20	23552	城防援军	400	2	0.3	1	8
20	23553	城防援军	400	2	0.3	1	8
20	23554	城防援军	400	2	0.3	1	8
20	23555	城防援军	400	2	0.3	1	8
20	23556	城防援军	400	2	0.3	1	8
21	23557	城防援军	400	2	0.3	1	8
21	23558	城防援军	400	2	0.3	1	8
21	23559	城防援军	400	2	0.3	1	8
22	23560	城防援军	400	2	0.3	1	8
22	23561	城防援军	400	2	0.3	1	8
22	23562	城防援军	400	2	0.3	1	8
23	23563	城防援军	400	2	0.3	1	8
23	23564	城防援军	400	2	0.3	1	8
23	23565	城防援军	400	2	0.3	1	8
40	23505	孟悦	2000	3	0.5	1	7
41	23506	孟优	3000	4	0.8	1	7
