id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	80001	西平东城门	1200	20	0.3	1	3
0	22411	西平东营寨	500	4	0.3	0	4
0	80002	西平西城门	1200	20	0.3	1	3
0	80003	西平政厅	3000	40	0.3	1	1
0	80004	西平箭塔	1000	20	0.3	1	2
0	80005	西平箭塔	1000	20	0.3	1	2
0	80006	杜畿	2000	4	0.3	1	7
0	80007	西凉铁骑	700	4	0.3	1	8
0	80008	西凉铁骑	700	4	0.3	1	8
0	80009	西凉铁骑	700	4	0.3	1	8
0	80010	西凉铁骑	700	4	0.3	1	8
0	80011	标枪兵	700	4	0.3	1	8
0	80012	标枪兵	700	4	0.3	1	8
0	80013	标枪兵	700	4	0.3	1	8
0	80014	标枪兵	700	4	0.3	1	8
0	80015	标枪兵	700	4	0.3	1	8
0	80016	标枪兵	700	4	0.3	1	8
0	80017	弩兵	700	4	0.3	1	8
0	80018	弩兵	700	4	0.3	1	8
0	80019	弩兵	700	4	0.3	1	8
0	80020	弩兵	700	4	0.3	1	8
0	80021	杜充	2000	4	0.3	1	7
0	80022	标枪兵	700	4	0.3	1	8
0	80023	标枪兵	700	4	0.3	1	8
0	80024	标枪兵	700	4	0.3	1	8
0	80025	标枪兵	700	4	0.3	1	8
0	80026	重步兵	700	4	0.3	1	8
0	80027	重步兵	700	4	0.3	1	8
0	80028	弩兵	700	4	0.3	1	8
0	80029	弩兵	700	4	0.3	1	8
0	80030	弩兵	700	4	0.3	1	8
0	80031	弩兵	700	4	0.3	1	8
0	80032	弩兵	700	4	0.3	1	8
0	80033	弩兵	700	4	0.3	1	8
0	80034	弩兵	700	4	0.3	1	8
0	80035	弩兵	700	4	0.3	1	8
0	80036	弩兵	700	4	0.3	1	8
0	80037	弩兵	700	4	0.3	1	8
0	80038	杜坤	2000	4	0.3	1	7
0	80039	标枪兵	700	4	0.3	1	8
0	80040	标枪兵	700	4	0.3	1	8
0	80041	标枪兵	700	4	0.3	1	8
0	80042	标枪兵	700	4	0.3	1	8
0	80043	标枪兵	700	4	0.3	1	8
0	80044	标枪兵	700	4	0.3	1	8
0	80045	弩兵	700	4	0.3	1	8
0	80046	弩兵	700	4	0.3	1	8
0	80047	弩兵	700	4	0.3	1	8
0	80048	弩兵	700	4	0.3	1	8
0	80049	弩兵	700	4	0.3	1	8
0	80050	弩兵	700	4	0.3	1	8
0	80051	弩兵	700	4	0.3	1	8
0	80052	弩兵	700	4	0.3	1	8
0	80053	西平西营寨	500	4	0.3	0	4
0	80054	重步兵	700	4	0.3	1	8
0	80055	重步兵	700	4	0.3	1	8
0	80056	弩兵	700	4	0.3	1	8
0	80057	弩兵	700	4	0.3	1	8
0	80058	箭楼	1000	20	0.3	1	2
0	80059	重步兵	700	4	0.3	1	8
0	80060	重步兵	700	4	0.3	1	8
0	80061	弩兵	700	4	0.3	1	8
0	80062	弩兵	700	4	0.3	1	8
0	80063	弩兵	700	4	0.3	1	8
0	80064	弩兵	700	4	0.3	1	8
0	80065	重步兵	700	4	0.3	1	8
0	80066	重步兵	700	4	0.3	1	8
0	80067	重骑兵	700	4	0.3	1	8
0	80068	重步兵	700	4	0.3	1	8
0	80069	弩兵	700	4	0.3	1	8
0	80070	弩兵	700	4	0.3	1	8
0	80071	弩兵	700	4	0.3	1	8
0	80072	弩兵	700	4	0.3	1	8
0	80073	重步兵	700	4	0.3	1	8
0	80074	重步兵	700	4	0.3	1	8
0	80075	重骑兵	700	4	0.3	1	8
0	80076	重步兵	700	4	0.3	1	8
0	80077	重步兵	700	4	0.3	1	8
0	80078	弩兵	700	4	0.3	1	8
0	80079	弩兵	700	4	0.3	1	8
0	80080	弩兵	700	4	0.3	1	8
0	80081	弩兵	700	4	0.3	1	8
0	110188	龙夷营寨	500	4	0.3	2	4
1	22411	西平东营寨	500	5	0.3	0	4
1	80001	西平东城门	1200	20	0.3	1	3
1	80002	西平西城门	1200	20	0.3	1	3
1	80003	西平政厅	3000	40	0.3	1	1
1	80004	西平箭塔	1000	20	0.3	1	2
1	80005	西平箭塔	1000	20	0.3	1	2
1	80006	杜畿	2000	5	0.3	1	7
1	80007	西凉铁骑	700	5	0.3	1	8
1	80008	西凉铁骑	700	5	0.3	1	8
1	80009	西凉铁骑	700	5	0.3	1	8
1	80010	西凉铁骑	700	5	0.3	1	8
1	80011	标枪兵	700	5	0.3	1	8
1	80012	标枪兵	700	5	0.3	1	8
1	80017	弩兵	700	5	0.3	1	8
1	80018	弩兵	700	5	0.3	1	8
1	80019	弩兵	700	5	0.3	1	8
1	80020	弩兵	700	5	0.3	1	8
1	80034	弩兵	700	5	0.3	1	8
1	80035	弩兵	700	5	0.3	1	8
1	80045	弩兵	700	5	0.3	1	8
1	80046	弩兵	700	5	0.3	1	8
1	80053	西平西营寨	500	5	0.3	0	4
1	110188	龙夷营寨	1500	8	0.3	2	4
1	120005	西平防守点	1000	15	3	1	4
2	80003	西平政厅	3000	40	0.3	1	1
10	110187	安夷营寨	500	5	0.3	2	4
10	110187	安夷营寨	500	5	0.3	2	4
