id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	710001	董卓	1000	10	1	2	13
6	710002	百姓	1000	10	1	2	12
0	710003	张牛角	1000	10	1	1	7
1	710004	张燕	1000	10	1	1	7
0	710005	周仓	1000	10	1	1	7
3	710006	张宝	1000	10	1	1	7
16	710007	郭计华	1000	10	1	1	7
7	710008	张梁	1000	10	1	1	7
17	710009	张梁	1000	10	1	1	7
10	710010	董卓	1000	10	1	1	7
0	710011	张角	1000	10	1	1	7
12	710012	张角	1000	10	1	1	7
13	710013	张角	1000	10	1	1	7
14	710014	张角	1000	10	1	1	8
4	710015	拒马	1000	10	1	0	0
2	710016	拒马	1000	10	1	0	0
5	710017	拒马	1000	10	1	0	0
15	710018	拒马	1000	10	1	0	0
15	710019	拒马	1000	10	1	0	0
15	710020	拒马	1000	10	1	0	0
0	710021	恢复水井	1000	10	1	0	0
8	710022	宝箱	1000	10	1	0	0
20	710001	董卓	1000	10	1	2	13
