id	instanceid	靡備	杅講	HP捷杅	馴僻捷杅	淝茠	褒伎濬倰
0	21191	眢儔淉泆	1	0.48	1	1	1
0	21192	眢儔傑藷1	1	0.005	0.009	1	3
0	21193	眢儔傑藷2	1	0.005	0.009	1	3
0	21194	眢儔璋坢1	1	0.001	0.04	1	2
0	21195	眢儔璋坢2	1	0.001	0.04	1	2
0	63401	旆詼	1	20000	20000	1	7
0	63402	芼る條	1000	1	1	1	8
0	63403	芼る條	1000	1	1	1	8
0	63404	芼る條	1000	1	1	1	8
0	63405	芼る條	1000	1	1	1	8
0	63406	芼る條	1000	1	1	1	8
0	63407	殢條	1000	1	1	1	8
0	63408	芼る條	1000	1	1	1	8
0	63409	殢條	1000	1	1	1	8
0	63410	芼る條	1000	1	1	1	8
0	63411	芼る條	1000	1	1	1	8
0	63412	芼る條	1000	1	1	1	8
0	63413	芼る條	1000	1	1	1	8
0	63414	殢條	1000	1	1	1	8
0	63415	殢條	1000	1	1	1	8
0	63416	芼る條	1000	1	1	1	8
0	63417	芼る條	1000	1	1	1	8
0	63418	殢條	1000	1	1	1	8
0	63419	殢條	1000	1	1	1	8
0	63420	芼る條	1000	1	1	1	8
0	63421	芼る條	1000	1	1	1	8
0	63422	芼る條	1000	1	1	1	8
0	63423	芼る條	1000	1	1	1	8
0	63424	芼る條	1000	1	1	1	8
0	63425	芼る條	1000	1	1	1	8
0	63426	殢條	1000	1	1	1	8
0	63427	殢條	1000	1	1	1	8
0	63428	殢條	1000	1	1	1	8
0	63429	殢條	1000	1	1	1	8
0	63430	殢條	1000	1	1	1	8
0	63431	殢條	1000	1	1	1	8
0	63432	殢條	1000	1	1	1	8
0	63433	殢條	1000	1	1	1	8
0	63434	殢條	1000	1	1	1	8
0	63435	殢條	1000	1	1	1	8
0	63436	殢條	1000	1	1	1	8
0	63437	殢條	1000	1	1	1	8
0	63438	殢條	1000	1	1	1	8
0	63439	殢條	1000	1	1	1	8
0	63440	殢條	1000	1	1	1	8
0	63441	殢條	1000	1	1	1	8
0	63442	殢條	1000	1	1	1	8
0	63443	殢條	1000	1	1	1	8
0	63444	芼る條	1000	1	1	1	8
0	63445	芼る條	1000	1	1	1	8
0	63446	芼る條	1000	1	1	1	8
0	63447	芼る條	1000	1	1	1	8
0	63448	殢條	1000	1	1	1	8
0	63449	殢條	1000	1	1	1	8
0	63450	芼る條	1000	1	1	1	8
0	63451	芼る條	1000	1	1	1	8
0	63452	芼る條	1000	1	1	1	8
0	63453	芼る條	1000	1	1	1	8
0	63454	芼る條	1000	1	1	1	8
0	63455	芼る條	1000	1	1	1	8
0	63456	殢條	1000	1	1	1	8
0	63457	殢條	1000	1	1	1	8
0	63458	芼る條	1000	1	1	1	8
0	63459	芼る條	1000	1	1	1	8
0	63460	芼る條	1000	1	1	1	8
0	63461	芼る條	1000	1	1	1	8
0	63462	芼る條	1000	1	1	1	8
0	63463	芼る條	1000	1	1	1	8
0	63464	殢條	1000	1	1	1	8
0	63465	殢條	1000	1	1	1	8
0	63466	芼る條	1000	1	1	1	8
0	63467	芼る條	1000	1	1	1	8
0	63468	殢條	1000	1	1	1	8
0	63469	殢條	1000	1	1	1	8
0	63470	殢條	1000	1	1	1	8
0	63471	殢條	1000	1	1	1	8
0	63472	殢條	1000	1	1	1	8
0	63473	殢條	1000	1	1	1	8
0	63474	殢條	1000	1	1	1	8
0	63475	殢條	1000	1	1	1	8
0	63476	殢條	1000	1	1	1	8
0	63477	殢條	1000	1	1	1	8
0	63478	殢條	1000	1	1	1	8
0	63479	殢條	1000	1	1	1	8
0	63480	殢條	1000	1	1	1	8
0	63481	殢條	1000	1	1	1	8
0	63482	殢條	1000	1	1	1	8
0	63483	殢條	1000	1	1	1	8
0	63484	殢條	1000	1	1	1	8
0	63485	殢條	1000	1	1	1	8
0	63486	殢條	1000	1	1	1	8
0	63487	殢條	1000	1	1	1	8
0	63488	芼る條	1000	1	1	1	8
0	63489	芼る條	1000	1	1	1	8
0	63490	芼る條	1000	1	1	1	8
0	63491	芼る條	1000	1	1	1	8
0	63492	芼る條	1000	1	1	1	8
0	63493	芼る條	1000	1	1	1	8
0	63494	芼る條	1000	1	1	1	8
0	63495	芼る條	1000	1	1	1	8
1	21191	眢儔淉泆	1	0.48	1	1	1
1	21192	眢儔傑藷1	1	0.005	0.009	1	3
1	21193	眢儔傑藷2	1	0.005	0.009	1	3
1	21194	眢儔璋坢1	1	0.001	0.04	1	2
1	21195	眢儔璋坢2	1	0.001	0.04	1	2
1	63401	旆詼	1	20000	20000	1	7
1	63406	芼る條	1200	1	1	1	8
1	63408	芼る條	1200	1	1	1	8
1	63426	殢條	1200	1	1	1	8
1	63427	殢條	1200	1	1	1	8
1	63435	殢條	1200	1	1	1	8
1	63436	殢條	1200	1	1	1	8
1	63468	殢條	1200	1	1	1	8
1	63469	殢條	1200	1	1	1	8
1	63478	殢條	1200	1	1	1	8
1	63479	殢條	1200	1	1	1	8
2	21191	眢儔淉泆	1	0.48	1	1	1
2	63401	旆詼	1	20000	20000	1	7
