id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	70301	颍阴南城门	1200	20	0.3	1	3
0	22189	颍阴西营寨	500	4	0.3	0	4
0	22190	颍阴北营寨	500	4	0.3	0	4
0	22191	颍阴东营寨	500	4	0.3	0	4
0	70302	颍阴北城门	1200	20	0.3	1	3
0	70303	颍阴政厅	3000	40	0.3	1	1
0	70304	颍阴箭楼	1000	20	0.3	1	2
0	70305	颍阴箭楼	1000	20	0.3	1	2
0	70306	箭塔	1000	20	0.3	1	2
0	70307	箭塔	1000	20	0.3	1	2
0	70308	箭塔	1000	20	0.3	1	2
0	70309	轻骑兵	700	4	0.3	1	8
0	70310	轻骑兵	700	4	0.3	1	8
0	70311	长戟兵	700	4	0.3	1	8
0	70312	长戟兵	700	4	0.3	1	8
0	70313	神射营	700	4	0.3	1	8
0	70314	长戟兵	700	4	0.3	1	8
0	70315	长戟兵	700	4	0.3	1	8
0	70316	神射营	700	4	0.3	1	8
0	70317	神射营	700	4	0.3	1	8
0	70318	长戟兵	700	4	0.3	1	8
0	70319	长戟兵	700	4	0.3	1	8
0	70320	神射营	700	4	0.3	1	8
0	70321	神射营	700	4	0.3	1	8
0	70322	重步兵	700	4	0.3	1	8
0	70323	重步兵	700	4	0.3	1	8
0	70324	重步兵	700	4	0.3	1	8
0	70325	重步兵	700	4	0.3	1	8
0	70326	傅义	2000	4	0.3	1	7
0	70327	重步兵	700	4	0.3	1	8
0	70328	重步兵	700	4	0.3	1	8
0	70329	重步兵	700	4	0.3	1	8
0	70330	重步兵	700	4	0.3	1	8
0	70331	傅干	2000	4	0.3	1	7
0	70332	神射营	700	4	0.3	1	8
0	70333	神射营	700	4	0.3	1	8
0	70334	神射营	700	4	0.3	1	8
0	70335	神射营	700	4	0.3	1	8
0	70336	神射营	700	4	0.3	1	8
0	70337	神射营	700	4	0.3	1	8
0	70338	神射营	700	4	0.3	1	8
0	70339	神射营	700	4	0.3	1	8
0	70340	神射营	700	4	0.3	1	8
0	70341	神射营	700	4	0.3	1	8
0	70342	神射营	700	4	0.3	1	8
0	70343	神射营	700	4	0.3	1	8
0	70344	神射营	700	4	0.3	1	8
0	70345	神射营	700	4	0.3	1	8
0	70346	神射营	700	4	0.3	1	8
0	70347	长戟兵	700	4	0.3	1	8
0	70348	长戟兵	700	4	0.3	1	8
0	70349	神射营	700	4	0.3	1	8
0	70350	长戟兵	700	4	0.3	1	8
0	70351	长戟兵	700	4	0.3	1	8
0	70352	神射营	700	4	0.3	1	8
0	70353	长戟兵	700	4	0.3	1	8
0	70354	长戟兵	700	4	0.3	1	8
0	70355	神射营	700	4	0.3	1	8
0	70356	重步兵	700	4	0.3	1	8
0	70357	重步兵	700	4	0.3	1	8
0	70358	神射营	700	4	0.3	1	8
0	70359	神射营	700	4	0.3	1	8
0	70360	神射营	700	4	0.3	1	8
0	70361	神射营	700	4	0.3	1	8
0	70362	单子春	2000	4	0.3	1	7
0	110102	定陵营寨	500	4	0.3	2	4
0	130142	颖阴营寨	500	4	0.3	0	4
1	22189	颍阴西营寨	500	5	0.3	0	4
1	22190	颍阴北营寨	500	5	0.3	0	4
1	22191	颍阴东营寨	500	5	0.3	0	4
1	70301	颍阴南城门	1200	20	0.3	1	3
1	70302	颍阴北城门	1200	20	0.3	1	3
1	70303	颍阴政厅	3000	40	0.3	1	1
1	70304	颍阴箭楼	1000	20	0.3	1	2
1	70305	颍阴箭楼	1000	20	0.3	1	2
1	70306	箭塔	1000	20	0.3	1	2
1	70307	箭塔	1000	20	0.3	1	2
1	70308	箭塔	1000	20	0.3	1	2
1	70324	重步兵	700	5	0.3	1	8
1	70325	重步兵	700	5	0.3	1	8
1	70326	傅义	2000	5	0.3	1	7
1	70329	重步兵	700	5	0.3	1	8
1	70330	重步兵	700	5	0.3	1	8
1	70331	傅干	2000	5	0.3	1	7
1	70334	神射营	700	5	0.3	1	8
1	70335	神射营	700	5	0.3	1	8
1	70342	神射营	700	5	0.3	1	8
1	70343	神射营	700	5	0.3	1	8
1	70358	神射营	700	5	0.3	1	8
1	70359	神射营	700	5	0.3	1	8
1	70360	神射营	700	5	0.3	1	8
1	70361	神射营	700	5	0.3	1	8
1	70362	单子春	2000	5	0.3	1	7
1	110102	定陵营寨	1500	8	0.3	2	4
1	120014	颖阴防守点	1000	15	3	1	4
1	130142	颖阴营寨	500	5	0.3	0	4
2	70303	颍阴政厅	3000	40	0.3	1	1
10	110101	昆阳营寨	500	5	0.3	2	4
10	110101	昆阳营寨	500	5	0.3	2	4
10	110103	父城营寨	500	5	0.3	2	4
10	110103	父城营寨	500	5	0.3	2	4
