id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	83201	永安东城门	1200	20	0.3	1	3
0	22050	永安北营寨	500	4	0.3	0	4
0	22051	驹忍营寨	500	4	0.3	0	4
0	83202	永安北城门	1200	20	0.3	1	3
0	83203	永安政厅	3000	40	0.3	1	1
0	83204	永安箭塔	1000	20	0.3	1	2
0	83205	永安箭塔	1000	20	0.3	1	2
0	83206	箭塔	1000	20	0.3	1	2
0	83207	箭塔	1000	20	0.3	1	2
0	83208	箭塔	1000	20	0.3	1	2
0	83209	轻骑兵	700	4	0.3	1	8
0	83210	轻骑兵	700	4	0.3	1	8
0	83211	轻骑兵	700	4	0.3	1	8
0	83212	重步兵	700	4	0.3	1	8
0	83213	重步兵	700	4	0.3	1	8
0	83214	重步兵	700	4	0.3	1	8
0	83215	弩兵	700	4	0.3	1	8
0	83216	弩兵	700	4	0.3	1	8
0	83217	弩兵	700	4	0.3	1	8
0	83218	弩兵	700	4	0.3	1	8
0	83219	重步兵	700	4	0.3	1	8
0	83220	重步兵	700	4	0.3	1	8
0	83221	重步兵	700	4	0.3	1	8
0	83222	重步兵	700	4	0.3	1	8
0	83223	弓箭兵	700	4	0.3	1	8
0	83224	弓箭兵	700	4	0.3	1	8
0	83225	邓桑公	2000	4	0.3	1	7
0	83226	轻骑兵	700	4	0.3	1	8
0	83227	轻骑兵	700	4	0.3	1	8
0	83228	邓且	2000	4	0.3	1	7
0	83229	重步兵	700	4	0.3	1	8
0	83230	重步兵	700	4	0.3	1	8
0	83231	重步兵	700	4	0.3	1	8
0	83232	重步兵	700	4	0.3	1	8
0	83233	重步兵	700	4	0.3	1	8
0	83234	重步兵	700	4	0.3	1	8
0	83235	重步兵	700	4	0.3	1	8
0	83236	重步兵	700	4	0.3	1	8
0	83237	弓箭兵	700	4	0.3	1	8
0	83238	弓箭兵	700	4	0.3	1	8
0	83239	弓箭兵	700	4	0.3	1	8
0	83240	弓箭兵	700	4	0.3	1	8
0	83241	弓箭兵	700	4	0.3	1	8
0	83242	弓箭兵	700	4	0.3	1	8
0	83243	郑度	2000	4	0.3	1	7
0	83244	弩兵	700	4	0.3	1	8
0	83245	弩兵	700	4	0.3	1	8
0	83246	弩兵	700	4	0.3	1	8
0	83247	弩兵	700	4	0.3	1	8
0	83248	重步兵	700	4	0.3	1	8
0	83249	重步兵	700	4	0.3	1	8
0	83250	弓箭兵	700	4	0.3	1	8
0	83251	弓箭兵	700	4	0.3	1	8
0	83252	弓箭兵	700	4	0.3	1	8
0	83253	弓箭兵	700	4	0.3	1	8
0	83254	弓箭兵	700	4	0.3	1	8
0	83255	弓箭兵	700	4	0.3	1	8
0	83256	弓箭兵	700	4	0.3	1	8
0	83257	弓箭兵	700	4	0.3	1	8
0	83258	弓箭兵	700	4	0.3	1	8
0	83259	弓箭兵	700	4	0.3	1	8
0	83260	轻骑兵	700	4	0.3	1	8
0	83261	轻骑兵	700	4	0.3	1	8
0	83262	白毦兵	700	4	0.3	1	8
0	83263	白毦兵	700	4	0.3	1	8
0	83264	白毦兵	700	4	0.3	1	8
0	83265	轻骑兵	700	4	0.3	1	8
0	83266	轻骑兵	700	4	0.3	1	8
0	83267	白毦兵	700	4	0.3	1	8
0	83268	白毦兵	700	4	0.3	1	8
0	83269	白毦兵	700	4	0.3	1	8
0	83270	无当飞军	700	4	0.3	1	8
0	83271	无当飞军	700	4	0.3	1	8
0	83272	白毦兵	700	4	0.3	1	8
0	83273	白毦兵	700	4	0.3	1	8
0	83274	白毦兵	700	4	0.3	1	8
0	83275	白毦兵	700	4	0.3	1	8
0	83276	陈到	2000	4	0.3	1	7
0	83277	白毦兵	700	4	0.3	1	8
0	83278	白毦兵	700	4	0.3	1	8
0	83279	白毦兵	700	4	0.3	1	8
0	83280	白毦兵	700	4	0.3	1	8
0	110214	羊渠营寨	500	4	0.3	2	4
0	130085	永安营寨	500	4	0.3	0	4
1	22050	永安北营寨	500	5	0.3	0	4
1	22051	驹忍营寨	500	5	0.3	0	4
1	83201	永安东城门	1200	20	0.3	1	3
1	83202	永安北城门	1200	20	0.3	1	3
1	83203	永安政厅	3000	40	0.3	1	1
1	83204	永安箭塔	1000	20	0.3	1	2
1	83205	永安箭塔	1000	20	0.3	1	2
1	83206	箭塔	1000	20	0.3	1	2
1	83207	箭塔	1000	20	0.3	1	2
1	83208	箭塔	1000	20	0.3	1	2
1	83228	邓且	2000	5	0.3	1	7
1	83229	重步兵	700	5	0.3	1	8
1	83230	重步兵	700	5	0.3	1	8
1	83239	弓箭兵	700	5	0.3	1	8
1	83240	弓箭兵	700	5	0.3	1	8
1	83243	郑度	2000	5	0.3	1	7
1	83244	弩兵	700	5	0.3	1	8
1	83245	弩兵	700	5	0.3	1	8
1	83254	弓箭兵	700	5	0.3	1	8
1	83255	弓箭兵	700	5	0.3	1	8
1	83276	陈到	2000	5	0.3	1	7
1	83277	白毦兵	700	5	0.3	1	8
1	83278	白毦兵	700	5	0.3	1	8
1	83279	白毦兵	700	5	0.3	1	8
1	83280	白毦兵	700	5	0.3	1	8
1	110214	羊渠营寨	1500	8	0.3	2	4
1	120154	永安防守点	1000	15	3	1	4
1	130085	永安营寨	500	5	0.3	0	4
2	83203	永安政厅	3000	40	0.3	1	1
10	110215	汉丰营寨	500	5	0.3	2	4
10	110215	汉丰营寨	500	5	0.3	2	4
10	110216	临江营寨	500	5	0.3	2	4
10	110216	临江营寨	500	5	0.3	2	4
