id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	24200	永宁城门1	800	15	0.3	1	3
0	24201	永宁城门2	800	15	0.3	1	3
0	24202	永宁政厅	2000	20	0.3	1	1
0	24203	永宁箭塔	1200	12	0.4	1	2
0	24204	永宁箭塔	1200	12	0.4	1	2
0	24205	永宁营寨	2000	10	0.3	2	4
0	24207	据点	500	4	0.3	0	4
0	24208	楚怀	2000	4	0.5	1	7
0	24209	张世	2000	4	0.5	1	7
0	24210	臧均	3000	4	0.8	1	7
0	24211	重步兵	400	3	0.3	1	8
0	24212	重步兵	400	3	0.3	1	8
0	24213	重步兵	400	3	0.3	1	8
0	24214	重步兵	400	3	0.3	1	8
0	24215	重步兵	400	3	0.3	1	8
0	24216	重步兵	400	3	0.3	1	8
0	24217	重步兵	400	3	0.3	1	8
0	24218	重步兵	400	3	0.3	1	8
0	24219	重步兵	400	3	0.3	1	8
0	24220	虎卫营	400	3	0.3	1	8
0	24221	虎卫营	400	3	0.3	1	8
0	24222	虎卫营	400	3	0.3	1	8
0	24223	虎卫营	400	3	0.3	1	8
0	24224	弩兵	400	3	0.3	1	8
0	24225	弩兵	400	3	0.3	1	8
0	24226	弩兵	400	3	0.3	1	8
0	24227	弩兵	400	3	0.3	1	8
0	24228	弩兵	400	3	0.3	1	8
0	24229	弩兵	400	3	0.3	1	8
0	24230	虎卫营	400	3	0.3	1	8
0	24231	虎卫营	400	3	0.3	1	8
0	24232	虎卫营	400	3	0.3	1	8
0	24233	虎卫营	400	3	0.3	1	8
0	24234	虎卫营	400	3	0.3	1	8
0	24235	虎卫营	400	3	0.3	1	8
0	24236	虎卫营	400	3	0.3	1	8
0	24237	虎卫营	400	3	0.3	1	8
0	24238	虎卫营	400	3	0.3	1	8
0	24239	虎卫营	400	3	0.3	1	8
0	24240	虎卫营	400	3	0.3	1	8
0	24241	虎卫营	400	3	0.3	1	8
1	24200	永宁城门1	800	20	0.3	1	3
1	24201	永宁城门2	800	20	0.3	1	3
1	24202	永宁政厅	3000	40	0.3	1	1
1	24203	永宁箭塔	1200	18	0.5	1	2
1	24204	永宁箭塔	1200	18	0.5	1	2
1	24205	永宁营寨	2000	10	0.3	2	4
1	24206	复活点	1000	8	3	1	4
1	24207	据点	1000	4	0.3	0	4
1	24272	楚怀	2000	5	0.5	1	7
1	24273	张世	2000	5	0.5	1	7
1	24274	臧均	3000	5	0.8	1	7
1	24224	弩兵	700	5	0.3	1	8
1	24225	弩兵	700	5	0.3	1	8
1	24226	弩兵	700	5	0.3	1	8
1	24227	弩兵	700	5	0.3	1	8
1	24228	弩兵	700	5	0.3	1	8
1	24229	弩兵	700	5	0.3	1	8
2	24202	永宁政厅	3000	30	0.3	1	1
10	24242	阳光帅锅	400	2	0.3	2	8
10	24243	阳光帅锅	400	2	0.3	2	8
10	24244	阳光帅锅	400	2	0.3	2	8
11	24245	单反穷三代	400	2	0.3	2	8
11	24246	单反穷三代	400	2	0.3	2	8
11	24247	单反穷三代	400	2	0.3	2	8
12	24248	面白	400	2	0.3	2	8
12	24249	面白	400	2	0.3	2	8
12	24250	面白	400	2	0.3	2	8
13	24251	手黑	400	2	0.3	2	8
13	24252	手黑	400	2	0.3	2	8
13	24253	手黑	400	2	0.3	2	8
14	24254	别叫我大佬	1200	25	20	2	8
14	24255	别叫我大佬	1200	25	20	2	8
14	24256	别叫我大佬	1200	25	20	2	8
20	24257	城防援军	400	2	0.3	1	8
20	24258	城防援军	400	2	0.3	1	8
20	24259	城防援军	400	2	0.3	1	8
20	24260	城防援军	400	2	0.3	1	8
20	24261	城防援军	400	2	0.3	1	8
20	24262	城防援军	400	2	0.3	1	8
21	24263	城防援军	400	2	0.3	1	8
21	24264	城防援军	400	2	0.3	1	8
21	24265	城防援军	400	2	0.3	1	8
22	24266	城防援军	400	2	0.3	1	8
22	24267	城防援军	400	2	0.3	1	8
22	24268	城防援军	400	2	0.3	1	8
23	24269	城防援军	400	2	0.3	1	8
23	24270	城防援军	400	2	0.3	1	8
23	24271	城防援军	400	2	0.3	1	8
40	24209	张世	2000	3	0.5	1	7
41	24210	臧均	3000	4	0.8	1	7
