id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	84401	越隽东城门	800	8	0.3	1	3
0	20036	越隽东营寨	500	4	0.3	0	4
0	84402	越隽西城门	800	8	0.3	1	3
0	84403	越隽政厅	1000	20	0.3	1	1
0	84404	越隽箭塔	1000	8	0.3	1	2
0	84405	越隽箭塔	1000	8	0.3	1	2
0	84406	高定	2000	4	0.3	1	7
0	84407	蛮兵	700	4	0.3	1	8
0	84408	蛮兵	700	4	0.3	1	8
0	84409	蛮兵	700	4	0.3	1	8
0	84410	蛮兵	700	4	0.3	1	8
0	84411	弩兵	700	4	0.3	1	8
0	84412	弩兵	700	4	0.3	1	8
0	84413	高冲	2000	4	0.3	1	7
0	84414	飞刀兵	700	4	0.3	1	8
0	84415	飞刀兵	700	4	0.3	1	8
0	84416	蛮兵	700	4	0.3	1	8
0	84417	蛮兵	700	4	0.3	1	8
0	84418	高枣	2000	4	0.3	1	7
0	84419	飞刀兵	700	4	0.3	1	8
0	84420	飞刀兵	700	4	0.3	1	8
0	84421	蛮兵	700	4	0.3	1	8
0	84422	蛮兵	700	4	0.3	1	8
0	84424	重步兵	700	4	0.3	1	8
0	84425	弩兵	700	4	0.3	1	8
0	84426	箭楼	1000	8	0.3	1	2
0	84427	重步兵	700	4	0.3	1	8
0	84428	重步兵	700	4	0.3	1	8
0	84429	蛮兵	700	4	0.3	1	8
0	84430	蛮兵	700	4	0.3	1	8
0	84431	蛮兵	700	4	0.3	1	8
0	84432	蛮兵	700	4	0.3	1	8
0	84433	蛮兵	700	4	0.3	1	8
0	84434	蛮兵	700	4	0.3	1	8
0	84435	蛮兵	700	4	0.3	1	8
0	84436	蛮兵	700	4	0.3	1	8
0	84437	飞刀兵	700	4	0.3	1	8
0	84438	飞刀兵	700	4	0.3	1	8
0	84439	蛮兵	700	4	0.3	1	8
0	84440	蛮兵	700	4	0.3	1	8
0	84441	蛮兵	700	4	0.3	1	8
0	84442	越隽西营寨	500	4	0.3	0	4
0	110226	台登营寨	500	4	0.3	2	4
1	20036	越隽东营寨	500	5	0.3	0	4
1	84401	越隽东城门	1200	15	0.3	1	3
1	84401	越隽东城门	1200	15	0.3	1	3
1	84402	越隽西城门	1200	15	0.3	1	3
1	84402	越隽西城门	1200	15	0.3	1	3
1	84403	越隽政厅	3000	30	0.3	1	1
1	84403	越隽政厅	3000	30	0.3	1	1
1	84404	越隽箭塔	1000	15	0.3	1	2
1	84404	越隽箭塔	1000	15	0.3	1	2
1	84405	越隽箭塔	1000	15	0.3	1	2
1	84405	越隽箭塔	1000	15	0.3	1	2
1	84406	高定	2000	5	0.3	1	7
1	84407	蛮兵	700	5	0.3	1	8
1	84408	蛮兵	700	5	0.3	1	8
1	84409	蛮兵	700	5	0.3	1	8
1	84410	蛮兵	700	5	0.3	1	8
1	84411	弩兵	700	5	0.3	1	8
1	84412	弩兵	700	5	0.3	1	8
1	84413	高冲	2000	5	0.3	1	7
1	84414	飞刀兵	700	5	0.3	1	8
1	84415	飞刀兵	700	5	0.3	1	8
1	84416	蛮兵	700	5	0.3	1	8
1	84417	蛮兵	700	5	0.3	1	8
1	84418	高枣	2000	5	0.3	1	7
1	84419	飞刀兵	700	5	0.3	1	8
1	84420	飞刀兵	700	5	0.3	1	8
1	84421	蛮兵	700	5	0.3	1	8
1	84422	蛮兵	700	5	0.3	1	8
1	84424	重步兵	700	5	0.3	1	8
1	84425	弩兵	700	5	0.3	1	8
1	84426	箭楼	1000	8	0.3	1	2
1	84427	重步兵	700	5	0.3	1	8
1	84428	重步兵	700	5	0.3	1	8
1	84429	蛮兵	700	5	0.3	1	8
1	84430	蛮兵	700	5	0.3	1	8
1	84431	蛮兵	700	5	0.3	1	8
1	84432	蛮兵	700	5	0.3	1	8
1	84433	蛮兵	700	5	0.3	1	8
1	84434	蛮兵	700	5	0.3	1	8
1	84435	蛮兵	700	5	0.3	1	8
1	84436	蛮兵	700	5	0.3	1	8
1	84437	飞刀兵	700	5	0.3	1	8
1	84438	飞刀兵	700	5	0.3	1	8
1	84439	蛮兵	700	5	0.3	1	8
1	84440	蛮兵	700	5	0.3	1	8
1	84441	蛮兵	700	5	0.3	1	8
1	84442	越隽西营寨	500	5	0.3	0	4
1	110226	台登营寨	1500	8	0.3	2	4
1	120007	越隽防守点	1000	15	3	1	4
2	84403	越隽政厅	3000	30	0.3	1	1
10	110227	南广营寨	500	5	0.3	2	4
10	110227	南广营寨	500	5	0.3	2	4
