id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	80201	张掖西城门	1200	20	0.3	1	3
0	22288	张掖南营寨	500	4	0.3	0	4
0	22289	昭武营寨	500	4	0.3	0	4
0	80202	张掖南城门	1200	20	0.3	1	3
0	80203	张掖东城门	1200	20	0.3	1	3
0	80204	张掖政厅	3000	40	0.3	1	1
0	80205	张掖箭楼	1000	20	0.3	1	2
0	80206	张掖箭楼	1000	20	0.3	1	2
0	80207	杜通	2000	4	0.3	1	7
0	80208	标枪兵	700	4	0.3	1	8
0	80209	标枪兵	700	4	0.3	1	8
0	80210	标枪兵	700	4	0.3	1	8
0	80211	标枪兵	700	4	0.3	1	8
0	80212	标枪兵	700	4	0.3	1	8
0	80213	标枪兵	700	4	0.3	1	8
0	80214	弩兵	700	4	0.3	1	8
0	80215	弩兵	700	4	0.3	1	8
0	80216	弩兵	700	4	0.3	1	8
0	80217	弩兵	700	4	0.3	1	8
0	80218	重步兵	700	4	0.3	1	8
0	80219	重步兵	700	4	0.3	1	8
0	80220	重步兵	700	4	0.3	1	8
0	80221	重步兵	700	4	0.3	1	8
0	80222	杜沔	2000	4	0.3	1	7
0	80223	西凉铁骑	700	4	0.3	1	8
0	80224	西凉铁骑	700	4	0.3	1	8
0	80225	西凉铁骑	700	4	0.3	1	8
0	80226	西凉铁骑	700	4	0.3	1	8
0	80227	西凉铁骑	700	4	0.3	1	8
0	80228	西凉铁骑	700	4	0.3	1	8
0	80229	弩兵	700	4	0.3	1	8
0	80230	弩兵	700	4	0.3	1	8
0	80231	弩兵	700	4	0.3	1	8
0	80232	弩兵	700	4	0.3	1	8
0	80233	弩兵	700	4	0.3	1	8
0	80234	弩兵	700	4	0.3	1	8
0	80235	弩兵	700	4	0.3	1	8
0	80236	弩兵	700	4	0.3	1	8
0	80237	弩兵	700	4	0.3	1	8
0	80238	弩兵	700	4	0.3	1	8
0	80239	杜兆	2000	4	0.3	1	7
0	80240	西凉铁骑	700	4	0.3	1	8
0	80241	西凉铁骑	700	4	0.3	1	8
0	80242	西凉铁骑	700	4	0.3	1	8
0	80243	西凉铁骑	700	4	0.3	1	8
0	80244	西凉铁骑	700	4	0.3	1	8
0	80245	西凉铁骑	700	4	0.3	1	8
0	80246	弩兵	700	4	0.3	1	8
0	80247	弩兵	700	4	0.3	1	8
