id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	23200	中山城门	800	15	0.3	1	3
0	23201	中山城门	800	15	0.3	1	3
0	23202	中山政厅	2000	20	0.3	1	1
0	23203	中山箭塔	1200	12	0.4	1	2
0	23204	中山箭塔	1200	12	0.4	1	2
0	23205	中山营寨	2000	10	0.3	2	4
0	23207	据点1	500	4	0.3	0	4
0	23208	据点2	500	4	0.3	0	4
0	23209	据点3	500	4	0.3	0	4
0	23210	王门	2000	4	0.5	1	7
0	23211	陶升	2000	4	0.5	1	7
0	23212	张纯	3000	4	0.8	1	7
0	23213	重步兵	400	3	0.3	1	8
0	23214	重步兵	400	3	0.3	1	8
0	23215	重步兵	400	3	0.3	1	8
0	23216	重步兵	400	3	0.3	1	8
0	23217	重步兵	400	3	0.3	1	8
0	23218	重步兵	400	3	0.3	1	8
0	23219	重步兵	400	3	0.3	1	8
0	23220	重步兵	400	3	0.3	1	8
0	23221	重步兵	400	3	0.3	1	8
0	23222	重步兵	400	3	0.3	1	8
0	23223	重步兵	400	3	0.3	1	8
0	23224	重步兵	400	3	0.3	1	8
0	23225	重步兵	400	3	0.3	1	8
0	23226	重步兵	400	3	0.3	1	8
0	23227	重步兵	400	3	0.3	1	8
0	23228	虎卫营	400	3	0.3	1	8
0	23229	虎卫营	400	3	0.3	1	8
0	23230	虎卫营	400	3	0.3	1	8
0	23231	虎卫营	400	3	0.3	1	8
0	23232	弩兵	400	3	0.3	1	8
0	23233	弩兵	400	3	0.3	1	8
0	23234	弩兵	400	3	0.3	1	8
0	23235	弩兵	400	3	0.3	1	8
0	23236	弩兵	400	3	0.3	1	8
0	23237	弩兵	400	3	0.3	1	8
0	23238	虎卫营	400	3	0.3	1	8
0	23239	虎卫营	400	3	0.3	1	8
0	23240	虎卫营	400	3	0.3	1	8
0	23241	虎卫营	400	3	0.3	1	8
0	23242	虎卫营	400	3	0.3	1	8
0	23243	虎卫营	400	3	0.3	1	8
0	23244	虎卫营	400	3	0.3	1	8
0	23245	虎卫营	400	3	0.3	1	8
0	23246	虎卫营	400	3	0.3	1	8
0	23247	虎卫营	400	3	0.3	1	8
0	23248	虎卫营	400	3	0.3	1	8
0	23249	虎卫营	400	3	0.3	1	8
0	23250	虎卫营	400	3	0.3	1	8
0	23251	虎卫营	400	3	0.3	1	8
0	23252	虎卫营	400	3	0.3	1	8
0	23253	虎卫营	400	3	0.3	1	8
1	23200	中山城门	800	20	0.3	1	3
1	23201	中山城门	800	20	0.3	1	3
1	23202	中山政厅	3000	40	0.3	1	1
1	23203	中山箭塔	1200	18	0.5	1	2
1	23204	中山箭塔	1200	18	0.5	1	2
1	23205	中山营寨	2000	10	0.3	2	4
1	23206	复活点	1000	8	3	1	4
1	23207	据点1	1000	4	0.3	0	4
1	23208	据点2	1000	4	0.3	0	4
1	23209	据点3	1000	4	0.3	0	4
1	23284	王门	2000	5	0.5	1	7
1	23285	陶升	2000	5	0.5	1	7
1	23286	张纯	3000	5	0.8	1	7
1	23232	弩兵	700	5	0.3	1	8
1	23233	弩兵	700	5	0.3	1	8
1	23234	弩兵	700	5	0.3	1	8
1	23235	弩兵	700	5	0.3	1	8
1	23236	弩兵	700	5	0.3	1	8
1	23237	弩兵	700	5	0.3	1	8
2	23202	中山政厅	3000	30	0.3	1	1
10	23254	坦克	400	2	0.3	2	8
10	23255	坦克	400	2	0.3	2	8
10	23256	坦克	400	2	0.3	2	8
11	23257	基友	400	2	0.3	2	8
11	23258	基友	400	2	0.3	2	8
11	23259	基友	400	2	0.3	2	8
12	23260	三国丞相	400	2	0.3	2	8
12	23261	三国丞相	400	2	0.3	2	8
12	23262	三国丞相	400	2	0.3	2	8
13	23263	少帮主	400	2	0.3	2	8
13	23264	少帮主	400	2	0.3	2	8
13	23265	少帮主	400	2	0.3	2	8
14	23266	请叫我大佬	1200	25	20	2	8
14	23267	请叫我大佬	1200	25	20	2	8
14	23268	请叫我大佬	1200	25	20	2	8
20	23269	城防援军	400	2	0.3	1	8
20	23270	城防援军	400	2	0.3	1	8
20	23271	城防援军	400	2	0.3	1	8
20	23272	城防援军	400	2	0.3	1	8
20	23273	城防援军	400	2	0.3	1	8
20	23274	城防援军	400	2	0.3	1	8
21	23275	城防援军	400	2	0.3	1	8
21	23276	城防援军	400	2	0.3	1	8
21	23277	城防援军	400	2	0.3	1	8
22	23278	城防援军	400	2	0.3	1	8
22	23279	城防援军	400	2	0.3	1	8
22	23280	城防援军	400	2	0.3	1	8
23	23281	城防援军	400	2	0.3	1	8
23	23282	城防援军	400	2	0.3	1	8
23	23283	城防援军	400	2	0.3	1	8
40	23211	陶升	2000	3	0.5	1	7
41	23212	张纯	3000	4	0.8	1	7
