id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	63001	涿县东城门	1200	20	0.3	1	3
0	22378	涿县北营寨	500	4	0.3	0	4
0	22379	荣城营寨	500	4	0.3	0	4
0	63002	涿县北城门	1200	20	0.3	1	3
0	63003	涿县政厅	3000	40	0.3	1	1
0	63004	涿县箭塔	1000	20	0.3	1	2
0	63005	涿县箭塔	1000	20	0.3	1	2
0	63006	箭塔	1000	20	0.3	1	2
0	63007	箭塔	1000	20	0.3	1	2
0	63008	箭塔	1000	20	0.3	1	2
0	63009	重步兵	700	4	0.3	1	8
0	63010	重步兵	700	4	0.3	1	8
0	63011	重步兵	700	4	0.3	1	8
0	63012	重步兵	700	4	0.3	1	8
0	63013	重步兵	700	4	0.3	1	8
0	63014	重步兵	700	4	0.3	1	8
0	63015	弓箭兵	700	4	0.3	1	8
0	63016	弓箭兵	700	4	0.3	1	8
0	63017	弓箭兵	700	4	0.3	1	8
0	63018	弓箭兵	700	4	0.3	1	8
0	63019	重步兵	700	4	0.3	1	8
0	63020	重步兵	700	4	0.3	1	8
0	63021	重步兵	700	4	0.3	1	8
0	63022	重步兵	700	4	0.3	1	8
0	63023	弓箭兵	700	4	0.3	1	8
0	63024	弓箭兵	700	4	0.3	1	8
0	63025	关贤	2000	4	0.3	1	7
0	63026	轻骑兵	700	4	0.3	1	8
0	63027	轻骑兵	700	4	0.3	1	8
0	63028	公孙续	2000	4	0.3	1	7
0	63029	重步兵	700	4	0.3	1	8
0	63030	重步兵	700	4	0.3	1	8
0	63031	重步兵	700	4	0.3	1	8
0	63032	重步兵	700	4	0.3	1	8
0	63033	突骑兵	700	4	0.3	1	8
0	63034	突骑兵	700	4	0.3	1	8
0	63035	突骑兵	700	4	0.3	1	8
0	63036	突骑兵	700	4	0.3	1	8
0	63037	弓箭兵	700	4	0.3	1	8
0	63038	弓箭兵	700	4	0.3	1	8
0	63039	弓箭兵	700	4	0.3	1	8
0	63040	弓箭兵	700	4	0.3	1	8
0	63041	弓箭兵	700	4	0.3	1	8
0	63042	弓箭兵	700	4	0.3	1	8
0	63043	公孙越	2000	4	0.3	1	7
0	63044	弓箭兵	700	4	0.3	1	8
0	63045	弓箭兵	700	4	0.3	1	8
0	63046	弓箭兵	700	4	0.3	1	8
0	63047	弓箭兵	700	4	0.3	1	8
0	63048	突骑兵	700	4	0.3	1	8
0	63049	突骑兵	700	4	0.3	1	8
0	63050	弓箭兵	700	4	0.3	1	8
0	63051	弓箭兵	700	4	0.3	1	8
0	63052	弓箭兵	700	4	0.3	1	8
0	63053	弓箭兵	700	4	0.3	1	8
0	63054	弓箭兵	700	4	0.3	1	8
0	63055	弓箭兵	700	4	0.3	1	8
0	63056	弓箭兵	700	4	0.3	1	8
0	63057	弓箭兵	700	4	0.3	1	8
0	63058	弓箭兵	700	4	0.3	1	8
0	63059	弓箭兵	700	4	0.3	1	8
0	63060	突骑兵	700	4	0.3	1	8
0	63061	突骑兵	700	4	0.3	1	8
0	63062	突骑兵	700	4	0.3	1	8
0	63063	突骑兵	700	4	0.3	1	8
0	63064	突骑兵	700	4	0.3	1	8
0	63065	突骑兵	700	4	0.3	1	8
0	63066	重步兵	700	4	0.3	1	8
0	63067	重步兵	700	4	0.3	1	8
0	63068	重步兵	700	4	0.3	1	8
0	63069	重步兵	700	4	0.3	1	8
0	63070	重步兵	700	4	0.3	1	8
0	63071	重步兵	700	4	0.3	1	8
0	63072	重步兵	700	4	0.3	1	8
0	63073	重步兵	700	4	0.3	1	8
0	63074	重步兵	700	4	0.3	1	8
0	63075	重步兵	700	4	0.3	1	8
0	63076	关靖	2000	4	0.3	1	7
0	63077	弓箭兵	700	4	0.3	1	8
0	63078	弓箭兵	700	4	0.3	1	8
0	63079	弓箭兵	700	4	0.3	1	8
0	63080	弓箭兵	700	4	0.3	1	8
0	110036	范阳营寨	500	4	0.3	2	4
0	130083	涿县营寨	500	4	0.3	0	4
1	22378	涿县北营寨	500	5	0.3	0	4
1	22379	荣城营寨	500	5	0.3	0	4
1	63001	涿县东城门	1200	20	0.3	1	3
1	63002	涿县北城门	1200	20	0.3	1	3
1	63003	涿县政厅	3000	40	0.3	1	1
1	63004	涿县箭塔	1000	20	0.3	1	2
1	63005	涿县箭塔	1000	20	0.3	1	2
1	63006	箭塔	1000	20	0.3	1	2
1	63007	箭塔	1000	20	0.3	1	2
1	63008	箭塔	1000	20	0.3	1	2
1	63028	公孙续	2000	5	0.3	1	7
1	63029	重步兵	700	5	0.3	1	8
1	63030	重步兵	700	5	0.3	1	8
1	63039	弓箭兵	700	5	0.3	1	8
1	63040	弓箭兵	700	5	0.3	1	8
1	63043	公孙越	2000	5	0.3	1	7
1	63044	弓箭兵	700	5	0.3	1	8
1	63045	弓箭兵	700	5	0.3	1	8
1	63054	弓箭兵	700	5	0.3	1	8
1	63055	弓箭兵	700	5	0.3	1	8
1	63076	关靖	2000	5	0.3	1	7
1	63077	弓箭兵	700	5	0.3	1	8
1	63078	弓箭兵	700	5	0.3	1	8
1	63079	弓箭兵	700	5	0.3	1	8
1	63080	弓箭兵	700	5	0.3	1	8
1	110036	范阳营寨	1500	8	0.3	2	4
1	120152	涿县防守点	1000	15	3	1	4
1	130083	涿县营寨	500	5	0.3	0	4
2	63003	涿县政厅	3000	40	0.3	1	1
10	110034	枋城营寨	500	5	0.3	2	4
10	110034	枋城营寨	500	5	0.3	2	4
10	110035	涞水营寨	500	5	0.3	2	4
10	110035	涞水营寨	500	5	0.3	2	4
