id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	88401	秭归政厅	3000	40	0.3	1	1
0	22390	秭归西南营寨	500	4	0.3	0	4
0	22391	秭归东营寨	500	4	0.3	0	4
0	88402	秭归箭楼	1000	20	0.3	1	2
0	88403	秭归箭楼	1000	20	0.3	1	2
0	88404	秭归南城门	1200	20	0.3	1	3
0	88405	秭归西城门	1200	20	0.3	1	3
0	88406	秭归东城门	1200	20	0.3	1	3
0	88407	轻骑兵	700	4	0.3	1	8
0	88408	轻骑兵	700	4	0.3	1	8
0	88409	重步兵	700	4	0.3	1	8
0	88410	重步兵	700	4	0.3	1	8
0	88411	轻骑兵	700	4	0.3	1	8
0	88412	轻骑兵	700	4	0.3	1	8
0	88413	重步兵	700	4	0.3	1	8
0	88414	重步兵	700	4	0.3	1	8
0	88415	轻骑兵	700	4	0.3	1	8
0	88416	轻骑兵	700	4	0.3	1	8
0	88417	重步兵	700	4	0.3	1	8
0	88418	重步兵	700	4	0.3	1	8
0	88419	长戟兵	700	4	0.3	1	8
0	88420	长戟兵	700	4	0.3	1	8
0	88421	重步兵	700	4	0.3	1	8
0	88422	重步兵	700	4	0.3	1	8
0	88423	朱清	2000	4	0.3	1	7
0	88424	长戟兵	700	4	0.3	1	8
0	88425	长戟兵	700	4	0.3	1	8
0	88426	重步兵	700	4	0.3	1	8
0	88427	重步兵	700	4	0.3	1	8
0	88428	朱自	2000	4	0.3	1	7
0	88429	长戟兵	700	4	0.3	1	8
0	88430	长戟兵	700	4	0.3	1	8
0	88431	重步兵	700	4	0.3	1	8
0	88432	重步兵	700	4	0.3	1	8
0	88433	朱成	2000	4	0.3	1	7
0	88434	神射营	700	4	0.3	1	8
0	88435	神射营	700	4	0.3	1	8
0	88436	神射营	700	4	0.3	1	8
0	88437	神射营	700	4	0.3	1	8
0	88438	神射营	700	4	0.3	1	8
0	88439	神射营	700	4	0.3	1	8
0	88440	神射营	700	4	0.3	1	8
0	88441	神射营	700	4	0.3	1	8
0	88442	神射营	700	4	0.3	1	8
0	88443	神射营	700	4	0.3	1	8
0	88444	神射营	700	4	0.3	1	8
0	88445	丹阳兵	700	4	0.3	1	8
0	88446	神射营	700	4	0.3	1	8
0	88447	神射营	700	4	0.3	1	8
0	88448	丹阳兵	700	4	0.3	1	8
0	88449	长戟兵	700	4	0.3	1	8
0	88450	长戟兵	700	4	0.3	1	8
0	88451	长戟兵	700	4	0.3	1	8
0	88452	长戟兵	700	4	0.3	1	8
0	88453	长戟兵	700	4	0.3	1	8
0	88454	长戟兵	700	4	0.3	1	8
0	88455	丹阳兵	700	4	0.3	1	8
0	88456	丹阳兵	700	4	0.3	1	8
0	88457	丹阳兵	700	4	0.3	1	8
0	88458	丹阳兵	700	4	0.3	1	8
0	88459	神射营	700	4	0.3	1	8
0	88460	神射营	700	4	0.3	1	8
0	88461	轻骑兵	700	4	0.3	1	8
0	88462	轻骑兵	700	4	0.3	1	8
0	88463	神射营	700	4	0.3	1	8
0	88464	神射营	700	4	0.3	1	8
0	88465	神射营	700	4	0.3	1	8
0	88466	丹阳兵	700	4	0.3	1	8
0	88467	丹阳兵	700	4	0.3	1	8
0	88468	神射营	700	4	0.3	1	8
0	88469	神射营	700	4	0.3	1	8
0	88470	邓凯	2000	4	0.3	1	7
0	110273	信陵营寨	500	4	0.3	2	4
1	22390	秭归西南营寨	500	5	0.3	0	4
1	22391	秭归东营寨	500	5	0.3	0	4
1	88401	秭归政厅	3000	40	0.3	1	1
1	88402	秭归箭楼	1000	20	0.3	1	2
1	88403	秭归箭楼	1000	20	0.3	1	2
1	88404	秭归南城门	1200	20	0.3	1	3
1	88405	秭归西城门	1200	20	0.3	1	3
1	88406	秭归东城门	1200	20	0.3	1	3
1	88421	重步兵	700	5	0.3	1	8
1	88422	重步兵	700	5	0.3	1	8
1	88423	朱清	2000	5	0.3	1	7
1	88426	重步兵	700	5	0.3	1	8
1	88427	重步兵	700	5	0.3	1	8
1	88428	朱自	2000	5	0.3	1	7
1	88431	重步兵	700	5	0.3	1	8
1	88432	重步兵	700	5	0.3	1	8
1	88433	朱成	2000	5	0.3	1	7
1	88436	神射营	700	5	0.3	1	8
1	88439	神射营	700	5	0.3	1	8
1	88442	神射营	700	5	0.3	1	8
1	88445	丹阳兵	700	5	0.3	1	8
1	88448	丹阳兵	700	5	0.3	1	8
1	88466	丹阳兵	700	5	0.3	1	8
1	88467	丹阳兵	700	5	0.3	1	8
1	88468	神射营	700	5	0.3	1	8
1	88469	神射营	700	5	0.3	1	8
1	88470	邓凯	2000	5	0.3	1	7
1	110273	信陵营寨	1500	8	0.3	2	4
1	120162	秭归防守点	1000	15	3	1	4
2	88401	秭归政厅	3000	40	0.3	1	1
10	110272	兴山营寨	500	5	0.3	2	4
10	110272	兴山营寨	500	5	0.3	2	4
10	110274	马鞍山营寨	500	5	0.3	2	4
10	110274	马鞍山营寨	500	5	0.3	2	4
