ÅÅÃû	icon	½±Àø1	½±Àø2	½±Àø3
1	UI_GZPH_01.img	5|0|0|150000	13|0|0|50000	10|6105|0|10
2	UI_GZPH_02.img	5|0|0|100000	13|0|0|30000	10|6105|0|8
3	UI_GZPH_03.img	5|0|0|50000	13|0|0|30000	10|6105|0|5
4	UI_GZPH_04.img	5|0|0|50000	13|0|0|30000	10|6105|0|5
5	UI_GZPH_05.img	5|0|0|50000	13|0|0|30000	10|6105|0|5
6	UI_GZPH_06.img	5|0|0|30000	13|0|0|25000	10|6105|0|5
7	UI_GZPH_07.img	5|0|0|30000	13|0|0|25000	10|6105|0|5
8	UI_GZPH_08.img	5|0|0|30000	13|0|0|25000	10|6105|0|5
9	UI_GZPH_09.img	5|0|0|30000	13|0|0|25000	10|6105|0|5
10	UI_GZPH_10.img	5|0|0|30000	13|0|0|25000	10|6105|0|5
11	UI_GZPH_11.img	5|0|0|30000	13|0|0|25000	10|6105|0|3
12	UI_GZPH_12.img	5|0|0|30000	13|0|0|25000	10|6105|0|3
13	UI_GZPH_13.img	5|0|0|30000	13|0|0|25000	10|6105|0|3
14	UI_GZPH_14.img	5|0|0|30000	13|0|0|25000	10|6105|0|3
15	UI_GZPH_15.img	5|0|0|30000	13|0|0|25000	10|6105|0|3
16		5|0|0|20000	13|0|0|20000	10|6105|0|2
17		5|0|0|20000	13|0|0|20000	10|6105|0|2
18		5|0|0|20000	13|0|0|20000	10|6105|0|2
19		5|0|0|20000	13|0|0|20000	10|6105|0|2
20		5|0|0|20000	13|0|0|20000	10|6105|0|2
21		5|0|0|20000	13|0|0|15000	10|6105|0|2
