BufID	BufferIcon	Buffer描述	BufferTime	Buf类型	备注	abstractid
10|0	UI_Buff_GuWu.img	获得5%攻击力和5%生命上限加成	30	5	犒赏	0
102|0	UI_Buff_GuWu.img	激励/n提升10%血量和攻击		5	战场1级buff	0
12|0	UI_Buff_GuWu.img	鼓舞提升2%血量和攻击		5	1级鼓舞	0
13|0	UI_Buff_MaBi.img	麻痹，攻速移速降低90%	2	1	张角光环	0
16|0	UI_Buff_GuWu.img	鼓舞提升4%血量和攻击		5	2级鼓舞	0
17|0	UI_Buff_GuWu.img	鼓舞提升6%血量和攻击		5	3级鼓舞	0
18|0	UI_Buff_GuWu.img	鼓舞提升8%血量和攻击		5	4级鼓舞	0
19|0	UI_Buff_GuWu.img	鼓舞提升10%血量和攻击		5	5级鼓舞	0
20|0	UI_Buff_GuWu.img	鼓舞提升12%血量和攻击		5	6级鼓舞	0
21|0	UI_Buff_GuWu.img	鼓舞提升14%血量和攻击		5		0
22|0	UI_Buff_GuWu.img	鼓舞提升16%血量和攻击		5		0
23|0	UI_Buff_GuWu.img	鼓舞提升18%血量和攻击		5		0
24|0	UI_Buff_GuWu.img	鼓舞提升20%血量和攻击		5		0
25|0	UI_Buff_GuWu.img	鼓舞提升22%血量和攻击		5		0
26|0	UI_Buff_GuWu.img	鼓舞提升24%血量和攻击		5		0
27|0	UI_Buff_GuWu.img	鼓舞提升26%血量和攻击		5		0
28|0	UI_Buff_GuWu.img	鼓舞提升28%血量和攻击		5		0
29|0	UI_Buff_GuWu.img	鼓舞提升30%血量和攻击		5		0
3|0	UI_Buff_WuLiMianYi.img	无敌	5	6	无敌	0
9|0	UI_Buff_GuWu.img	您犒赏了全军，获得5%攻击力和5%生命上限加成	0	6	犒赏	0
77|0	UI_Buff_LiuXue.img	每2秒受到一次伤害	2	6	名将之路1	24700
78|0	UI_Buff_ZengJiaGongJiLi.img	攻击力增加50%	20	6	名将之路2	24701
701|0	UI_Buff_ZengJiaGongJiLi.img	自身6米范围内所有队友增加50%攻击力	2	6		24705
30000|0	UI_Buff_JiangDiGongJiLi.img	攻击力降低50%	10	1		24712
30001|0	UI_Buff_JiangDiGongSu.img	攻击速度和移动速度降低70%	15	1		24713
30002|0	UI_Buff_HunLuan.img	混乱	10	1		24714
30003|0	UI_Buff_MaBi.img	中毒	5	1		24715
30004|0	UI_Buff_XuanYun.img	眩晕	10	1		24716
432|0	UI_Buff_WuShangJianMian.img	伤害减免20%	5	7	地6	28433
432|1	UI_Buff_WuShangJianMian.img	伤害减免25%	5	7	地7	28434
432|2	UI_Buff_WuShangJianMian.img	伤害减免30%	5	7	地8	28435
433|0	UI_Buff_CDSuoJian.img	CD缩减20%	20	7	风6	28436
433|1	UI_Buff_CDSuoJian.img	CD缩减25%	25	7	风7	28437
433|2	UI_Buff_CDSuoJian.img	CD缩减30%	35	7	风8	28438
434|0	UI_Buff_MaBi.img	麻痹	1.2	7	雷6	28439
434|1	UI_Buff_MaBi.img	麻痹	1.3	7	雷7	28440
434|2	UI_Buff_MaBi.img	麻痹	1.5	7	雷8	28441
437|0	UI_Buff_HuiFuShengMing.img	生命上限提高5%	5	7	山6	28448
437|1	UI_Buff_HuiFuShengMing.img	生命上限提高10%	5	7	山7	28449
437|2	UI_Buff_HuiFuShengMing.img	生命上限提高15%	5	7	山8	28450
438|0	UI_Buff_BaoJi.img	基础暴击提高100%，攻速提高50%	5	7	泽6	28451
438|1	UI_Buff_BaoJi.img	基础暴击提高200%，攻速提高50%	7	7	泽7	28452
438|2	UI_Buff_BaoJi.img	基础暴击提高400%，攻速提高50%	10	7	泽8	28453
500|0			5	6		24900
501|0			5	6		24901
502|0			5	6		24902
503|0			5	6		24903
504|0			5	6		24904
505|0			5	6		24905
506|0			5	6		24906
507|0			5	6		24907
508|0			5	6		24908
509|0			5	6		24909
510|0			2	6	击晕	24910
611|0	UI_Buff_BaoJi.img	无双：提升200%基础暴击，\n50%攻击，暴击伤害提升为250%	5	6	无双	24911
612|0	UI_Buff_ChaoFeng.img	双雄：嘲讽目标5秒，\n同时提升自身100%攻击	5	6	双雄	24913
613|0	UI_Buff_WuLiChuanTou.img	武圣：提升50%攻击，\n100%法术加成，100%护甲穿透	5	6	武圣	24914
614|0	UI_Buff_XiangWei.img	溃围：相位移动状态，\n提升50%攻击，35%移动速度	5	6	溃围	24915
10010|0	UI_Buff_ZengJiaHuJia.img	提升20%护甲	5	2	曹仁0	25010
10010|1	UI_Buff_ZengJiaHuJia.img	提升40%护甲	5.5	2	曹仁1	25011
10010|2	UI_Buff_ZengJiaHuJia.img	提升60%护甲	6	2	曹仁2	25012
10010|3	UI_Buff_ZengJiaHuJia.img	提升80%护甲	6.5	2	曹仁3	25013
10010|4	UI_Buff_ZengJiaHuJia.img	提升100%护甲	7	2	曹仁4	25014
10010|5	UI_Buff_ZengJiaHuJia.img	提升100%护甲，10%减伤	7.5	2	曹仁5	25015
10010|6	UI_Buff_ZengJiaHuJia.img	提升100%护甲，15%减伤	8	2	曹仁6	25016
10010|7	UI_Buff_ZengJiaHuJia.img	提升100%护甲，20%减伤	8.5	2	曹仁7	25017
10010|8	UI_Buff_ZengJiaHuJia.img	提升100%护甲，30%减伤	9	2	曹仁8	25018
10010|9	UI_Buff_ZengJiaHuJia.img	提升100%护甲，50%减伤	10	2	曹仁9	25019
20001|0	UI_Buff_HuJia.img	"受到攻击时,获得1士气"	0	3	曹洪0	25020
20001|1	UI_Buff_HuJia.img	"受到攻击时,获得1.5士气"	0	3	曹洪1	25021
20001|2	UI_Buff_HuJia.img	"受到攻击时,获得2士气"	0	3	曹洪2	25022
20001|3	UI_Buff_HuJia.img	"受到攻击时,获得2.5士气"	0	3	曹洪3	25023
20001|4	UI_Buff_HuJia.img	"受到攻击时,获得3士气"	0	3	曹洪4	25024
20001|5	UI_Buff_HuJia.img	"受到攻击时,获得3.5士气"	0	3	曹洪5	25025
20001|6	UI_Buff_HuJia.img	"受到攻击时,获得4士气"	0	3	曹洪6	25026
20001|7	UI_Buff_HuJia.img	"受到攻击时,获得4.5士气"	0	3	曹洪7	25027
20001|8	UI_Buff_HuJia.img	"受到攻击时,获得5士气"	0	3	曹洪8	25028
20001|9	UI_Buff_HuJia.img	"受到攻击时,获得6士气"	0	3	曹洪9	25029
10002|0	UI_Buff_WuShangFanTan.img	反弹10%物理伤害	5	2	夏侯惇0	25070
10002|1	UI_Buff_WuShangFanTan.img	反弹15%物理伤害	5	2	夏侯惇1	25071
10002|2	UI_Buff_WuShangFanTan.img	反弹20%物理伤害	5	2	夏侯惇2	25072
10002|3	UI_Buff_WuShangFanTan.img	反弹25%物理伤害	5	2	夏侯惇3	25073
10002|4	UI_Buff_WuShangFanTan.img	反弹30%物理伤害	5	2	夏侯惇4	25074
10002|5	UI_Buff_WuShangFanTan.img	反弹30%物理伤害20%法术伤害	5.5	2	夏侯惇5	25075
10002|6	UI_Buff_WuShangFanTan.img	反弹30%物理伤害35%法术伤害	6	2	夏侯惇6	25076
10002|7	UI_Buff_WuShangFanTan.img	反弹30%物理伤害50%法术伤害	6.5	2	夏侯惇7	25077
10002|8	UI_Buff_WuShangFanTan.img	反弹30%物理伤害65%法术伤害	7	2	夏侯惇8	25078
10002|9	UI_Buff_WuShangFanTan.img	反弹30%物理伤害80%法术伤害	8	2	夏侯惇9	25079
20003|0	UI_Buff_ZengJiaGongSu.img	提升40%攻击速度	4	2	夏侯渊3	25083
20003|1	UI_Buff_ZengJiaGongSu.img	提升40%攻击速度	5	2	夏侯渊4	25084
20003|2	UI_Buff_ZengJiaGongSu.img	提升40%攻击速度	6	2	夏侯渊5	25085
20003|3	UI_Buff_ZengJiaGongSu.img	提升40%攻击速度	7	2	夏侯渊6	25086
20003|4	UI_Buff_ZengJiaGongSu.img	提升40%攻击速度	8	2	夏侯渊7	25087
20003|5	UI_Buff_ZengJiaGongSu.img	提升40%攻击速度	9	2	夏侯渊8	25088
20003|6	UI_Buff_ZengJiaGongSu.img	提升40%攻击速度	10	2	夏侯渊9	25089
1000|0	UI_Buff_JiangDiGongSu.img	攻速降低50%	5	1	张辽0	25090
10001|0	UI_Buff_XuanYun.img	眩晕	1	1	张辽0	25090
10001|1	UI_Buff_XuanYun.img	眩晕	2	1	张辽1	25091
1001|0	UI_Buff_JiangDiGongSu.img	攻速降低80%	5	1	张辽1	25091
10001|2	UI_Buff_XuanYun.img	眩晕	3	1	张辽2	25092
1002|0	UI_Buff_JiangDiGongSu.img	攻速降低120%	5	1	张辽2	25092
10001|3	UI_Buff_XuanYun.img	眩晕	4	1	张辽3	25093
1003|0	UI_Buff_JiangDiGongSu.img	攻速降低160%	5	1	张辽3	25093
10001|4	UI_Buff_XuanYun.img	眩晕	5	1	张辽4	25094
1004|0	UI_Buff_JiangDiGongSu.img	攻速降低200%	5	1	张辽4	25094
10001|5	UI_Buff_XuanYun.img	眩晕	5	1	张辽5	25095
10001|6	UI_Buff_XuanYun.img	眩晕	5	1	张辽6	25096
10001|7	UI_Buff_XuanYun.img	眩晕	5	1	张辽7	25097
10001|8	UI_Buff_XuanYun.img	眩晕	5	1	张辽8	25098
10001|9	UI_Buff_XuanYun.img	眩晕	5	1	张辽9	25099
10004|0	UI_Buff_ZengJiaGongSu.img	提升50%攻击速度	5	2	徐晃0	25100
10004|1	UI_Buff_ZengJiaGongSu.img	提升50%攻击速度	6	2	徐晃1	25101
10004|2	UI_Buff_ZengJiaGongSu.img	提升50%攻击速度	7	2	徐晃2	25102
10004|3	UI_Buff_ZengJiaGongSu.img	提升50%攻击速度	8	2	徐晃3	25103
10004|4	UI_Buff_ZengJiaGongSu.img	提升50%攻击速度	9	2	徐晃4	25104
10004|5	UI_Buff_ZengJiaGongSu.img	提升58%攻击速度，20%物伤加成	9	2	徐晃5	25105
10004|6	UI_Buff_ZengJiaGongSu.img	提升66%攻击速度，25%物伤加成	9	2	徐晃6	25106
10004|7	UI_Buff_ZengJiaGongSu.img	提升74%攻击速度，30%物伤加成	9	2	徐晃7	25107
10004|8	UI_Buff_ZengJiaGongSu.img	提升82%攻击速度，35%物伤加成	9	2	徐晃8	25108
10004|9	UI_Buff_ZengJiaGongSu.img	提升100%攻击速度，50%物伤加成	9	2	徐晃9	25109
1110|0	UI_Buff_ZengJiaHuJia.img	护甲提高20%	5	0	于禁0	25120
1111|0	UI_Buff_ZengJiaHuJia.img	护甲提高30%	5	0	于禁1	25121
1112|0	UI_Buff_ZengJiaHuJia.img	护甲提高40%	5	0	于禁2	25122
1113|0	UI_Buff_ZengJiaHuJia.img	护甲提高50%	5	0	于禁3	25123
1114|0	UI_Buff_ZengJiaHuJia.img	护甲提高60%	5	0	于禁4	25124
1115|0	UI_Buff_ZengJiaHuJia.img	"护甲提高70%,格挡提高40%"	5.5	0	于禁5	25125
1116|0	UI_Buff_ZengJiaHuJia.img	"护甲提高80%,格挡提高50%"	6	0	于禁6	25126
1117|0	UI_Buff_ZengJiaHuJia.img	"护甲提高90%,格挡提高60%"	6.5	0	于禁7	25127
1118|0	UI_Buff_ZengJiaHuJia.img	"护甲提高100%,格挡提高70%"	7	0	于禁8	25128
1119|0	UI_Buff_ZengJiaHuJia.img	"护甲提高110%,格挡提高90%"	8	0	于禁9	25129
20013|0	UI_Buff_NingZhi.img	霸体状态，免疫部分控制效果，攻速+30%	3	2	乐进0	25130
20013|1	UI_Buff_NingZhi.img	霸体状态，免疫部分控制效果，攻速+35%	3.5	2	乐进1	25131
20013|2	UI_Buff_NingZhi.img	霸体状态，免疫部分控制效果，攻速+40%	4	2	乐进2	25132
20013|3	UI_Buff_NingZhi.img	霸体状态，免疫部分控制效果，攻速+45%	4.5	2	乐进3	25133
20013|4	UI_Buff_NingZhi.img	霸体状态，免疫部分控制效果，攻速+50%	5	2	乐进4	25134
20013|5	UI_Buff_NingZhi.img	霸体状态，免疫部分控制效果，攻速+55%	5.5	2	乐进5	25135
20013|6	UI_Buff_NingZhi.img	霸体状态，免疫部分控制效果，攻速+60%	6	2	乐进6	25136
20013|7	UI_Buff_NingZhi.img	霸体状态，免疫部分控制效果，攻速+65%	6.5	2	乐进7	25137
20013|8	UI_Buff_NingZhi.img	霸体状态，免疫部分控制效果，攻速+70%	7	2	乐进8	25138
20013|9	UI_Buff_NingZhi.img	霸体状态，免疫部分控制效果，攻速+80%	8	2	乐进9	25139
1005|0	UI_Buff_WuLiJiaCheng.img	受到的物理伤害增加20%	3	1	乐进5	25135
1006|0	UI_Buff_WuLiJiaCheng.img	受到的物理伤害增加25%	3.5	1	乐进6	25136
1007|0	UI_Buff_WuLiJiaCheng.img	受到的物理伤害增加30%	4	1	乐进7	25137
1008|0	UI_Buff_WuLiJiaCheng.img	受到的物理伤害增加35%	4.5	1	乐进8	25138
1009|0	UI_Buff_WuLiJiaCheng.img	受到的物理伤害增加45%	5.5	1	乐进9	25139
20011|0	UI_Buff_BaoJiJian.img	每次攻击附带5%当前生命伤害	12	2	典韦4	25144
20011|1	UI_Buff_BaoJiJian.img	每次攻击附带6%当前生命伤害	12	2	典韦5	25145
20011|2	UI_Buff_BaoJiJian.img	每次攻击附带7%当前生命伤害	12	2	典韦6	25146
20011|3	UI_Buff_BaoJiJian.img	每次攻击附带8%当前生命伤害	12	2	典韦7	25147
20011|4	UI_Buff_BaoJiJian.img	每次攻击附带9%当前生命伤害	12	2	典韦8	25148
