chengchiid	name	x	y	icon
1001	不耐	-9093	-4168	T_CopyBattle_Xianshi3.img
1002	乐浪	8413	-201	T_CopyBattle_Xianshi3.img
1003	带方	887	5146	T_CopyBattle_Xianshi3.img
1004	海冥	-7781	2842	T_CopyBattle_Xianshi2.img
1005	安平	2223	-3110	T_CopyBattle_Xianshi3.img
1006	襄平	558	-10108	T_CopyBattle_Xianshi3.img
1007	安市	-5772	6263	T_CopyBattle_Xianshi3.img
1008	平郭	8413	-201	T_CopyBattle_Xianshi3.img
1009	北丰	4290	-2832	T_CopyBattle_Xianshi3.img
1010	东沓	-4957	-3975	T_CopyBattle_Xianshi3.img
1011	玄菟	8413	-201	T_CopyBattle_Xianshi3.img
1012	昌黎	8413	-201	T_CopyBattle_Xianshi3.img
1013	柳城	2034	167	T_CopyBattle_Xianshi3.img
2001	辽西	-814	6164	T_CopyBattle_Xianshi3.img
2002	北平	8413	-201	T_CopyBattle_Xianshi3.img
2003	蓟	2223	-3110	T_CopyBattle_Xianshi3.img
2004	涿县	-9093	-4168	T_CopyBattle_Xianshi3.img
2005	代县	-9786	-2387	T_CopyBattle_Xianshi3.img
2006	易京	2034	167	T_CopyBattle_Xianshi3.img
3001	河间	1721	5213	T_CopyBattle_Xianshi3.img
3002	南皮	-814	6164	T_CopyBattle_Xianshi3.img
3003	灵丘	2034	167	T_CopyBattle_Xianshi3.img
3004	中山	558	-10108	T_CopyBattle_Xianshi3.img
3005	常山	9420	-290	T_CopyBattle_Xianshi3.img
3006	巨鹿	-814	6164	T_CopyBattle_Xianshi3.img
3007	邯郸	-814	6164	T_CopyBattle_Xianshi3.img
3008	临水	-5494	-1647	T_CopyBattle_Xianshi2.img
3009	邺	-4920	18575	T_CopyBattle_Xianshi2.img
3010	黎阳	5406	11076	T_CopyBattle_Xianshi3.img
3011	馆陶	-290	4583	T_CopyBattle_Xianshi3.img
3012	界桥	2034	167	T_CopyBattle_Xianshi3.img
4001	东莱	4459	-284	T_CopyBattle_Xianshi3.img
