itemid	掉落种数	掉落类型	dropid	掉落几率	数量										
6000	1	10	3400	50	1|1										
6000	1	10	3410	50	1|1										
6001	1	10	3420	50	1|1										
6001	1	10	3430	50	1|1										
6002	1	10	3440	50	1|1										
6002	1	10	3450	50	1|1										
6003	1	10	3460	50	1|1										
6003	1	10	3470	50	1|1										
6004	1	10	3401	50	1|1										
6004	1	10	3411	50	1|1										
6005	1	10	3421	50	1|1										
6005	1	10	3431	50	1|1										
6006	1	10	3441	50	1|1										
6006	1	10	3451	50	1|1										
6007	1	10	3461	50	1|1										
6007	1	10	3471	50	1|1										
6008	1	10	3402	50	1|1										
6008	1	10	3412	50	1|1										
6009	1	10	3422	50	1|1										
6009	1	10	3432	50	1|1										
6010	1	10	3442	50	1|1										
6010	1	10	3452	50	1|1										
6011	1	10	3462	50	1|1										
6011	1	10	3472	50	1|1										
6012	1	10	3403	50	1|1										
6012	1	10	3413	50	1|1										
6013	1	10	3423	50	1|1										
6013	1	10	3433	50	1|1										
6014	1	10	3443	50	1|1										
6014	1	10	3453	50	1|1										
6015	1	10	3463	50	1|1										
6015	1	10	3473	50	1|1										
6016	1	10	3404	50	1|1										
6016	1	10	3414	50	1|1										
6017	1	10	3424	50	1|1										
6017	1	10	3434	50	1|1										
6018	1	10	3444	50	1|1										
6018	1	10	3454	50	1|1										
6019	1	10	3464	50	1|1										
6019	1	10	3474	50	1|1										
6049	1	8		100	50|50										
6050	1	8		100	100|100										
6051	1	8		100	200|200										
6052	1	8		100	500|500										
6053	1	8		100	10000|10000										
6060	2	6		100	50000|50000										
6060	2	8		100	50000|50000										
6061	5	1		100	200000|200000										
6061	5	2		100	200000|200000										
6061	5	3		100	200000|200000										
6061	5	4		100	200000|200000										
6061	5	5		100	200000|200000										
6062	1	5		100	5000|5000										
6600	1	5		100	15000|15000										
6063	4	6		100	163523|163523										
6063	4	8		100	9999|9999										
6063	4	10	7604	100	3|3										
6063	4	10	7634	100	3|3										
6030	1	10	3015	10	1|1										
6030	1	10	3016	10	1|1										
6030	1	10	3017	10	1|1										
6030	1	10	3018	10	1|1										
6030	1	10	3019	10	1|1										
6030	1	10	3020	10	1|1										
6030	1	10	2126	5	1|1										
6030	1	10	2128	5	1|1										
6030	1	10	2125	5	1|1										
6030	1	10	2127	5	1|1										
6030	1	10	4003	150	5|10										
6030	1	10	4009	150	5|10										
6030	1	10	4024	150	5|10										
6030	1	10	4025	150	5|10										
6030	1	10	4015	150	5|10										
6031	1	10	3015	10	1|1										
6031	1	10	3016	10	1|1										
6031	1	10	3017	10	1|1										
6031	1	10	3018	10	1|1										
6031	1	10	3019	10	1|1										
6031	1	10	3020	10	1|1										
6031	1	10	2126	5	1|1										
6031	1	10	2128	5	1|1										
6031	1	10	2125	5	1|1										
6031	1	10	2127	5	1|1										
6031	1	10	4003	150	5|10										
6031	1	10	4009	150	5|10										
6031	1	10	4024	150	5|10										
6031	1	10	4025	150	5|10										
6031	1	10	4015	150	5|10										
6032	1	10	3015	10	1|1										
6032	1	10	3016	10	1|1										
6032	1	10	3017	10	1|1										
6032	1	10	3018	10	1|1										
6032	1	10	3019	10	1|1										
6032	1	10	3020	10	1|1										
6032	1	10	2126	5	1|1										
6032	1	10	2128	5	1|1										
6032	1	10	2125	5	1|1										
6032	1	10	2127	5	1|1										
6032	1	10	4003	150	5|10										
6032	1	10	4009	150	5|10										
6032	1	10	4024	150	5|10										
6032	1	10	4025	150	5|10										
6032	1	10	4015	150	5|10										
6033	1	10	3006	10	1|1										
6033	1	10	3007	10	1|1										
6033	1	10	3008	10	1|1										
6033	1	10	3009	10	1|1										
6033	1	10	3010	10	1|1										
6033	1	10	3011	10	1|1										
6033	1	10	3012	10	1|1										
6033	1	10	3013	10	1|1										
6033	1	10	3014	10	1|1										
6033	1	10	3021	10	1|1										
6033	1	10	3022	10	1|1										
6033	1	10	3023	10	1|1										
6033	1	10	2104	5	1|1										
6033	1	10	2105	5	1|1										
6033	1	10	2115	5	1|1										
6033	1	10	2116	5	1|1										
6033	1	10	2124	5	1|1										
6033	1	10	2130	5	1|1										
6033	1	10	2123	5	1|1										
6033	1	10	2129	5	1|1										
6033	1	10	4004	150	5|10										
6033	1	10	4010	150	5|10										
6033	1	10	4016	150	5|10										
6033	1	10	4026	150	5|10										
6033	1	10	4027	150	5|10										
6034	1	10	3006	10	1|1										
6034	1	10	3007	10	1|1										
6034	1	10	3008	10	1|1										
6034	1	10	3009	10	1|1										
6034	1	10	3010	10	1|1										
6034	1	10	3011	10	1|1										
6034	1	10	3012	10	1|1										
6034	1	10	3013	10	1|1										
6034	1	10	3014	10	1|1										
6034	1	10	3021	10	1|1										
6034	1	10	3022	10	1|1										
6034	1	10	3023	10	1|1										
6034	1	10	2104	5	1|1										
6034	1	10	2105	5	1|1										
6034	1	10	2115	5	1|1										
6034	1	10	2116	5	1|1										
6034	1	10	2124	5	1|1										
6034	1	10	2130	5	1|1										
6034	1	10	2123	5	1|1										
6034	1	10	2129	5	1|1										
6034	1	10	4004	150	5|10										
6034	1	10	4010	150	5|10										
6034	1	10	4016	150	5|10										
6034	1	10	4026	150	5|10										
6034	1	10	4027	150	5|10										
6035	1	10	3006	10	1|1										
6035	1	10	3007	10	1|1										
6035	1	10	3008	10	1|1										
6035	1	10	3009	10	1|1										
6035	1	10	3010	10	1|1										
6035	1	10	3011	10	1|1										
6035	1	10	3012	10	1|1										
6035	1	10	3013	10	1|1										
6035	1	10	3014	10	1|1										
6035	1	10	3021	10	1|1										
6035	1	10	3022	10	1|1										
6035	1	10	3023	10	1|1										
6035	1	10	2104	5	1|1										
6035	1	10	2105	5	1|1										
6035	1	10	2115	5	1|1										
6035	1	10	2116	5	1|1										
6035	1	10	2124	5	1|1										
6035	1	10	2130	5	1|1										
6035	1	10	2123	5	1|1										
6035	1	10	2129	5	1|1										
6035	1	10	4004	150	5|10										
6035	1	10	4010	150	5|10										
6035	1	10	4016	150	5|10										
6035	1	10	4026	150	5|10										
6035	1	10	4027	150	5|10										
6036	1	10	3000	10	1|1										
6036	1	10	3001	10	1|1										
6036	1	10	3002	10	1|1										
6036	1	10	3003	10	1|1										
6036	1	10	3004	10	1|1										
6036	1	10	3005	10	1|1										
6036	1	10	3024	10	1|1										
6036	1	10	3025	10	1|1										
6036	1	10	3026	10	1|1										
6036	1	10	3027	10	1|1										
6036	1	10	3028	10	1|1										
6036	1	10	3029	10	1|1										
6036	1	10	2103	5	1|1										
6036	1	10	2106	5	1|1										
6036	1	10	2113	5	1|1										
6036	1	10	2114	5	1|1										
6036	1	10	2132	5	1|1										
6036	1	10	2134	5	1|1										
6036	1	10	2131	5	1|1										
6036	1	10	2133	5	1|1										
6036	1	10	4005	150	5|10										
6036	1	10	4002	150	5|10										
6036	1	10	4008	150	5|10										
6036	1	10	4011	150	5|10										
6036	1	10	4014	150	5|10										
6036	1	10	4017	150	5|10										
6036	1	10	4028	150	5|10										
6036	1	10	4023	150	5|10										
6036	1	10	4022	150	5|10										
6036	1	10	4029	150	5|10										
6037	1	10	3000	10	1|1										
6037	1	10	3001	10	1|1										
6037	1	10	3002	10	1|1										
6037	1	10	3003	10	1|1										
6037	1	10	3004	10	1|1										
6037	1	10	3005	10	1|1										
6037	1	10	3024	10	1|1										
6037	1	10	3025	10	1|1										
6037	1	10	3026	10	1|1										
6037	1	10	3027	10	1|1										
6037	1	10	3028	10	1|1										
6037	1	10	3029	10	1|1										
6037	1	10	2103	5	1|1										
6037	1	10	2106	5	1|1										
6037	1	10	2113	5	1|1										
6037	1	10	2114	5	1|1										
6037	1	10	2132	5	1|1										
6037	1	10	2134	5	1|1										
6037	1	10	2131	5	1|1										
6037	1	10	2133	5	1|1										
6037	1	10	4005	150	5|10										
6037	1	10	4002	150	5|10										
6037	1	10	4008	150	5|10										
6037	1	10	4011	150	5|10										
6037	1	10	4014	150	5|10										
6037	1	10	4017	150	5|10										
6037	1	10	4028	150	5|10										
6037	1	10	4023	150	5|10										
6037	1	10	4022	150	5|10										
6037	1	10	4029	150	5|10										
6038	1	10	3000	10	1|1										
6038	1	10	3001	10	1|1										
6038	1	10	3002	10	1|1										
6038	1	10	3003	10	1|1										
6038	1	10	3004	10	1|1										
6038	1	10	3005	10	1|1										
6038	1	10	3024	10	1|1										
6038	1	10	3025	10	1|1										
6038	1	10	3026	10	1|1										
6038	1	10	3027	10	1|1										
6038	1	10	3028	10	1|1										
6038	1	10	3029	10	1|1										
6038	1	10	2103	5	1|1										
6038	1	10	2106	5	1|1										
6038	1	10	2113	5	1|1										
6038	1	10	2114	5	1|1										
6038	1	10	2132	5	1|1										
