itemid	VipLv	掉落种数	掉落类型	dropid	掉落几率	数量
6750	0|3	3	8		100	10|10
6750	0|3	3	5		100	2000|2000
6750	0|3	3	10	6073	100	1|1
6750	4|6	3	8		100	50|50
6750	4|6	3	5		100	10000|10000
6750	4|6	3	10	6073	100	2|2
6750	7|10	3	8		100	100|100
6750	7|10	3	5		100	20000|20000
6750	7|10	3	10	6073	100	5|5
6750	11|15	3	8		100	150|150
6750	11|15	3	5		100	50000|50000
6750	11|15	3	10	6073	100	10|10
6751	0|3	3	8		100	100|100
6751	0|3	3	5		100	10000|10000
6751	0|3	3	10	6073	100	2|2
6751	4|6	3	8		100	200|200
6751	4|6	3	5		100	20000|20000
6751	4|6	3	10	6074	100	1|1
6751	7|10	3	8		100	500|500
6751	7|10	3	5		100	50000|50000
6751	7|10	3	10	6074	100	3|3
6751	11|15	3	8		100	800|800
6751	11|15	3	5		100	100000|100000
6751	11|15	3	10	6074	100	5|5
