Level	军团捐献系数	军团副本系数
1	69.1	14
2	69.2	14
3	69.3	14
4	69.4	14
5	69.5	14
6	69.6	14
7	69.7	14.5
8	69.8	14.52
9	69.9	14.54
10	70	14.56
11	70.1	14.58
12	70.2	14.6
13	70.3	14.62
14	70.4	14.64
15	70.5	14.66
16	70.6	14.68
17	70.7	14.7
18	70.8	14.72
19	70.9	14.74
20	71	14.76
21	71.1	14.78
22	71.2	14.8
23	71.3	14.82
24	71.4	14.84
25	71.5	14.86
26	71.6	14.88
27	71.7	14.9
28	71.8	14.92
29	71.9	14.94
30	72	14.96
31	72.1	14.98
32	72.2	15
33	72.3	15.02
34	72.4	15.04
35	72.5	15.06
36	72.6	15.08
37	72.7	15.1
38	72.8	15.12
39	72.9	15.14
40	73	15.16
41	73.1	15.18
42	73.2	15.2
43	73.3	15.22
44	73.4	15.24
45	73.5	15.26
46	73.6	15.28
47	73.7	15.3
48	73.8	15.32
49	73.9	15.34
50	74	15.46
51	75.1	15.58
52	76.2	15.7
53	77.3	15.82
54	78.4	15.94
55	79.5	16.06
56	81	16.68
57	82.5	17.3
58	84	17.92
59	85.5	18.54
60	87	19.16
61	88.5	19.78
62	90	20.4
63	91.5	21.02
64	93	21.64
65	94.5	22.26
66	96	22.88
67	97.5	23.5
68	99	24.12
69	100.5	24.94
70	102	25.76
71	103.5	26.78
72	105	27.8
73	106.5	28.82
74	108	29.84
75	109.5	30.86
76	111	31.88
77	112.5	32.9
78	114	33.92
79	115.5	34.94
80	117	35.96
