type	vip	开启消耗元宝	每日次数	收益消耗元宝	木材	铁矿	粮食	马匹	概率1	礼金1	概率2	礼金2	概率3	礼金3
11	0	500	1	10	1000	1000	1000	1000	0	0	0	0	0	0
11	1	500	1	10	1000	1000	1000	1000	0	0	0	0	0	0
11	2	500	1	10	1000	1000	1000	1000	0	0	0	0	0	0
11	3	500	1	10	1000	1000	1000	1000	0	0	0	0	0	0
11	4	500	1	10	1000	1000	1000	1000	0	0	0	0	0	0
11	5	500	1	10	1000	1000	1000	1000	0	0	0	0	0	0
11	6	500	2	10	1100	1100	1100	1100	0	0	0	0	0	0
11	7	500	2	10	1100	1100	1100	1100	0	0	0	0	0	0
11	8	500	2	10	1100	1100	1100	1100	0	0	0	0	0	0
11	9	500	3	10	1200	1200	1200	1200	0	0	0	0	0	0
11	10	500	3	10	1200	1200	1200	1200	0	0	0	0	0	0
11	11	500	3	10	1200	1200	1200	1200	0	0	0	0	0	0
11	12	500	4	10	1300	1300	1300	1300	0	0	0	0	0	0
11	13	500	4	10	1300	1300	1300	1300	0	0	0	0	0	0
11	14	500	4	10	1300	1300	1300	1300	0	0	0	0	0	0
11	15	500	4	10	1300	1300	1300	1300	0	0	0	0	0	0
20	0	500	1	10	0	0	0	0	100|20	14	20|10	15	10|0	16
20	1	500	1	10	0	0	0	0	100|20	14	20|10	15	10|0	16
20	2	500	1	10	0	0	0	0	100|20	14	20|10	15	10|0	16
20	3	500	1	10	0	0	0	0	100|20	14	20|10	15	10|0	16
20	4	500	1	10	0	0	0	0	100|20	14	20|10	15	10|0	16
20	5	500	1	10	0	0	0	0	100|20	14	20|10	15	10|0	16
20	6	500	2	10	0	0	0	0	100|20	14	20|10	15	10|0	16
20	7	500	2	10	0	0	0	0	100|20	14	20|10	15	10|0	16
20	8	500	2	10	0	0	0	0	100|20	14	20|10	15	10|0	16
20	9	500	3	10	0	0	0	0	100|20	14	20|10	15	10|0	16
20	10	500	3	10	0	0	0	0	100|20	14	20|10	15	10|0	16
20	11	500	3	10	0	0	0	0	100|20	14	20|10	15	10|0	16
20	12	500	4	10	0	0	0	0	100|20	14	20|10	15	10|0	16
20	13	500	4	10	0	0	0	0	100|20	14	20|10	15	10|0	16
20	14	500	4	10	0	0	0	0	100|20	14	20|10	15	10|0	16
20	15	500	4	10	0	0	0	0	100|20	14	20|10	15	10|0	16
21	0	500	1	10	0	0	0	0	100|20	14	20|10	15	10|0	16
21	1	500	1	10	0	0	0	0	100|20	14	20|10	15	10|0	16
21	2	500	1	10	0	0	0	0	100|20	14	20|10	15	10|0	16
21	3	500	1	10	0	0	0	0	100|20	14	20|10	15	10|0	16
21	4	500	1	10	0	0	0	0	100|20	14	20|10	15	10|0	16
21	5	500	1	10	0	0	0	0	100|20	14	20|10	15	10|0	16
21	6	500	2	10	0	0	0	0	100|20	14	20|10	15	10|0	16
21	7	500	2	10	0	0	0	0	100|20	14	20|10	15	10|0	16
21	8	500	2	10	0	0	0	0	100|20	14	20|10	15	10|0	16
21	9	500	3	10	0	0	0	0	100|20	14	20|10	15	10|0	16
21	10	500	3	10	0	0	0	0	100|20	14	20|10	15	10|0	16
21	11	500	3	10	0	0	0	0	100|20	14	20|10	15	10|0	16
21	12	500	4	10	0	0	0	0	100|20	14	20|10	15	10|0	16
21	13	500	4	10	0	0	0	0	100|20	14	20|10	15	10|0	16
21	14	500	4	10	0	0	0	0	100|20	14	20|10	15	10|0	16
21	15	500	4	10	0	0	0	0	100|20	14	20|10	15	10|0	16
22	0	500	1	10	0	0	0	0	100|20	14	20|10	15	10|0	16
22	1	500	1	10	0	0	0	0	100|60	13	60|5	15	5|0	17
22	2	500	1	10	0	0	0	0	100|60	13	60|5	15	5|0	17
22	3	500	1	10	0	0	0	0	100|60	13	60|5	15	5|0	17
22	4	500	1	10	0	0	0	0	100|60	13	60|5	15	5|0	17
22	5	500	1	10	0	0	0	0	100|60	13	60|5	15	5|0	17
22	6	500	2	10	0	0	0	0	100|60	13	60|5	15	5|0	17
22	7	500	2	10	0	0	0	0	100|60	13	60|5	15	5|0	17
22	8	500	2	10	0	0	0	0	100|60	13	60|5	15	5|0	17
22	9	500	3	10	0	0	0	0	100|60	13	60|5	15	5|0	17
22	10	500	3	10	0	0	0	0	100|60	13	60|5	15	5|0	17
22	11	500	3	10	0	0	0	0	100|60	13	60|5	15	5|0	17
22	12	500	4	10	0	0	0	0	100|60	13	60|5	15	5|0	17
22	13	500	4	10	0	0	0	0	100|60	13	60|5	15	5|0	17
22	14	500	4	10	0	0	0	0	100|60	13	60|5	15	5|0	17
22	15	500	4	10	0	0	0	0	100|60	13	60|5	15	5|0	17
23	0	500	1	10	0	0	0	0	100|70	12	70|30	13	30|0	20
23	1	500	1	10	0	0	0	0	100|70	12	70|30	13	30|0	20
23	2	500	1	10	0	0	0	0	100|70	12	70|30	13	30|0	20
23	3	500	1	10	0	0	0	0	100|70	12	70|30	13	30|0	20
23	4	500	1	10	0	0	0	0	100|70	12	70|30	13	30|0	20
23	5	500	1	10	0	0	0	0	100|70	12	70|30	13	30|0	20
23	6	500	2	10	0	0	0	0	100|70	12	70|30	13	30|0	20
23	7	500	2	10	0	0	0	0	100|70	12	70|30	13	30|0	20
23	8	500	2	10	0	0	0	0	100|70	12	70|30	13	30|0	20
23	9	500	3	10	0	0	0	0	100|70	12	70|30	13	30|0	20
23	10	500	3	10	0	0	0	0	100|70	12	70|30	13	30|0	20
23	11	500	3	10	0	0	0	0	100|70	12	70|30	13	30|0	20
23	12	500	4	10	0	0	0	0	100|70	12	70|30	13	30|0	20
23	13	500	4	10	0	0	0	0	100|70	12	70|30	13	30|0	20
23	14	500	4	10	0	0	0	0	100|70	12	70|30	13	30|0	20
23	15	500	4	10	0	0	0	0	100|70	12	70|30	13	30|0	20
