id	攻速	CD缩减	移动速度	护甲值	法术抗性	格挡几率	攻击力	生命值	暴击率	闪避率	攻城攻击力	攻击距离	命中率	穿透	法术穿透	潜行	反潜行	视野	无视闪避	反弹物伤	反弹法伤	物理吸血	法术吸血	暴击剑	溅射	物伤加深	法伤加深	abstractid	物伤加成	法伤加成	回复效果
1														7.5																	
2														15																	
3															7.5																
4															15																
5	5																														
6	10																														
7				7.5																											
8				15																											
9					10																										
10					20																										
11		5																													
12		10																													
13												7.5																			
14												15																			
15						25																									
16						50																									
17									25																						
18									50																						
19										25																					
20										50																					
21																25															
22																50															
23																	25														
24																	50														
25																		12.5													
26																		25													
27																				2.5											
28																				5											
29																					5										
30																					10										
31																							2.5								
32														22.5																	
33														30																	
34															22.5																
35															30																
36	15																														
37	20																														
38				22.5																											
39				30																											
40					30																										
41					40																										
42		15																													
43		20																													
44												22.5																			
45												30																			
46						75																									
47						100																									
48									75																						
49									100																						
50										75																					
51										100																					
52																75															
53																100															
54																	75														
55																	100														
56																		37.5													
57																		50													
58																				7.5											
59																				10											
60																					15										
61																					20										
62																							7.5								
63																							10								
64														37.5																	
65														45																	
66															37.5																
67															45																
68	25																														
69	30																														
70				37.5																											
71				45																											
72					50																										
73					60																										
74		25																													
75		30																													
76												37.5																			
77												45																			
78						125																									
79						150																									
80									125																						
81									150																						
82										125																					
83										150																					
84																125															
85																150															
86																	125														
87																	150														
88																		62.5													
89																		75													
90																				12.5											
91																				15											
92																					25										
93																					30										
94																							12.5								
95																							15								
96														52.5																	
97														60																	
98															52.5																
99															60																
100	35																														
101	40																														
102				52.5																											
103				60																											
104					70																										
105					80																										
106		35																													
107		40																													
108												52.5																			
109												60																			
110						175																									
111						200																									
112									175																						
113									200																						
114										175																					
115										200																					
116																175															
117																200															
118																	175														
119																	200														
120																		87.5													
121																		100													
122																				17.5											
123																				20											
124																					35										
125																					40										
126																							17.5								
127																							20								
128														67.5																	
129														75																	
130															67.5																
131															75																
132	45																														
133	50																														
134				67.5																											
135				75																											
136					90																										
137					100																										
138		45																													
139		50																													
140												67.5																			
141												75																			
142						225																									
143						250																									
144									225																						
145									250																						
146										225																					
147										250																					
148																225															
149																250															
150																	225														
151																	250														
152																		112.5													
153																		125													
154																				22.5											
155																				25											
156																					45										
157																					50										
158																							22.5								
159																							25								
160														82.5																	
161														90																	
162															82.5																
163															90																
164	55																														
165	60																														
166				82.5																											
167				90																											
168					110																										
169					120																										
170		55																													
171		60																													
172												82.5																			
173												90																			
174						275																									
175						300																									
176									275																						
177									300																						
178										275																					
179										300																					
180																275															
181																300															
182																	275														
183																	300														
184																		137.5													
185																		150													
186																				27.5											
187																				30											
188																					55										
189																					60										
190																							27.5								
191																							30								
192														97.5																	
193														105																	
194															97.5																
195															105																
196	65																														
197	70																														
198				97.5																											
199				105																											
200					130																										
201					140																										
202		65																													
203		70																													
204												97.5																			
205												105																			
206						325																									
207						350																									
208									325																						
209									350																						
210										325																					
211										350																					
212																325															
213																350															
214																	325														
215																	350														
216																		162.5													
217																		175													
218																				32.5											
219																				35											
220																					65										
221																					70										
222																							32.5								
223																							35								
224														112.5																	
225														120																	
226															112.5																
227															120																
228	75																														
229	80																														
230				112.5																											
231				120																											
232					150																										
233					160																										
234		75																													
235		80																													
236												112.5																			
237												120																			
238						375																									
239						400																									
240									375																						
241									400																						
242										375																					
243										400																					
244																375															
245																400															
246																	375														
247																	400														
248																		187.5													
249																		200													
250																				37.5											
251																				40											
252																					75										
253																					80										
254																							37.5								
255																							40								
