装备品质	精炼品质	免费	元宝	至尊
0	0	1000	0	0
0	1	1000	0	0
0	2	2000	0	0
0	3	5100	4890	0
0	4	800	4000	4900
0	5	100	1000	4000
0	6	0	100	1000
0	7	0	10	100
1	0	1000	0	0
1	1	1000	0	0
1	2	2000	0	0
1	3	5100	4890	0
1	4	800	4000	4900
1	5	100	1000	4000
1	6	0	100	1000
1	7	0	10	100
2	0	1000	0	0
2	1	1000	0	0
2	2	2000	0	0
2	3	5100	4890	0
2	4	800	4000	4900
2	5	100	1000	4000
2	6	0	100	1000
2	7	0	10	100
3	0	1000	0	0
3	1	1000	0	0
3	2	2000	0	0
3	3	5100	4890	0
3	4	800	4000	4900
3	5	100	1000	4000
3	6	0	100	1000
3	7	0	10	100
4	0	1000	0	0
4	1	1000	0	0
4	2	2000	0	0
4	3	5100	4890	0
4	4	800	4000	4900
4	5	100	1000	4000
4	6	0	100	1000
4	7	0	10	100
