itemid	名称	abstractid	攻速	CD缩减	移动速度	护甲值	法术抗性	格挡几率	攻击力	生命值	暴击率	闪避率	攻城攻击力	攻击距离	命中率	穿透	法术穿透	潜行	反潜行	视野	无视闪避	反弹物伤	反弹法伤	物理吸血	法术吸血	暴击剑	溅射	物伤加深	法伤加深	equipid	物伤加成	法伤加成	回复效果
9550	孙韶	20020	40																														
9551	孙韶	20020	80																														
9552	孙韶	20020	120																														
9553	孙韶	20020	160																														
9554	孙韶	20020	200																														
9555	孙韶	20020	240																														
9556	孙韶	20020	280																														
9557	孙韶	20020	320																														
9558	孙韶	20020	360																														
9559	孙韶	20020	400																														
9860	步骘	20019											80																				
9861	步骘	20019											120																				
9862	步骘	20019											160																				
9863	步骘	20019											200																				
9864	步骘	20019											240																				
9865	步骘	20019											250																				
9866	步骘	20019											260																				
9867	步骘	20019											270																				
9868	步骘	20019											280																				
9869	步骘	20019											290																				
10150	木鹿大王	20017			10	10	10	10	10	10	10	10																					
10151	木鹿大王	20017			20	20	20	20	20	20	20	20																					
10152	木鹿大王	20017			30	30	30	30	30	30	30	30																					
10153	木鹿大王	20017			40	40	40	40	40	40	40	40																					
10154	木鹿大王	20017			50	50	50	50	50	50	50	50																					
10155	木鹿大王	20017			60	60	60	60	60	60	60	60																					
10156	木鹿大王	20017			70	70	70	70	70	70	70	70																					
10157	木鹿大王	20017			80	80	80	80	80	80	80	80																					
10158	木鹿大王	20017			90	90	90	90	90	90	90	90																					
10159	木鹿大王	20017			100	100	100	100	100	100	100	100																					
10165	兀突骨	20503							50																								
10166	兀突骨	20503							80																								
10167	兀突骨	20503							110																								
10168	兀突骨	20503							140																								
10169	兀突骨	20503							170																								
