itemid	名称	兵种	攻速	CD缩减	移动速度	护甲值	法术抗性	格挡几率	攻击力	生命值	暴击率	闪避率	攻城攻击力	攻击距离	命中率	穿透	法术穿透	潜行	反潜行	视野	无视闪避	反弹物伤	反弹法伤	物理吸血	法术吸血	暴击剑	溅射	物伤加深	法伤加深	abstractid	物伤加成	法伤加成	回复效果
8050	曹休	2								20																							
8051	曹休	2								40																							
8052	曹休	2								60																							
8053	曹休	2								80																							
8054	曹休	2								100																							
8055	曹休	2								120																							
8056	曹休	2								140																							
8057	曹休	2								160																							
8058	曹休	2								180																							
8059	曹休	2								200																							
8170	郝昭	3								10			20																				
8171	郝昭	3								20			40																				
8172	郝昭	3								30			60																				
8173	郝昭	3								40			80																				
8174	郝昭	3								50			100																				
8175	郝昭	3								60			120																				
8176	郝昭	3								70			140																				
8177	郝昭	3								80			160																				
8178	郝昭	3								90			180																				
8179	郝昭	3								100			200																				
8210	朱灵	1														25																	
8211	朱灵	1														50																	
8212	朱灵	1														75																	
8213	朱灵	1														100																	
8214	朱灵	1														125																	
8215	朱灵	1														125																	
8216	朱灵	1														150																	
8217	朱灵	1														175																	
8218	朱灵	1														200																	
8219	朱灵	1														225																	
8220	吕虔	1	20																														
8221	吕虔	1	40																														
8222	吕虔	1	60																														
8223	吕虔	1	80																														
8224	吕虔	1	100																														
8225	吕虔	1	120		50																												
8226	吕虔	1	140		60																												
8227	吕虔	1	160		70																												
8228	吕虔	1	180		80																												
8229	吕虔	1	200		100																												
8230	李通	0	20																														
8231	李通	0	40																														
8232	李通	0	60																														
8233	李通	0	80																														
8234	李通	0	100																														
8235	李通	0	120																														
8236	李通	0	140																														
8237	李通	0	160																														
8238	李通	0	180																														
8239	李通	0	200																														
8610	关索	2	20																														
8611	关索	2	40																														
8612	关索	2	60																														
8613	关索	2	80																														
8614	关索	2	100																														
8615	关索	2	120																														
8616	关索	2	140																														
8617	关索	2	160																														
8618	关索	2	180																														
8619	关索	2	200																														
8630	马岱	2							20																								
8631	马岱	2							40																								
8632	马岱	2							60																								
8633	马岱	2							80																								
8634	马岱	2							100																								
8635	马岱	2							120																								
8636	马岱	2							140																								
8637	马岱	2							160																								
8638	马岱	2							180																								
8639	马岱	2							200																								
8680	张翼	0				20																											
8681	张翼	0				40																											
8682	张翼	0				60																											
8683	张翼	0				80																											
8684	张翼	0				100																											
8685	张翼	0				120																											
8686	张翼	0				140																											
8687	张翼	0				160																											
8688	张翼	0				180																											
8689	张翼	0				200																											
8830	杨仪	3			70																												
8831	杨仪	3			90																												
8832	杨仪	3			110																												
8833	杨仪	3			130																												
8834	杨仪	3			150																												
8835	杨仪	3			170																												
8836	杨仪	3			190																												
8837	杨仪	3			210																												
8838	杨仪	3			230																												
8839	杨仪	3			250																												
9630	蒋钦	1	20																														
9631	蒋钦	1	40																														
9632	蒋钦	1	60																														
9633	蒋钦	1	80																														
9634	蒋钦	1	100																														
9635	蒋钦	1	120																														
9636	蒋钦	1	140																														
9637	蒋钦	1	160																														
9638	蒋钦	1	180																														
9639	蒋钦	1	200																														
9680	董袭	0										20																					
9681	董袭	0										40																					
9682	董袭	0										60																					
9683	董袭	0										80																					
9684	董袭	0										100																					
9685	董袭	0										120																					
9686	董袭	0										140																					
9687	董袭	0										160																					
9688	董袭	0										180																					
9689	董袭	0										200																					
9740	贺齐	0									20																						
9741	贺齐	0									40																						
9742	贺齐	0									60																						
9743	贺齐	0									80																						
9744	贺齐	0									100																						
9745	贺齐	0									120																						
9746	贺齐	0									140																						
9747	贺齐	0									160																						
9748	贺齐	0									180																						
9749	贺齐	0									200																						
9960	孟宗	3			70																												
9961	孟宗	3			90																												
9962	孟宗	3			110																												
9963	孟宗	3			130																												
9964	孟宗	3			150																												
9965	孟宗	3			170																												
9966	孟宗	3			190																												
9967	孟宗	3			210																												
9968	孟宗	3			230																												
9969	孟宗	3			250																												
10080	麴义	1														100																	
10081	麴义	1														150																	
10082	麴义	1														200																	
10083	麴义	1														250																	
10084	麴义	1														300																	
10085	麴义	1														350																	
10086	麴义	1														400																	
10087	麴义	1														450																	
10088	麴义	1														550																	
10089	麴义	1														700																	
8600	关平	0																									450|120						
8601	关平	0																									450|140						
8602	关平	0																									450|160						
8603	关平	0																									450|180						
8604	关平	0																									450|200						
8605	关平	0																									450|220						
8606	关平	0																									450|240						
8607	关平	0																									450|260						
8608	关平	0																									450|280						
8609	关平	0																									450|300						
8565	魏延	0								20																							
8566	魏延	0								30																							
8567	魏延	0								45																							
8568	魏延	0								65																							
8569	魏延	0								90																							
9585	黄盖	1																												24980			
9586	黄盖	1																												24981			
9587	黄盖	1																												24982			
9588	黄盖	1																												24983			
9589	黄盖	1																												24984			
9565	太史慈	2																												31050			
9566	太史慈	2																												31051			
9567	太史慈	2																												31052			
9568	太史慈	2																												31053			
9569	太史慈	2																												31054			
8260	荀彧	3											50																				
8261	荀彧	3											100																				
8262	荀彧	3											150																				
8263	荀彧	3											200																				
8264	荀彧	3											250																				
8265	荀彧	3											250																				
8266	荀彧	3											250																				
8267	荀彧	3											250																				
8268	荀彧	3											250																				
8269	荀彧	3											250																				
