partid	Ãû³Æ	inlay	±ø·¨	Õó·¨	¶´²ì	Í³ÂÊ	¹¥ËÙ	CDËõ¼õ	ÒÆ¶¯ËÙ¶È	»¤¼×Öµ	·¨Êõ¿¹ÐÔ	¸ñµ²¼¸ÂÊ	¹¥»÷Á¦	ÉúÃüÖµ	±©»÷ÂÊ	ÉÁ±ÜÂÊ	¹¥³Ç¹¥»÷Á¦	¹¥»÷¾àÀë	ÃüÖÐÂÊ	´©Í¸	·¨Êõ´©Í¸	Ç±ÐÐ	·´Ç±ÐÐ	ÊÓÒ°	ÎÞÊÓÉÁ±Ü	·´µ¯ÎïÉË	·´µ¯·¨ÉË	ÎïÀíÎüÑª	·¨ÊõÎüÑª	±©»÷½£	½¦Éä	ÎïÉË¼ÓÉî	·¨ÉË¼ÓÉî	abstractid	ÎïÉË¼Ó³É	·¨ÉË¼Ó³É	»Ø¸´Ð§¹û
0	Í·¿ø	1	10										10				10			5								2									
0	Í·¿ø	2	20										20				20			10								4									
0	Í·¿ø	3	30										30				30			15								6									
0	Í·¿ø	4	40										40				40			20								8									
0	Í·¿ø	5	50										50				50			25								10									
0	Í·¿ø	6	60										60				60			30								12						24830			
0	Í·¿ø	7	70										70				70			35								14						24831			
0	Í·¿ø	8	80										80				80			40								16						24832			
0	Í·¿ø	11		10	10					20				10																		-2	-2				
0	Í·¿ø	12		20	20					40				20																		-4	-4				
0	Í·¿ø	13		30	30					60				30																		-6	-6				
0	Í·¿ø	14		40	40					80				40																		-8	-8				
0	Í·¿ø	15		50	50					100				50																		-10	-10				
0	Í·¿ø	16		60	60					120				60																		-12	-12	24833			
0	Í·¿ø	17		70	70					140				70																		-14	-14	24834			
0	Í·¿ø	18		80	80					160				80																		-16	-16	24835			
0	Í·¿ø	21	5				10		5				2				2																				
0	Í·¿ø	22	10				20		10				4				4																				
0	Í·¿ø	23	15				30		15				6				6																				
0	Í·¿ø	24	20				40		20				8				8																				
0	Í·¿ø	25	25				50		25				10				10																				
0	Í·¿ø	26	30				60		30				12				12																	24836			
0	Í·¿ø	27	35				70		35				14				14																	24837			
0	Í·¿ø	28	40				80		40				16				16																	24838			
0	Í·¿ø	31	5										3		50		3																				
0	Í·¿ø	32	10										6		100		6																				
0	Í·¿ø	33	15										9		150		9																				
0	Í·¿ø	34	20										12		200		12																				
0	Í·¿ø	35	25										15		250		15																				
0	Í·¿ø	36	30										18		300		18																	24839			
0	Í·¿ø	37	35										21		350		21																	24840			
0	Í·¿ø	38	40										24		400		24																	24841			
0	Í·¿ø	41			5									5													10										
0	Í·¿ø	42			10									10													20										
0	Í·¿ø	43			15									15													30										
0	Í·¿ø	44			20									20													40										
0	Í·¿ø	45			25									25													50										
0	Í·¿ø	46			30									30													60							24842			
0	Í·¿ø	47			35									35													80							24843			
0	Í·¿ø	48			40									40													100							24844			
0	Í·¿ø	51	5										1				1				20								5								
0	Í·¿ø	52	10										2				2				40								10								
0	Í·¿ø	53	15										3				3				60								15								
0	Í·¿ø	54	20										4				4				80								20								
0	Í·¿ø	55	25										5				5				100								25								
0	Í·¿ø	56	30										6				6				120								30					24845			
0	Í·¿ø	57	35										7				7				140								35					24846			
0	Í·¿ø	58	40										8				8				160								40					24847			
0	Í·¿ø	61		5										10												5											
0	Í·¿ø	62		10										20												10											
0	Í·¿ø	63		15										30												15											
0	Í·¿ø	64		20										40												20											
0	Í·¿ø	65		25										50												25											
0	Í·¿ø	66		30										60												30								24848			
0	Í·¿ø	67		35										70												35								24849			
0	Í·¿ø	68		40										80												40								24850			
0	Í·¿ø	71			5		5							10																	450|10						
0	Í·¿ø	72			10		10							20																	450|20						
0	Í·¿ø	73			15		15							30																	450|30						
0	Í·¿ø	74			20		20							40																	450|40						
0	Í·¿ø	75			25		25							50																	450|50						
0	Í·¿ø	76			30		30							60																	450|60			24851			
0	Í·¿ø	77			35		35							70																	450|70			24852			
0	Í·¿ø	78			40		40							80																	450|80			24853			
1	îø¼×	1	10										10				10			5								2									
1	îø¼×	2	20										20				20			10								4									
1	îø¼×	3	30										30				30			15								6									
1	îø¼×	4	40										40				40			20								8									
1	îø¼×	5	50										50				50			25								10									
1	îø¼×	6	60										60				60			30								12						24830			
1	îø¼×	7	70										70				70			35								14						24831			
1	îø¼×	8	80										80				80			40								16						24832			
1	îø¼×	11		10	10					20				10																		-2	-2				
1	îø¼×	12		20	20					40				20																		-4	-4				
1	îø¼×	13		30	30					60				30																		-6	-6				
1	îø¼×	14		40	40					80				40																		-8	-8				
1	îø¼×	15		50	50					100				50																		-10	-10				
1	îø¼×	16		60	60					120				60																		-12	-12	24833			
1	îø¼×	17		70	70					140				70																		-14	-14	24834			
1	îø¼×	18		80	80					160				80																		-16	-16	24835			
1	îø¼×	21	5				10		5				2				2																				
1	îø¼×	22	10				20		10				4				4																				
