itemid	售卖势力	售卖将魂	TAB_VERSION
8014	11|12	61200	1
8024	11|12	61200	
8034	11|12	61200	
8064	11|12	61200	
8074	11|12	66200	
8084	11|12	66200	
8094	11|12	61200	
8104	11|12	61200	
8124	11|12	61200	
8154	11|12	61200	
8164	11|12	61200	
8264	11|12	61200	
8274	11|12	61200	
8284	11|12	72800	
8294	11|12	61200	
8304	11|12	61200	
8314	11|12	61200	
8324	11|12	61200	
8494	11|12	61200	
8514	10|12	61200	
8524	10|12	61200	
8534	10|12	72800	
8544	10|12	61200	
8554	10|12	66200	
8564	10|12	61200	
8574	10|12	61200	
8584	10|12	61200	
8604	10|12	61200	
8624	10|12	61200	
8644	10|12	61200	
8654	10|12	61200	
8674	10|12	61200	
8764	10|12	61200	
8774	10|12	61200	
8784	10|12	61200	
8814	10|12	61200	
8964	10|12	61200	
9004	10|12	61200	
9514	10|11	61200	
9524	10|11	66200	
9564	10|11	61200	
9574	10|11	61200	
9584	10|11	61200	
9594	10|11	61200	
9604	10|11	61200	
9614	10|11	72800	
9624	10|11	61200	
9724	10|11	66200	
9734	10|11	61200	
9794	10|11	61200	
9814	10|11	61200	
9834	10|11	61200	
9844	10|11	61200	
9854	10|11	61200	
9904	10|11	61200	
9994	10|11	61200	
10004	10|11	61200	
