id	名字	shili	顺序	奖励1	奖励2
2005	代县	10	1	8|0|0|50	10|7638|0|1
3003	灵丘	10	2	8|0|0|50	10|7608|0|1
3004	中山	10	3	8|0|0|100	10|7643|0|1
3005	常山	10	4	8|0|0|100	10|7613|0|1
8001	乐平	10	5	8|0|0|100	12|0|0|2000
3007	邯郸	10	6	8|0|0|100	12|0|0|3000
3008	临水	10	7	8|0|0|100	5|0|0|50000
3009	邺	10	8	8|0|0|200	10|6707|0|1
2004	涿县	10	9		
15005	邪龙	11	1	8|0|0|50	10|7638|0|1
15004	云南	11	2	8|0|0|50	10|7608|0|1
15003	建宁	11	3	8|0|0|100	10|7643|0|1
15002	朱提	11	4	8|0|0|100	10|7613|0|1
15001	越隽	11	5	8|0|0|100	12|0|0|2000
14009	汉嘉	11	6	8|0|0|100	12|0|0|3000
14004	临邛	11	7	8|0|0|100	5|0|0|50000
14003	成都	11	8	8|0|0|200	10|6707|0|1
15006	永昌	11	9		
19013	东安	12	1	8|0|0|50	10|7638|0|1
19012	建安	12	2	8|0|0|50	10|7608|0|1
19011	永宁	12	3	8|0|0|100	10|7643|0|1
19010	临海	12	4	8|0|0|100	10|7613|0|1
19003	会稽	12	5	8|0|0|100	12|0|0|2000
19002	吴县	12	6	8|0|0|100	12|0|0|3000
19001	毗陵	12	7	8|0|0|100	5|0|0|50000
18004	建业	12	8	8|0|0|200	10|6707|0|1
19014	夷洲	12	9		
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
5009	广陵				
5010	海陵				
6001	泰山				
6002	东阿				
6003	东平				
6004	任城				
6005	白马				
6006	濮阳				
6007	定陶				
6008	陈留				
7001	许昌				
7002	颖阴				
7003	舞阳				
7004	陈				
7005	汝南				
7006	汝阴				
7007	安阳				
7008	谯				
7009	芒砀山				
7010	弋阳				
7011	西阳				
7012	安丰				
8001	乐平				
8002	雁门				
8003	马邑				
8004	晋阳				
8005	上党				
8006	壶关				
8007	西河				
8008	上郡				
8009	定襄				
8010	云中				
8011	九原				
8012	朔方				
9001	平阳				
9002	箕关				
9003	河东				
9004	河内				
9005	荥阳				
9006	中牟				
9007	洛阳				
9008	弘农				
9009	函谷关				
9010	渑池				
10001	冯翊				
10002	长安				
10003	潼关				
10004	武关				
10005	商县				
10006	扶风				
10007	五丈原				
10008	陈仓				
10009	子午谷				
11001	新平				
11002	安定				
11003	街亭				
11004	天水				
11005	上邽				
11006	陇西				
11007	枹罕				
11008	狄道				
11009	临洮				
12001	北地				
12002	鹯阴口				
12003	武威				
12004	金城				
12005	西平				
12006	张掖				
12007	酒泉				
12008	敦煌				
12009	居延				
13001	武都				
13002	汉中				
13003	阳关				
13004	沓中				
13005	阴平				
13006	梓潼				
13007	江油				
13008	剑阁				
13009	白水关				
13010	涪关				
13011	阆中				
14001	绵竹				
14002	德阳				
14003	成都				
14004	临邛				
14005	永安				
14006	江州				
14007	临江				
14008	涪陵				
14009	汉嘉				
14010	犍为				
14011	江阳				
15001	越隽				
15002	朱提				
15003	建宁				
15004	云南				
15005	邪龙				
15006	永昌				
15007	牂牁				
15008	夜郎				
16001	宛				
16002	博望				
16003	安昌				
16004	新野				
16005	随县				
16006	襄阳				
16007	南乡				
16008	筑阳				
16009	武当				
16010	西城				
16011	上庸				
16012	江夏				
16013	房陵				
17001	秭归				
17002	夷道				
17003	猇亭				
17004	江陵				
17005	麦城				
17006	华容				
17007	公安				
17008	武昌				
17009	赤壁				
17010	巴陵				
17011	长沙				
17012	武陵				
17013	零陵				
17014	桂林				
17015	桂阳				
18001	合肥				
18002	寿春				
18003	平阿				
18004	建业				
18005	阜陵				
18006	丹阳				
18007	宛陵				
18008	六安				
18009	濡须坞				
18010	庐江				
19001	毗陵				
19002	吴县				
19003	会稽				
19004	新都				
19005	鄱阳				
19006	柴桑				
19007	豫章				
19008	阳陵				
19009	庐陵				
19010	临海				
19011	永宁				
19012	建安				
19013	东安				
19014	夷洲				
20001	南海				
20002	苍梧				
20003	郁林				
20004	合浦				
20005	朱崖				
20006	交趾				
20007	九真				
20008	日南				
20009	将星台				
30000	襄平C				
30001	襄平C				
30002	襄平C				
30003	北平C				
30004	北平C				
30005	北平C				
30006	蓟C				
30007	蓟C				
30008	蓟C				
30009	易京C				
30010	易京C				
30011	易京C				
30012	南皮C				
30013	南皮C				
30014	南皮C				
30015	邺C				
30016	邺C				
30017	邺C				
30018	下邳C				
30019	下邳C				
30020	下邳C				
30021	小沛C				
30022	小沛C				
30023	小沛C				
30024	濮阳C				
30025	濮阳C				
30026	濮阳C				
30027	陈留C				
30028	陈留C				
30029	陈留C				
30030	许昌C				
30031	许昌C				
30032	许昌C				
30033	芒砀山C				
30034	芒砀山C				
30035	芒砀山C				
30036	晋阳C				
30037	晋阳C				
30038	晋阳C				
30039	荥阳C				
30040	荥阳C				
30041	荥阳C				
30042	潼关C				
30043	潼关C				
30044	潼关C				
30045	陈仓C				
30046	陈仓C				
30047	陈仓C				
30048	安定C				
30049	安定C				
30050	安定C				
30051	天水C				
30052	天水C				
30053	天水C				
30054	武威C				
30055	武威C				
30056	武威C				
30057	梓潼C				
30058	梓潼C				
30059	梓潼C				
30060	剑阁C				
30061	剑阁C				
30062	剑阁C				
30063	成都C				
30064	成都C				
30065	成都C				
30066	永安C				
30067	永安C				
30068	永安C				
30069	宛C				
30070	宛C				
30071	宛C				
30072	西城C				
30073	西城C				
30074	西城C				
30075	上庸C				
30076	上庸C				
30077	上庸C				
30078	江陵C				
30079	江陵C				
30080	江陵C				
30081	桂阳C				
30082	桂阳C				
30083	桂阳C				
30084	建业C				
30085	建业C				
30086	建业C				
30087	濡须坞C				
30088	濡须坞C				
30089	濡须坞C				
30090	庐江C				
30091	庐江C				
30092	庐江C				
30093	吴县C				
30094	吴县C				
30095	吴县C				
30096	会稽C				
30097	会稽C				
30098	会稽C				
30099	柴桑C				
30100	柴桑C				
30101	柴桑C				
30102	建安C				
30103	建安C				
30104	建安C				
30105	夷洲C				
30106	夷洲C				
30107	夷洲C				
30108	弘农C				
30109	弘农C				
30110	弘农C				
30111	灵丘_test				
30112	灵丘_test				
30113	灵丘_test				
