fubenid	掉落种数	掉落类型	dropid	掉落几率	数量
45	3	10	7000	1	1|1
45	3	10	7005	1	1|1
45	3	10	7010	1	1|1
45	3	10	7015	1	1|1
45	3	10	4019	19	1|1
45	3	10	4006	19	1|1
45	3	10	4013	19	1|1
45	3	10	4030	19	1|1
45	3	10	4031	19	1|1
45	3	10	7527	1	1|1
997	3	10	7000	1	1|1
997	3	10	7005	1	1|1
997	3	10	7010	1	1|1
997	3	10	7015	1	1|1
997	3	10	4019	19	1|1
997	3	10	4006	19	1|1
997	3	10	4013	19	1|1
997	3	10	4030	19	1|1
997	3	10	4031	19	1|1
997	3	10	7527	1	1|1
1000	3	10	7000	85	1|1
1000	3	10	7005	85	1|1
1000	3	10	7010	85	1|1
1000	3	10	7015	85	1|1
1000	3	10	4019	1610	1|1
1000	3	10	4006	1610	1|1
1000	3	10	4013	1610	1|1
1000	3	10	4030	1610	1|1
1000	3	10	4031	1610	1|1
1000	3	10	7527	86	1|1
1000	3	10	6043	440	1|1
1000	3	10	6044	440	1|1
1000	3	10	6045	352	1|1
1001	3	10	7000	85	1|1
1001	3	10	7005	85	1|1
1001	3	10	7010	85	1|1
1001	3	10	7015	85	1|1
1001	3	10	4019	1610	1|1
1001	3	10	4006	1610	1|1
1001	3	10	4013	1610	1|1
1001	3	10	4030	1610	1|1
1001	3	10	4031	1610	1|1
1001	3	10	7527	86	1|1
1001	3	10	6043	440	1|1
1001	3	10	6044	440	1|1
1001	3	10	6045	352	1|1
1002	3	10	7000	85	1|1
1002	3	10	7005	85	1|1
1002	3	10	7010	85	1|1
1002	3	10	7015	85	1|1
1002	3	10	4019	1610	1|1
1002	3	10	4006	1610	1|1
1002	3	10	4013	1610	1|1
1002	3	10	4030	1610	1|1
1002	3	10	4031	1610	1|1
1002	3	10	7527	86	1|1
1002	3	10	6043	440	1|1
1002	3	10	6044	440	1|1
1002	3	10	6045	352	1|1
1003	3	10	7000	85	1|1
1003	3	10	7005	85	1|1
1003	3	10	7010	85	1|1
1003	3	10	7015	85	1|1
1003	3	10	4019	1610	1|1
1003	3	10	4006	1610	1|1
1003	3	10	4013	1610	1|1
1003	3	10	4030	1610	1|1
1003	3	10	4031	1610	1|1
1003	3	10	7527	86	1|1
1003	3	10	6043	440	1|1
1003	3	10	6044	440	1|1
1003	3	10	6045	352	1|1
1031	3	10	7000	85	1|1
1031	3	10	7005	85	1|1
1031	3	10	7010	85	1|1
1031	3	10	7015	85	1|1
1031	3	10	4019	1020	1|1
1031	3	10	4006	1020	1|1
1031	3	10	4013	1020	1|1
1031	3	10	4030	1020	1|1
1031	3	10	4031	1020	1|1
1031	3	10	4015	1275	1|1
1031	3	10	7527	85	1|1
1031	3	10	4019	340	2|2
1031	3	10	4006	340	2|2
1031	3	10	4013	340	2|2
1031	3	10	4030	340	2|2
1031	3	10	4031	340	2|2
1031	3	10	6043	440	1|1
1031	3	10	6044	440	1|1
1031	3	10	6045	352	1|1
1031	3	10	6046	88	1|1
1031	3	10	6047	4	1|1
1032	3	10	7000	85	1|1
1032	3	10	7005	85	1|1
1032	3	10	7010	85	1|1
1032	3	10	7015	85	1|1
1032	3	10	4019	1020	1|1
1032	3	10	4006	1020	1|1
1032	3	10	4013	1020	1|1
1032	3	10	4030	1020	1|1
1032	3	10	4031	1020	1|1
1032	3	10	4015	1275	1|1
1032	3	10	7527	85	1|1
1032	3	10	4019	340	2|2
1032	3	10	4006	340	2|2
1032	3	10	4013	340	2|2
1032	3	10	4030	340	2|2
1032	3	10	4031	340	2|2
1032	3	10	6043	440	1|1
1032	3	10	6044	440	1|1
1032	3	10	6045	352	1|1
1032	3	10	6046	88	1|1
1032	3	10	6047	4	1|1
1033	3	10	7000	85	1|1
1033	3	10	7005	85	1|1
1033	3	10	7010	85	1|1
1033	3	10	7015	85	1|1
1033	3	10	4019	1020	1|1
1033	3	10	4006	1020	1|1
1033	3	10	4013	1020	1|1
1033	3	10	4030	1020	1|1
1033	3	10	4031	1020	1|1
1033	3	10	4019	1275	2|2
1033	3	10	4006	85	2|2
1033	3	10	4013	340	2|2
1033	3	10	4030	340	2|2
1033	3	10	4031	340	2|2
1033	3	10	7527	340	1|1
1033	3	10	4015	340	1|1
1033	3	10	6043	440	1|1
1033	3	10	6044	440	1|1
1033	3	10	6045	352	1|1
1033	3	10	6046	88	1|1
1033	3	10	6047	4	1|1
1034	3	10	7000	85	1|1
1034	3	10	7005	85	1|1
1034	3	10	7010	85	1|1
1034	3	10	7015	85	1|1
1034	3	10	4019	850	1|1
1034	3	10	4006	850	1|1
1034	3	10	4013	850	1|1
1034	3	10	4030	850	1|1
1034	3	10	4031	850	1|1
1034	3	10	4019	510	2|2
1034	3	10	4006	510	2|2
1034	3	10	4013	510	2|2
1034	3	10	4030	510	2|2
1034	3	10	4031	510	2|2
1034	3	10	7527	85	1|1
1034	3	10	4015	1275	1|1
1034	3	10	6043	440	1|1
1034	3	10	6044	440	1|1
1034	3	10	6045	352	1|1
1034	3	10	6046	88	1|1
1034	3	10	6047	4	1|1
1034	3	10	6048	1	1|1
1040	3	10	7000	85	1|1
1040	3	10	7005	85	1|1
1040	3	10	7010	85	1|1
1040	3	10	7015	85	1|1
1040	3	10	4019	850	1|1
1040	3	10	4006	850	1|1
1040	3	10	4013	850	1|1
1040	3	10	4030	850	1|1
1040	3	10	4031	850	1|1
1040	3	10	4019	510	2|2
1040	3	10	4006	510	2|2
1040	3	10	4013	510	2|2
1040	3	10	4030	510	2|2
1040	3	10	4031	510	2|2
1040	3	10	7527	85	1|1
1040	3	10	4015	1275	1|1
1040	3	10	6043	440	1|1
1040	3	10	6044	440	1|1
1040	3	10	6045	352	1|1
1040	3	10	6046	88	1|1
1040	3	10	6047	4	1|1
1040	3	10	6048	1	1|1
1041	3	10	7000	85	1|1
1041	3	10	7005	85	1|1
1041	3	10	7010	85	1|1
1041	3	10	7015	85	1|1
1041	3	10	4019	850	1|1
1041	3	10	4006	850	1|1
1041	3	10	4013	850	1|1
1041	3	10	4030	850	1|1
1041	3	10	4031	850	1|1
1041	3	10	4019	510	2|2
1041	3	10	4006	510	2|2
1041	3	10	4013	510	2|2
1041	3	10	4030	510	2|2
1041	3	10	4031	510	2|2
1041	3	10	7527	85	1|1
1041	3	10	4015	1275	1|1
1041	3	10	6043	440	1|1
1041	3	10	6044	440	1|1
1041	3	10	6045	352	1|1
1041	3	10	6046	88	1|1
1041	3	10	6047	4	1|1
1041	3	10	6048	1	1|1
1042	3	10	7000	85	1|1
1042	3	10	7005	85	1|1
1042	3	10	7010	85	1|1
1042	3	10	7015	85	1|1
1042	3	10	4019	850	1|1
1042	3	10	4006	850	1|1
1042	3	10	4013	850	1|1
1042	3	10	4030	850	1|1
1042	3	10	4031	850	1|1
1042	3	10	4019	510	2|2
1042	3	10	4006	510	2|2
1042	3	10	4013	510	2|2
1042	3	10	4030	510	2|2
1042	3	10	4031	510	2|2
1042	3	10	7527	85	1|1
1042	3	10	4015	1275	1|1
1042	3	10	6043	440	1|1
1042	3	10	6044	440	1|1
1042	3	10	6045	352	1|1
1042	3	10	6046	88	1|1
1042	3	10	6047	4	1|1
1042	3	10	6048	1	1|1
1043	3	10	7000	85	1|1
1043	3	10	7005	85	1|1
1043	3	10	7010	85	1|1
1043	3	10	7015	85	1|1
1043	3	10	4019	340	1|1
1043	3	10	4006	340	1|1
1043	3	10	4013	340	1|1
1043	3	10	4030	340	1|1
1043	3	10	4031	340	1|1
1043	3	10	4019	680	2|2
1043	3	10	4006	680	2|2
1043	3	10	4013	680	2|2
1043	3	10	4030	680	2|2
1043	3	10	4031	680	2|2
1043	3	10	7527	85	1|2
1043	3	10	4009	1275	1|1
1043	3	10	4019	340	3|3
1043	3	10	4006	340	3|3
1043	3	10	4013	340	3|3
1043	3	10	4030	340	3|3
1043	3	10	4031	340	3|3
1043	3	10	6043	440	1|1
1043	3	10	6044	440	1|1
1043	3	10	6045	352	1|1
1043	3	10	6046	88	1|1
1043	3	10	6047	4	1|1
1043	3	10	6048	1	1|1
1044	3	10	7000	85	1|1
1044	3	10	7005	85	1|1
1044	3	10	7010	85	1|1
1044	3	10	7015	85	1|1
1044	3	10	4019	340	1|1
1044	3	10	4006	340	1|1
1044	3	10	4013	340	1|1
1044	3	10	4030	340	1|1
1044	3	10	4031	340	1|1
1044	3	10	4019	680	2|2
1044	3	10	4006	680	2|2
1044	3	10	4013	680	2|2
1044	3	10	4030	680	2|2
1044	3	10	4031	680	2|2
1044	3	10	7527	85	1|2
1044	3	10	4009	1275	1|1
1044	3	10	4019	340	3|3
1044	3	10	4006	340	3|3
1044	3	10	4013	340	3|3
1044	3	10	4030	340	3|3
1044	3	10	4031	340	3|3
1044	3	10	6043	440	1|1
1044	3	10	6044	440	1|1
1044	3	10	6045	352	1|1
1044	3	10	6046	88	1|1
