lv	说明
23	35级开启装备精炼科技，需要通关相应副本
24	35级开启装备精炼科技，需要通关相应副本
25	35级开启装备精炼科技，需要通关相应副本
26	35级开启装备精炼科技，需要通关相应副本
27	35级开启装备精炼科技，需要通关相应副本
28	35级开启装备精炼科技，需要通关相应副本
29	35级开启装备精炼科技，需要通关相应副本
30	35级开启装备精炼科技，需要通关相应副本
31	35级开启装备精炼科技，需要通关相应副本
32	35级开启装备精炼科技，需要通关相应副本
33	35级开启装备精炼科技，需要通关相应副本
34	35级开启装备精炼科技，需要通关相应副本
35	35级开启装备精炼科技，需要通关相应副本
36	35级开启装备精炼科技，需要通关相应副本
37	35级开启装备精炼科技，需要通关相应副本
38	35级开启装备精炼科技，需要通关相应副本
39	40级开启副本名将之路、将卡升星科技
40	40级开启副本名将之路、将卡升星科技
41	40级开启副本名将之路、将卡升星科技
42	40级开启副本名将之路、将卡升星科技
43	40级开启副本名将之路、将卡升星科技
44	40级开启副本名将之路、将卡升星科技
45	40级开启副本名将之路、将卡升星科技
46	40级开启副本名将之路、将卡升星科技
47	40级开启副本名将之路、将卡升星科技
48	40级开启副本名将之路、将卡升星科技
49	40级开启副本名将之路、将卡升星科技
50	40级开启副本名将之路、将卡升星科技
51	新功能开发中，敬请期待
52	新功能开发中，敬请期待
53	新功能开发中，敬请期待
54	新功能开发中，敬请期待
55	新功能开发中，敬请期待
56	新功能开发中，敬请期待
57	新功能开发中，敬请期待
58	新功能开发中，敬请期待
59	新功能开发中，敬请期待
60	新功能开发中，敬请期待
61	新功能开发中，敬请期待
62	新功能开发中，敬请期待
63	新功能开发中，敬请期待
64	新功能开发中，敬请期待
65	新功能开发中，敬请期待
66	新功能开发中，敬请期待
67	新功能开发中，敬请期待
68	新功能开发中，敬请期待
69	新功能开发中，敬请期待
70	新功能开发中，敬请期待
71	新功能开发中，敬请期待
72	新功能开发中，敬请期待
73	新功能开发中，敬请期待
74	新功能开发中，敬请期待
75	新功能开发中，敬请期待
76	新功能开发中，敬请期待
77	新功能开发中，敬请期待
78	新功能开发中，敬请期待
79	新功能开发中，敬请期待
80	新功能开发中，敬请期待
