购买次数	购买价格	科技价格	获得数量
1	20	0	12
2	50	20	12
3	50	50	12
4	50	50	12
5	100	50	12
6	100	100	12
7	100	100	12
8	100	100	12
9	100	100	12
10	100	100	12
11	150	100	12
12	150	150	12
13	150	150	12
14	150	150	12
15	150	150	12
16	150	150	12
17	200	150	12
18	200	200	12
19	200	200	12
20	200	200	12
21	200	200	12
22	200	200	12
23	300	200	12
24	300	300	12
25	300	300	12
26	300	300	12
27	300	300	12
28	300	300	12
29	400	300	12
30	400	400	12
31	400	400	12
32	500	400	12
33	500	500	12
34	1000	500	12
35	1000	1000	12
36	1000	1000	12
37	1000	1000	12
38	1000	1000	12
39	1000	1000	12
40	1000	1000	12
41	1000	1000	12
42	1000	1000	12
43	1000	1000	12
44	1000	1000	12
45	1000	1000	12
46	1000	1000	12
47	1000	1000	12
48	1000	1000	12
49	1000	1000	12
50	1000	1000	12
51	1000	1000	12
52	1000	1000	12
53	1000	1000	12
54	1000	1000	12
55	1000	1000	12
56	1000	1000	12
57	1000	1000	12
58	1000	1000	12
59	1000	1000	12
60	1000	1000	12
61	1000	1000	12
62	1000	1000	12
63	1000	1000	12
64	1000	1000	12
65	1000	1000	12
66	1000	1000	12
67	1000	1000	12
68	1000	1000	12
69	1000	1000	12
70	1000	1000	12
71	1000	1000	12
72	1000	1000	12
73	1000	1000	12
74	1000	1000	12
75	1000	1000	12
76	1000	1000	12
77	1000	1000	12
78	1000	1000	12
79	1000	1000	12
80	1000	1000	12
81	1000	1000	12
82	1000	1000	12
83	1000	1000	12
84	1000	1000	12
85	1000	1000	12
86	1000	1000	12
87	1000	1000	12
88	1000	1000	12
89	1000	1000	12
90	1000	1000	12
91	1000	1000	12
92	1000	1000	12
93	1000	1000	12
94	1000	1000	12
95	1000	1000	12
96	1000	1000	12
97	1000	1000	12
98	1000	1000	12
99	1000	1000	12
100	1000	1000	12
