军团等级	特产类型	特产id	产出几率	特产数量	需求贡献
1|4	1		20	60000	1980
1|4	2		20	60000	1980
1|4	3		20	60000	1980
1|4	4		20	30000	1980
5|9	1		20	150000	4950
5|9	2		20	150000	4950
5|9	3		20	150000	4950
5|9	4		20	75000	4950
10|12	1		20	300000	9900
10|12	2		20	300000	9900
10|12	3		20	300000	9900
10|12	4		20	150000	9900
13|15	1		20	600000	19800
13|15	2		20	600000	19800
13|15	3		20	600000	19800
13|15	4		20	300000	19800
16|19	1		20	1200000	39600
16|19	2		20	1200000	39600
16|19	3		20	1200000	39600
16|19	4		20	600000	39600
20|20	1		20	2400000	79200
20|20	2		20	2400000	79200
20|20	3		20	2400000	79200
20|20	4		20	1200000	79200
