id	step总数	触发类型	0任务ID	1领主等级	2进行副本ID	3完成副本ID	4获得物品ID	4获得物品数量	5打开窗口名
1	7	0	2						
2	7	0	3						
3	5	0	4						
4	12	0	6						
5	2	0	7						
6	6	0	8						
7	5	0	9						
8	7	0	10						
9	10	0	11						
10	4	0	12						UI_FuBen
11	5	0	13						
12	4	0	14						
13	4		15						
14	5	0	16						
15	5	0	17						
16	4		18						
17	4	0|5	18						UI_Beta2_Formation
18	3	0	22						
19	4	0|1	99	18|18					
100	1	1|5		24|24					UI_Appoint
101	1	5							UI_Market
102	1	5							UI_Jkdh
103	1	5							UI_AncientHouse_Revenue
104	1	0	115						
105	2	0	117						
106	2	1|3				1031			
