id	名字	兵种	视野	警戒	眼睛高度	HP	攻击力	护甲	护甲类型	法术抗性	移动速度	攻击速度	施法速度	半径	外形状态	attackid	暴击	格挡	闪避	潜行	反潜行	命中率	攻击动作	暴击动作	第二攻击	等级	积分系数	Icon
20028	中原箭塔	4	35	35	8	300	40	80	1	0	0	0	0	"1.5,1.5,1.5"	1	21002	0	0	0	0	35	950	0.6	0.6	0.6	1	0.02	UI_Build_Zhongyuanjianta.img
20029	中原政厅	4	25	25	8.3	300	0	80	1	0	0	0	0	"7,7,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Zhongyuanzhengting.img
20030	中原城门	4	20	25	6	300	0	80	1	0	0	0	0	"2.5,2.5,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Zhongyuanchengmen.img
20031	NPC	1	25	25	2.5	300	0	80	0	0	7	0	0	"0.5,0.5,1.75"	0	21000	0	0	0	0	35	950	0.6	0.6	0.6	1	0.02	UI_Juqing_T_Huangjinyunie.img
20032	凉州箭塔	4	35	35	8	300	40	80	1	0	0	0	0	"1.5,1.5,1.5"	1	21002	0	0	0	0	35	950	0.6	0.6	0.6	1	0.02	UI_Build_Liangzhoujianta.img
20033	凉州城门	4	20	25	6	300	0	80	1	0	0	0	0	"2.5,2.5,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Liangzhouchengmen.img
20034	据点LV5_副本	4	25	25	6	300	0	80	1	0	0	0	0	"5,5,1.5"	4	0	0	0	0	0	35	950				1	0.02	UI_Build_Judian.img
20036	兵阵_城战	4	25	25	6	300	0	80	1	0	0	0	0	"5,5,1.5"	4	0	0	0	0	0	35	950				1	0.02	UI_Build_Judian.img
20037	凉州政厅	4	25	25	7.1	300	0	80	1	0	0	0	0	"7,7,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Liangzhouzhengting.img
20038	凉州内府	4	25	25	8	300	0	80	1	0	0	0	0	"7,7,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Liangzhouneifu.img
20039	中原内府	4	25	25	5.5	300	0	80	1	0	0	0	0	"7,7,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Zhongyuanneifu.img
20041	野外箭楼	4	30	50	9.6	300	40	80	1	0	0	0	0	"7,7,1.5"	1	21002	0	0	0	0	35	950	0.6	0.6	0.6	1	0.02	UI_Build_Yewaijianta.img
20044	拒马	4	25	25	5.5	300	0	80	1	0	0	0	0	"7,7,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Menggubao.img
20045	新手箭塔	4	20	25	8	300	40	80	1	0	0	0	0	"1.5,1.5,1.5"	1	21002	0	0	0	0	35	950	0.6	0.6	0.6	1	0.02	UI_Build_Xinshoujianta.img
20046	新手政厅	4	20	25	7.1	300	0	80	1	0	0	0	0	"7,7,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Xinshouzhengting.img
20048	长安大门	4	20	25	6	300	0	80	1	0	0	0	0	"2.5,2.5,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Changandamen.img
20049	长安箭楼	4	35	35	8	300	40	80	1	0	0	0	0	"2,2,1.5"	1	21002	0	0	0	0	35	950	0.6	0.6	0.6	1	0.02	UI_Build_Changanjianlou.img
20050	长安岗楼	4	35	35	8	300	40	80	1	0	0	0	0	"2,2,1.5"	1	21002	0	0	0	0	35	950	0.6	0.6	0.6	1	0.02	UI_Build_Changanganglou.img
20051	长安辟邪	4	25	25	10.3	300	0	80	1	0	0	0	0	"2,2,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Changanbixie.img
20052	扬州城门	4	20	25	6	300	0	80	1	0	0	0	0	"2.5,2.5,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Yangzhouchengmen.img
20053	扬州箭塔	4	35	35	8	300	40	80	1	0	0	0	0	"1.5,1.5,1.5"	1	21002	0	0	0	0	35	950	0.6	0.6	0.6	1	0.02	UI_Build_Yangzhoujianta.img
20054	扬州政厅	4	25	25	8.3	300	0	80	1	0	0	0	0	"7,7,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Yangzhouzhengting.img
20055	巴蜀城门	4	20	25	6	300	0	80	1	0	0	0	0	"2.5,2.5,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Bashuchengmen.img
20056	巴蜀箭塔	4	35	35	8	300	40	80	1	0	0	0	0	"1.5,1.5,1.5"	1	21002	0	0	0	0	35	950	0.6	0.6	0.6	1	0.02	UI_Build_Bashujianta.img
20057	巴蜀政厅	4	25	25	7.8	300	0	80	1	0	0	0	0	"7,7,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Bashuzhengting.img
20058	冀州城门	4	20	25	6	300	0	80	1	0	0	0	0	"2.5,2.5,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Jizhouchengmen.img
20059	冀州箭塔	4	35	35	8	300	40	80	1	0	0	0	0	"1.5,1.5,1.5"	1	21002	0	0	0	0	35	950	0.6	0.6	0.6	1	0.02	UI_Build_Jizhoujianta.img
20060	冀州政厅	4	25	25	8.5	300	0	80	1	0	0	0	0	"7,7,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Jizhouzhengting.img
20061	冀州箭塔_雪	4	35	35	8	300	40	80	1	0	0	0	0	"1.5,1.5,1.5"	1	21002	0	0	0	0	35	950	0.6	0.6	0.6	1	0.02	UI_Build_Jizhoujianta2.img
20062	冀州政厅_雪	4	25	25	8.5	300	0	80	1	0	0	0	0	"7,7,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Jizhouzhengting2.img
20063	序幕城门	4	25	25	6	300	0	80	1	0	0	0	0	"2.5,2.5,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Xumuchengmen.img
20064	潼关城门	4	25	25	6	300	0	80	1	0	0	0	0	"2.5,2.5,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Tongguanchengmen.img
20065	营寨	4	25	25	8.3	300	0	80	1	0	0	0	0	"7.5,7.5,1.5"	1	0	0	0	0	0	35	950				1	0.02	UI_Build_Yingzhai.img
20066	据点LV1_副本	4	25	25	6	300	0	80	1	0	0	0	0	"1.5,1.5,1.5"	4	0	0	0	0	0	35	950				1	0.02	UI_Build_Judian.img
