instanceid	名字	穿透	法术穿透	无视闪避	反弹物伤	反弹法伤	物理吸血	法术吸血	暴击剑	溅射	物伤加深	法伤加深	equipid	物伤加成	法伤加成	回复效果
11377	马腾						100		1	450|300			28079			
23009	耿苞									450|300						
23010	王泽									450|300						
23011	王晖									450|300						
23109	吕威珉									450|300						
23110	吕威璜									450|300						
23211	陶升									450|300						
23212	张纯									450|300						
23311	眭固									450|300						
23312	张燕									450|300						
23405	蒋义泠									450|300						
23406	蒋义渠									450|300						
23505	孟悦									450|300						
23506	孟优									450|300						
23611	张世									450|300						
23612	吕凯									450|300						
23710	雍周									450|300						
23711	正昂									450|300						
23810	孟兴									450|300						
23811	朱褒									450|300						
23909	李权									450|300						
23910	李斌									450|300						
24008	刘修									450|300						
24009	刘弥									450|300						
24111	左宗									450|300						
24112	左恢									450|300						
24209	张世									450|300						
24210	臧均									450|300						
24309	许混									450|300						
24310	许旻									450|300						
24404	严厉									450|300						
24405	严白虎									450|300						
