instanceid	名字	Mark	Score
40006	丁原	1	
42100	张邈	1	
41801	刘备	1	
41688	孔伷	1	
44624	许贡	1	
41436	荀彧	1	
43414	张羡	1	
43119	刘焉	1	
43629	刘磐	1	
43908	严颜	1	
42727	刘琦	1	
44511	孟达	1	
44148	袁术	1	
43420	张绣	1	
42505	金旋	1	
40157	王威	1	
43279	冷苞	1	
43199	孟获	1	
43838	张鲁	1	
40451	袁绍	1	
41900	公孙瓒	1	
46475	何进	1	
41294	李傕	1	
46215	董卓	1	
41148	郝昭	1	
43043	张勋	1	
42616	贺齐	1	
44300	巴瓦.贴力	1	
44224	王朗	1	
46005	刘勋	1	
44028	孙坚	1	
44376	刘表	1	
44630	公孙度	1	
42815	刘虞	1	
42903	刘恢	1	
42249	王植	1	
42107	张角	1	
41807	曹真	1	
41299	韩遂	1	
41154	边章	1	
41075	马腾	1	
40932	陶谦	1	
46788	陈珪	1	
40721	曹操	1	
40305	孔融	1	
46127	赵范	1	
44981	宋忠	1	
45059	张修	1	
45293	刘先	1	
42944	牛金	1	
45254	公孙范	1	
45215	李肃	1	
45176	周鲂	1	
45137	马遵	1	
45098	王匡	1	
45020	吴景	1	
42905	张超	1	
