instanceid	名字	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y
20010	标枪兵1	4865	-9041	5747	-7021																																
20011	标枪兵2	3915	-8856	4611	-7011																																
10108	吴国资源车	-22931	22254	-23207	20685	-17036	16856	-10852	12662	-5562	10195	-1680	6090	2300	297	5719	-6232	7252	-12737	8659	-17835	6743	-23183														
10109	魏国资源车	-17432	-23189	-12234	-23859	-14556	-17322	-15108	-11155	-12550	-8276	-7739	-5310	-3623	-335	-1680	6090	749	11398	2484	16971	2257	22834														
10110	蜀国资源车	23172	3225	22991	256	13573	2346	5906	4384	-1680	6090	-8509	7433	-14394	6678	-18833	6316	-23931	5096	-21486	-834	-19678	-8773														
157060	百姓	-4919	16831	-6703	13109	-6904	8259	-3762	156	8432	-195																										
157070	百姓	-4819	16931	-6803	13209	-6804	8359	-3662	256	8532	-295																										
157080	百姓	-4919	16931	-6903	13109	-6904	8459	-3562	156	8632	-195																										
162080	太史慈	-3342	-7319	1132	-7176	1468	-3667	2925	-291																												
204921	张任	-8111	4445	-8089	3968	-8233	1290	-8192	-1867	-7967	-4171																										
204922	张任部	-7856	4613	-8089	3968	-8233	1290	-8192	-1867	-7967	-4171																										
204923	张任部	-8389	4639	-8089	3968	-8233	1290	-8192	-1867	-7967	-4171																										
205010	严颜	-79	-1475	-5332	-1431	-6779	-7459	542	-8328																												
205322	马超	1711	4147	-3663	-2563	-4462	-6567	-10350	-10137																												
205611	朱褒	1517	8958	5128	9041	7822	6567	9626	5332	11553	6425																										
190010	吕蒙军	10264	-10549	1073	-10349	-3227	-6628	7000	-2399	6786	4006																										
190011	吕蒙军	10264	-10549	1073	-10349	-3227	-6628	7000	-2399	6786	4006																										
190012	吕蒙军	10264	-10549	1073	-10349	-3227	-6628	7000	-2399	6786	4006																										
190020	陆逊	1073	-10349	-3227	-6628	7000	-2399	6786	4006																												
190021	陆逊军	1073	-10349	-3227	-6628	7000	-2399	6786	4006																												
190022	陆逊军	1073	-10349	-3227	-6628	7000	-2399	6786	4006																												
190030	徐晃	-3227	-6628	7000	-2399	6786	4006																														
190031	曹军追兵	-3227	-6628	7000	-2399	6786	4006																														
190032	曹军追兵	-3227	-6628	7000	-2399	6786	4006																														
190040	曹仁	7000	-2399	6786	4006																																
190041	曹军追兵	7000	-2399	6786	4006																																
190042	曹军追兵	7000	-2399	6786	4006																																
207501	马谡	7606	-6349	2556	3256	-1991	6813	-5968	6560	-5727	800	-6940	-6450																								
207402	投石车	-13145	2638	-4247	2362																																
207403	投石车	-13173	1406	-4375	1284																																
600006	弩兵	11579	-3324	9568	-1782	5552	-2520	3259	-1009	849	255	-1520	476	-3670	544	-7222	1804	-10129	1048																		
600007	弩兵	11579	-3324	9568	-1782	5552	-2520	3259	-1009	849	255	-1520	476	-3670	544	-7222	1804	-10129	1048																		
600008	虎卫营	11579	-3324	9568	-1782	5552	-2520	3259	-1009	849	255	-1520	476	-3670	544	-7222	1804	-10129	1048																		
600009	虎卫营	11579	-3324	9568	-1782	5552	-2520	3259	-1009	849	255	-1520	476	-3670	544	-7222	1804	-10129	1048																		
600010	黑山弩兵	-11466	444	-7222	1804	-3670	544	-1520	476	849	255	3259	-1009	5552	-2520	9568	-1782	10522	-2610																		
600011	黑山弩兵	-11466	444	-7222	1804	-3670	544	-1520	476	849	255	3259	-1009	5552	-2520	9568	-1782	10522	-2610																		
600012	黑山步兵	-11466	444	-7222	1804	-3670	544	-1520	476	849	255	3259	-1009	5552	-2520	9568	-1782	10522	-2610																		
600013	黑山步兵	-11466	444	-7222	1804	-3670	544	-1520	476	849	255	3259	-1009	5552	-2520	9568	-1782	10522	-2610																		
600014	关羽	11579	-3324	9568	-1782	5552	-2520	3259	-1009	849	255	-1520	476	-3670	544	-7222	1804	-10129	1048																		
