instanceid	名字	血量比	普通攻击	技能	技能	技能	技能	技能	技能	技能	技能
31279	波才	95	40	24600|100|0|1	24618|100|2|1						
31283	张梁	95	40	24600|100|0|1	24618|100|2|1						
31286	张宝	95	40	24600|100|0|1	24618|100|2|1						
31301	李肃	95	40	24601|100|0|1	24619|100|2|1						
31302	牛辅	95	40	24601|100|0|1	24619|100|2|1						
31303	李儒	95	40	24601|100|0|1	24619|100|2|1						
31308	郭汜	95	40	24602|100|0|1	24620|100|2|1						
31309	李傕	95	40	24602|100|0|1	24620|100|2|1						
31310	华雄	95	40	24602|100|0|1	24620|100|2|1						
31312	雷薄	95	40	24603|100|0|1	24621|100|2|1						
31313	陈兰	95	40	24603|100|0|1	24621|100|2|1						
31314	桥蕤	95	40	24603|100|0|1	24621|100|2|1						
31321	张先	95	40	24604|100|0|1	24622|100|2|1						
31325	雷叙	95	40	24604|100|0|1	24622|100|2|1						
31328	胡车儿	95	40	24604|100|0|1	24622|100|2|1						
31337	淳于琼	95	40	24605|100|0|1	24623|100|2|1						
31341	马严	95	40	24605|100|0|1	24623|100|2|1						
31344	史焕	95	40	24605|100|0|1	24623|100|2|1						
31353	张凯	95	40	24606|100|0|1	24624|100|2|1						
31357	蒋义渠	95	40	24606|100|0|1	24624|100|2|1						
31360	麴义	95	40	24606|100|0|1	24624|100|2|1						
31367	马铁	95	40	24607|100|0|1	24625|100|2|1						
31371	马休	95	40	24607|100|0|1	24625|100|2|1						
31374	马岱	95	40	24607|100|0|1	24625|100|2|1						
31378	曹性	95	40	24608|100|0|1	24626|100|2|1						
31379	郝萌	95	40	24608|100|0|1	24626|100|2|1						
31380	高顺	95	40	24608|100|0|1	24626|100|2|1						
