abstractid	名字	兵种	视野	警戒	眼睛高度	普通攻击增加MP	受击增加MP	HP	攻击力	护甲	护甲类型	法术抗性	移动速度	攻击速度	施法速度	半径	外形状态	attackid	暴击	格挡	闪避	潜行	反潜行	命中率	攻击动作	暴击动作	近身攻击	等级	积分系数	死亡经验系数	死亡功勋系数
20001	弓兵	1	25	25	3	8	2	920	38	38	0	233	5.5	0.67	0	"0.7,0.7,1.75"	0	22006	80	5	10	0	0	1000	0.69	0.77		1	0.08	1	0.001
20002	飞刀兵	1	25	25	3	8	2	1258.1	48	52	0	233	5.5	0.67	0	"0.7,0.7,1.75"	0	22007	100	5	60	0	0	1000	0.68	0.44		1	0.2	2.5	0.002
20003	弩兵	1	25	25	3	8	2	1282.25	58	54	0	233	5.5	0.67	0	"0.7,0.7,1.75"	0	22008	100	5	40	0	0	1000	0.51	0.62		1	0.4	6.25	0.003
20004	先登强弩	1	25	25	3	8	2	2166.6	90	74	0	233	5.5	0.7	0	"0.7,0.7,1.75"	0	22009	105	5	50	0	0	1000	0.47	0.56		1	0.8	15.625	0.008
20023	无当飞军	1	25	25	3	8	2	3279.8	185	103	0	233	5.5	0.67	0	"0.7,0.7,1.75"	0	22005	130	5	30	0	0	1000	0.67	0.79	0.38	1	1.5	50	0.01
20005	神射营	1	25	25	3	8	2	2527.7	122	96	0	233	5.5	0.67	0	"0.7,0.7,1.75"	0	22010	120	5	50	0	0	1000	0.65	0.8		1	0.8	15.625	0.008
20006	元戎弩	1	25	25	3	8	2	2558.75	144	84	0	233	5.5	0.7	0	"0.7,0.7,1.75"	0	22011	110	5	50	0	0	1000	0.53	0.65		1	1.5	50	0.01
20007	长戟兵	0	25	25	3	8	2	1380	30	70	0	158	6	0.67	0	"0.7,0.7,1.75"	0	22012	40	100	80	0	0	1000	0.25	0.59		1	0.08	1	0.011
20008	重步兵	0	25	25	3	8	2	2088.4	36	91	0	158	5.5	0.67	0	"0.7,0.7,1.75"	0	22013	40	200	50	0	0	1000	0.25	0.35		1	0.2	2.5	0.0396
20009	虎卫营	0	25	25	3	8	2	2969.3	42	140	0	158	5.5	0.67	0	"0.7,0.7,1.75"	0	22014	82	200	50	0	0	1000	0.25	0.45		1	0.4	6.25	0.198
20010	丹阳兵	0	25	25	3	8	2	3553.5	119	129	0	158	6	0.7	0	"0.7,0.7,1.75"	0	22015	100	100	100	0	0	1000	0.23	0.51		1	0.8	15.625	0.528
20011	白毦兵	0	25	25	3	8	2	4508	76	169	0	158	5.5	0.67	0	"0.7,0.7,1.75"	0	22016	95	200	50	0	0	1000	0.22	0.46		1	0.8	15.625	0.528
20012	陷阵营	0	25	25	3	8	2	5229.05	150	145	0	158	6	0.72	0	"0.7,0.7,1.75"	0	22017	100	100	100	0	0	1000	0.25	0.53		1	1.5	50	1.584
20013	轻骑兵	2	30	25	3.5	8	2	1596.2	57	89	0	233	10	0.67	0	"1.25,1.25,1.75"	0	22018	95	15	100	0	0	1000	0.12	0.4		1	0.2	2.5	0.0022
20014	重骑兵	2	25	25	3.5	8	2	3178.6	77	111	0	233	8	0.5	0	"1.25,1.25,1.75"	0	22019	70	10	10	0	0	1000	0.12	0.33		1	0.4	6.25	0.088
20015	突骑兵	2	25	25	3.5	8	2	2365.55	75	102	0	233	10	0.67	0	"1.25,1.25,1.75"	0	22020	95	15	100	0	0	1000	0.45	0.88		1	0.4	6.25	0.088
20016	西凉铁骑	2	25	25	3	8	2	5319.9	125	135	0	233	8	0.5	0	"1.5,1.5,1.75"	0	22021	100	10	10	0	0	1000	0.25	0.5		1	0.8	15.625	0.22
20017	象兵	2	25	25	4.5	8	2	9212.65	208	147	0	233	7	0.5	0	"1.5,1.5,1.75"	0	22022	115	10	10	0	0	1000	0.4	0.63		1	1.5	50	0.88
20018	虎豹骑	2	25	25	3.5	8	2	5047.35	209	140	0	233	10	0.6	0	"1.25,1.25,1.75"	0	22023	100	15	100	0	0	1000	0.23	0.33		1	1.5	50	0.88
20019	投石车	3	25	25	3	8	2	2271.825	182	82	1	433	3.5	0.4	0	"1.5,1.5,1.75"	0	22024	100	10	10	0	0	1000	0.43	0.44		1	1.5	50	0.01
20020	井阑	3	25	25	4.5	8	2	2170.05	165	100	1	433	4.5	0.66	0	"1.5,1.5,1.75"	0	22025	100	10	10	0	0	1000	0.15	0.15		1	0.8	15.625	0.008
20021	冲车	3	25	25	3	8	2	1267.3	49	113	1	433	6	0.66	0	"1.5,1.5,1.75"	0	22026	100	100	10	0	0	1000	0.26	0.38		1	0.2	2.5	0.002
20022	木兽	3	25	25	3	8	2	1637.6	61	127	1	433	6	0.66	0	"1.5,1.5,1.75"	0	22027	100	50	10	0	0	1000	0.4	0.4		1	0.4	6.25	0.08
20500	黄巾步兵	0	25	25	3	8	2	1177.6	32	55	0	158	6	0.66	0	"0.7,0.7,1.75"	0	22028	80	50	50	0	0	1000	0.34	0.48		1	0.08	1	0.0011
20501	黑山步兵	0	25	25	3	8	2	1728.45	49	83	0	158	6	0.67	0	"0.7,0.7,1.75"	0	22029	100	100	100	0	0	1000	0.22	0.4		1	0.2	2.5	0.0396
20502	蛮兵	0	25	25	3	8	2	1322.5	34	56	0	158	5	0.66	0	"0.7,0.7,1.75"	0	22012	80	50	50	0	0	1000	0.44	0.45		1	0.08	1	0.0011
20503	藤甲兵	0	25	25	3	8	2	6318.1	93	236	0	158	5.5	0.67	0	"0.7,0.7,1.75"	0	22031	92	200	50	0	0	1000	0.25	0.52		1	1.5	50	1.584
20504	铁甲军	0	25	25	3	8	2	2457.55	64	108	0	158	6	0.67	0	"0.7,0.7,1.75"	0	22032	100	100	100	0	0	1000	0.35	0.48		1	0.4	6.25	0.198
20505	镖枪兵	1	25	25	3	8	2	1781.35	68	67	0	233	5.5	0.65	0	"0.7,0.7,1.75"	0	22033	100	5	30	0	0	1000	0.33	0.53		1	0.4	6.25	0.003
20506	黄巾弓兵	1	25	25	3	8	2	1150	35	31	0	233	5	0.66	0	"0.7,0.7,1.75"	0	22034	80	5	5	0	0	1000	0.71	0.77		1	0.08	1	0.001
20507	黑山弩兵	1	25	25	3	8	2	955.65	41	45	0	233	5.5	0.67	0	"0.7,0.7,1.75"	0	22035	100	5	30	0	0	1000	0.54	0.51		1	0.2	2.5	0.002
20508	黄巾骑兵	2	30	25	3.5	8	2	1380	35	40	0	233	10	0.66	0	"1.25,1.25,1.75"	0	22036	80	10	5	0	0	1000	0.37	0.37		1	0.08	1	0.0011
20509	黑山骑兵	2	30	25	3.5	8	2	1889.45	59	90	0	233	8	0.5	0	"1.25,1.25,1.75"	0	22037	70	10	10	0	0	1000	0.45	0.4		1	0.2	2.5	0.0022
20510	飞熊军	2	25	25	3.5	8	2	3454.6	162	121	0	233	10	0.6	0	"1.25,1.25,1.75"	0	22038	100	15	100	0	0	1000	0.23	0.37		1	0.8	15.625	0.22
