abstractid	名字	穿透	法术穿透	无视闪避	反弹物伤	反弹法伤	物理吸血	法术吸血	暴击剑	溅射	物伤加深	法伤加深	equipid	物伤加成	法伤加成	回复效果
20007	长戟兵												22100			
20008	重步兵												22101			
20501	黑山兵												22102			
20009	虎卫兵												22103			
20504	铁甲兵												22104			
20011	白毦兵												22105			
20010	丹阳兵												22106			
20503	藤甲兵												22107			
20012	陷阵兵												22108			
20001	弓兵												22109			
20002	飞刀兵												22110			
20507	黑山弩兵												22111			
20003	弩兵												22112			
20505	镖枪兵												22113			
20004	强弩												22114			
20005	神射兵												22115			
20006	元戎弩												22116			
20023	无当飞军												22117			
20013	轻骑兵												22118			
20509	黑山骑兵												22119			
20014	重骑兵												22120			
20015	突骑兵												22121			
20510	飞熊军												22122			
20016	西凉铁骑												22123			
20018	虎豹骑												22124			
20017	象兵												22125			
