instanceid	掉落种数	掉落类型	dropid	掉落几率	数量
30085	3	1		80	1|20
30085	3	2		100	1|20
30085	3	3		50	1|20
30085	3	4		30	1|20
30085	3	5	1001	40	1|20
30093	3	1		80	1|20
30093	3	2		100	1|20
30093	3	3		50	1|20
30093	3	4		30	1|20
30093	3	6	4000	40	1|20
30155	3	1		20	1500|2000
30155	3	2		20	1500|2000
30155	3	3		20	1500|2000
30155	3	4		20	1500|2000
30155	3	5		20	1500|2000
30282	3	1		20	1500|2000
30282	3	2		20	1500|2000
30282	3	3		20	1500|2000
30282	3	4		20	1500|2000
30282	3	5		20	1500|2000
30401	1	2		50	1500|2000
30401	1	3		50	1500|2000
30278	1	2		50	1500|2000
30278	1	3		50	1500|2000
30279	1	10	6043	50	1|1
30200	1	10	6043	50	1|1
30201	1	2		50	1500|2000
30201	1	3		50	1500|2000
45422	3	1		20	1500|2000
45422	3	2		20	1500|2000
45422	3	3		20	1500|2000
45422	3	4		20	1500|2000
45422	3	5		20	1500|2000
45423	3	1		20	1500|2000
45423	3	2		20	1500|2000
45423	3	3		20	1500|2000
45423	3	4		20	1500|2000
45423	3	5		20	1500|2000
45424	1	10	6043	100	1|1
45425	1	10	6043	100	1|1
45331	1	10	6043	100	1|1
45332	1	1		100	1500|2000
45333	1	1		100	1500|2000
45334	1	10	6043	100	1|1
45335	1	1		100	1500|2000
45336	1	1		100	1500|2000
45337	1	10	6043	100	1|1
45338	1	1		100	1500|2000
45339	1	1		100	1500|2000
45340	1	10	6043	100	1|1
45341	1	1		100	1500|2000
45342	1	1		100	1500|2000
45343	1	10	6043	100	1|1
45344	1	1		100	1500|2000
45345	1	1		100	1500|2000
45346	1	10	6043	100	1|1
45347	1	1		100	1500|2000
45348	1	1		100	1500|2000
45349	1	10	6043	100	1|1
45350	1	1		100	1500|2000
45351	1	1		100	1500|2000
45352	1	10	6043	100	1|1
45353	1	1		100	1500|2000
45354	1	1		100	1500|2000
45355	1	10	6043	100	1|1
45356	1	1		100	1500|2000
45357	1	1		100	1500|2000
45358	1	10	6043	100	1|1
45359	1	1		100	1500|2000
45360	1	1		100	1500|2000
45361	1	10	6043	100	1|1
45362	1	1		100	1500|2000
45363	1	1		100	1500|2000
45364	1	10	6043	100	1|1
45365	1	1		100	1500|2000
45366	1	1		100	1500|2000
45367	1	10	6043	100	1|1
45368	1	1		100	1500|2000
45369	1	1		100	1500|2000
45370	1	10	6043	100	1|1
45371	1	1		100	1500|2000
45372	1	1		100	1500|2000
45373	1	10	6043	100	1|1
45374	1	1		100	1500|2000
45375	1	1		100	1500|2000
45376	1	10	6043	100	1|1
45377	1	1		100	1500|2000
45378	1	1		100	1500|2000
45379	1	10	6043	100	1|1
45380	1	1		100	1500|2000
45381	1	1		100	1500|2000
45382	1	10	6043	100	1|1
45383	1	1		100	1500|2000
45384	1	1		100	1500|2000
45385	1	10	6043	100	1|1
45386	1	1		100	1500|2000
45387	1	1		100	1500|2000
45388	1	10	6043	100	1|1
45389	1	1		100	1500|2000
45390	1	1		100	1500|2000
45391	1	1		100	1500|2000
45392	1	1		100	1500|2000
45393	1	10	6043	100	1|1
45394	1	1		100	1500|2000
45395	1	1		100	1500|2000
45396	1	10	6043	100	1|1
45397	1	1		100	1500|2000
45398	1	1		100	1500|2000
45399	1	1		100	1500|2000
45400	1	1		100	1500|2000
45401	1	10	6043	100	1|1
45402	1	10	6043	100	1|1
45403	1	10	6043	100	1|1
45404	1	10	6043	100	1|1
45405	1	1		100	1500|2000
45406	1	1		100	1500|2000
45407	1	1		100	1500|2000
45408	1	1		100	1500|2000
45409	1	10	6043	100	1|1
45410	1	10	6043	100	1|1
45411	1	10	6043	100	1|1
45412	1	10	6043	100	1|1
45413	1	1		100	1500|2000
45414	1	1		100	1500|2000
45415	1	10	6043	100	1|1
45416	1	1		100	1500|2000
45417	1	1		100	1500|2000
45418	1	10	6043	100	1|1
45419	1	1		100	1500|2000
45420	1	1		100	1500|2000
45421	1	10	6043	100	1|1
50001	1	10	6112	100	1|1
158003	1	5		100	2000|2000
162043	1	5		100	2000|2000
172062	1	5		100	2000|2000
187905	1	5		100	2000|2000
189044	1	5		100	2000|2000
191041	1	5		100	2000|2000
193910	1	5		100	2000|2000
195912	1	5		100	2000|2000
196904	1	5		100	2000|2000
197903	1	5		100	2000|2000
198905	1	5		100	2000|2000
204936	1	5		100	2000|2000
205027	1	5		100	2000|2000
205145	1	10	2057	100	1|1
205336	1	5		100	2000|2000
205437	1	5		100	2000|2000
205526	1	5		100	2000|2000
205729	1	5		100	2000|2000
205824	1	5		100	2000|2000
205925	1	5		100	2000|2000
206016	1	5		100	2000|2000
206221	1	5		100	2000|2000
206227	1	5		100	2000|2000
206314	1	5		100	2000|2000
206418	1	5		100	2000|2000
206514	1	5		100	2000|2000
206621	1	5		100	2000|2000
206622	1	5		100	2000|2000
206727	1	5		100	2000|2000
206835	1	5		100	2000|2000
207136	1	5		100	2000|2000
207216	1	5		100	2000|2000
207321	1	5		100	2000|2000
207514	1	5		100	2000|2000
207818	1	5		100	2000|2000
207434	1	5		100	2000|2000
207514	1	5		100	2000|2000
207625	1	5		100	2000|2000
207744	1	5		100	2000|2000
207818	1	5		100	2000|2000
207935	1	5		100	2000|2000
208040	1	5		100	2000|2000
