abstractid	掉落种数	掉落类型	dropid	掉落几率	数量
20073	3	1		80	500|1000
20073	3	2		100	500|1000
20073	3	3		50	500|1000
20073	3	4		30	500|1000
20073	3	5		40	500|1000
20074	3	1		80	500|1000
20074	3	2		100	500|1000
20074	3	3		50	500|1000
20074	3	4		30	500|1000
20074	3	5		40	500|1000
20081	1	10	7732	18	1|1
20081	1	10	7737	18	1|1
20081	1	10	7672	18	1|1
20081	1	10	7707	54	1|1
20081	1	10	7642	18	1|1
20081	1	10	7612	18	1|1
20081	1	10	7667	18	1|1
20081	1	10	7652	18	1|1
20081	1	10	7622	18	1|1
20081	1	10	7762	18	1|1
20081	1	10	7697	18	1|1
20081	1	10	7647	18	1|1
20081	1	10	7617	18	1|1
20081	1	10	7677	18	1|1
20081	1	5		369	50000|50000
20081	1	10	7000	80	1|1
20081	1	10	7005	80	1|1
20081	1	10	7010	80	1|1
20081	1	10	7015	80	1|1
20081	1	10	7001	60	1|1
20081	1	10	7006	60	1|1
20081	1	10	7011	60	1|1
20081	1	10	7016	60	1|1
20081	1	10	7002	40	1|1
20081	1	10	7007	40	1|1
20081	1	10	7012	40	1|1
20081	1	10	7017	40	1|1
20081	1	10	7003	20	1|1
20081	1	10	7008	20	1|1
20081	1	10	7013	20	1|1
20081	1	10	7018	20	1|1
20081	1	10	7527	80	1|1
20081	1	10	7522	80	1|1
20081	1	10	7523	80	1|1
20081	1	10	7533	80	1|1
20081	1	10	7203	20	1|1
20081	1	10	7535	20	1|1
20081	1	10	7556	80	5|5
20081	1	10	7526	80	1|1
20081	1	10	7554	20	1|1
20081	1	10	7555	20	1|1
20081	1	10	7656	9	1|1
20081	1	10	7686	9	1|1
20081	1	10	7691	9	1|1
20081	1	10	7766	9	1|1
20081	1	10	7681	9	1|1
20081	1	8		72	20|20
20081	1	8		72	15|15
20081	1	8		72	10|10
20081	1	8		72	5|5
20081	1	10	3001	10	1|1
20081	1	10	3003	10	1|1
20081	1	10	3007	10	1|1
20081	1	10	3011	10	1|1
20081	1	10	3015	10	1|1
20081	1	10	3017	10	1|1
20081	1	10	3021	10	1|1
20081	1	10	3025	10	1|1
20081	1	10	3027	10	1|1
20081	1	10	3103	10	1|1
20081	1	10	3113	10	1|1
20081	1	10	3123	10	1|1
20081	1	10	3124	10	1|1
20081	1	10	3125	10	1|1
20081	1	10	3128	10	1|1
20082	1	5		50	1000|2000
20082	1	10	7000	15	1|1
20082	1	10	7005	15	1|1
20082	1	10	7010	15	1|1
20082	1	10	7015	15	1|1
20082	1	10	7527	20	1|1
20082	1	10	7522	20	1|1
20082	1	10	7556	20	1|1
20082	1	8		8	10|10
20082	1	8		8	5|5
20083	1	5		50	3000|3000
20083	1	5		50	5000|5000
20083	1	5		50	8000|8000
20083	1	5		30	10000|10000
20083	1	5		10	20000|20000
20083	1	5		5	30000|30000
20083	1	5		1	50000|50000
20083	1	8		20	5|5
20083	1	8		10	8|8
20083	1	8		5	10|10
20083	1	8		1	15|15
20083	1	28		20	1000|1000
20083	1	28		10	3000|3000
20083	1	28		5	5000|5000
20083	1	10	7523	3	1|1
20084	1	10	7000	15	1|1
20084	1	10	7005	15	1|1
20084	1	10	7010	15	1|1
20084	1	10	7015	15	1|1
20084	1	10	7527	20	1|1
20084	1	10	7522	5	1|1
20084	1	10	7556	20	1|1
20084	1	10	7521	8	1|1
20084	1	8		8	10|10
20084	1	8		8	5|5
20085	1	10	6112	100	1|1
20086	1	10	6113	100	1|1
20097	1	10	2092	100	1|1
20098	1	10	2069	100	1|1
20099	1	10	2075	100	1|1
20100	1	10	2081	100	1|1
20101	1	10	2107	100	1|1
20102	1	10	2117	100	1|1
20103	1	10	2050	100	1|1
20104	1	10	2056	100	1|1
20105	1	10	2062	100	1|1
20106	1	10	2109	100	1|1
20107	1	10	2119	100	1|1
20108	1	10	2051	100	1|1
20109	1	10	2057	100	1|1
20110	1	10	2063	100	1|1
20111	1	10	2108	100	1|1
20112	1	10	2118	100	1|1
20113	1	10	3034	100	1|1
20114	1	10	3040	100	1|1
20115	1	10	3046	100	1|1
20116	1	10	3110	100	1|1
20117	1	10	3120	100	1|1
20080	1	5		40	5000|5000
20080	1	5		30	10000|10000
20080	1	5		20	20000|20000
20080	1	5		10	30000|30000
20080	1	8		20	5|5
20080	1	8		10	10|10
20080	1	8		5	20|20
20080	1	10	7549	40	1|1
20080	1	10	7550	30	1|1
20080	1	10	7551	20	1|1
20080	1	10	7552	10	1|1
20080	1	10	7553	5	1|1
20080	1	10	7554	10	1|1
