abstractid	名字	DataType	等级	CD	吟唱	使用半径	作用范围	伤害	千分比伤害	伤害类型	最低MP限制	消耗MP	消耗HP	对象类型	作用类型	攻击有效时间	被动Buf	目标Buf	使用者Buf	范围模型	伤害个数	影响范围	描述	备注		
21000	射箭	DT_Attack	1	1.5	0	12	0	0		0	0	0	0	198		5		0	0		1					
21001	近战	DT_Attack	1	1.6	0	3	0	0		0	0	0	0	198		5		0	0		1					
21002	箭楼射箭	DT_Attack	1	0.1	0	30	0	0		0	0	0	0	198		5		0	0		1					
21003	防守射箭	DT_Attack	1	0.1	0	6	0	0		0	0	0	0	198		5		0	0		1					
21004	回据点	DT_Skill	1	175	5	0	0	0		0	0	0	0	31		5		0	0		1			战场回据点		
22005	无当飞军攻	DT_Attack	1	1.5	0	20	0	0		0	0	0	0	198		5		0	0		1					
22006	弓兵攻	DT_Attack	1	1.5	0	16	0	0		0	0	0	0	198		5		0	0		1					
22007	飞刀攻	DT_Attack	1	1.5	0	16	0	0		0	0	0	0	198		5		0	0		1					
22008	弩兵攻	DT_Attack	1	1.5	0	20	0	0		0	0	0	0	198		5		0	0		1					
22009	强弩攻	DT_Attack	1	1.43	0	20	0	0		0	0	0	0	198		5		0	0		1					
22010	神射营攻	DT_Attack	1	1.5	0	18	0	0		0	0	0	0	198		5		0	0		1					
22011	元戎弩攻	DT_Attack	1	1.43	0	23	0	0		0	0	0	0	198		5		0	0		1					
22012	长戟兵攻	DT_Attack	1	1.5	0	3	0	0		0	0	0	0	198		5		0	0		1					
22013	重步兵攻	DT_Attack	1	1.5	0	3	0	0		0	0	0	0	198		5		0	0		1		 			
22014	近卫军攻	DT_Attack	1	1.5	0	3	0	0		0	0	0	0	198		5		0	0		1					
22015	丹阳兵攻	DT_Attack	1	1.43	0	3	0	0		0	0	0	0	198		5		0	0		1					
22016	白毦兵攻	DT_Attack	1	1.5	0	3	0	0		0	0	0	0	198		5		0	0		1					
22017	陷阵营攻	DT_Attack	1	1.39	0	3	0	0		0	0	0	0	198		5		0	0		1					
22018	轻骑兵攻	DT_Attack	1	1.5	0	3.5	0	0		0	0	0	0	198		5		0	0		1					
22019	重骑兵攻	DT_Attack	1	2	0	3.5	0	0		0	0	0	0	198		5		0	0		1					
22020	突骑兵攻	DT_Attack	1	1.5	0	12	0	0		0	0	0	0	198		5		0	0		1					
22021	西凉铁骑攻	DT_Attack	1	2	0	3.5	0	0		0	0	0	0	198		5		0	0		1					
22022	象兵攻	DT_Attack	1	2	0	3.5	0	0		0	0	0	0	198		5		0	0		1					
22023	虎豹骑攻	DT_Attack	1	1.67	0	3.5	0	0		0	0	0	0	198		5		0	0		1					
22024	投石车攻	DT_Attack	1	2.5	0	28	7.5	0		1	0	0	0	70		5		0	0		0					
22025	井阑攻	DT_Attack	1	1.5	0	23	0	0		1	0	0	0	198		5		0	0		1					
22026	冲车攻	DT_Attack	1	1.5	0	3	3	0		1	0	0	0	198		5		0	0		1					
22027	木兽攻	DT_Attack	1	1.5	0	8	4	0		1	0	0	0	198		5		0	0		0					
22028	黄巾步兵攻	DT_Attack	1	1.5	0	3	0	0		0	0	0	0	198		5		0	0		1					
22029	黑山贼步兵攻	DT_Attack	1	1.5	0	3	0	0		0	0	0	0	198		5		0	0		1					
22030	蛮兵攻	DT_Attack	1	1.5	0	3	0	0		0	0	0	0	198		5		0	0		1					
22031	藤甲兵攻	DT_Attack	1	1.5	0	3	0	0		0	0	0	0	198		5		0	0		1					
22032	铁甲军攻	DT_Attack	1	1.5	0	3	0	0		0	0	0	0	198		5		0	0		1					
22033	标枪兵攻	DT_Attack	1	1.53	0	16	0	0		0	0	0	0	198		5		0	0		1					
22034	黄巾弓箭兵攻	DT_Attack	1	1.5	0	16	0	0		0	0	0	0	198		5		0	0		1					
22035	黑山贼弩兵攻	DT_Attack	1	1.5	0	20	0	0		0	0	0	0	198		5		0	0		1					
22036	黄巾轻骑兵攻	DT_Attack	1	1.5	0	3.5	0	0		0	0	0	0	198		5		0	0		1					
