superequipid	名字	图片	等级	经验	注灵点	兵法	阵法	洞察	abstractid
1	倚天剑	UI_ShenQi_yitianjian.img	1	0	1	1	1	1	50000
1	倚天剑	UI_ShenQi_yitianjian.img	2	100	1	2	2	2	50001
1	倚天剑	UI_ShenQi_yitianjian.img	3	600	1	3	3	3	50002
1	倚天剑	UI_ShenQi_yitianjian.img	4	1600	1	4	4	4	50003
1	倚天剑	UI_ShenQi_yitianjian.img	5	3600	1	5	5	5	50004
1	倚天剑	UI_ShenQi_yitianjian.img	6	8600	1	6	6	6	50005
1	倚天剑	UI_ShenQi_yitianjian.img	7	14600	1	7	7	7	50006
1	倚天剑	UI_ShenQi_yitianjian.img	8	21600	1	8	8	8	50007
1	倚天剑	UI_ShenQi_yitianjian.img	9	29600	1	9	9	9	50008
1	倚天剑	UI_ShenQi_yitianjian.img	10	38600	1	10	10	10	50009
1	倚天剑	UI_ShenQi_yitianjian.img	11	48600	2	11	11	11	50010
1	倚天剑	UI_ShenQi_yitianjian.img	12	59600	2	12	12	12	50011
1	倚天剑	UI_ShenQi_yitianjian.img	13	71600	2	13	13	13	50012
1	倚天剑	UI_ShenQi_yitianjian.img	14	84600	2	14	14	14	50013
1	倚天剑	UI_ShenQi_yitianjian.img	15	98600	2	15	15	15	50014
1	倚天剑	UI_ShenQi_yitianjian.img	16	113600	2	16	16	16	50015
1	倚天剑	UI_ShenQi_yitianjian.img	17	129600	2	17	17	17	50016
1	倚天剑	UI_ShenQi_yitianjian.img	18	146600	2	18	18	18	50017
1	倚天剑	UI_ShenQi_yitianjian.img	19	164600	2	19	19	19	50018
1	倚天剑	UI_ShenQi_yitianjian.img	20	183600	2	20	20	20	50019
1	倚天剑	UI_ShenQi_yitianjian.img	21	203600	3	21	21	21	50020
1	倚天剑	UI_ShenQi_yitianjian.img	22	228600	3	22	22	22	50021
1	倚天剑	UI_ShenQi_yitianjian.img	23	258600	3	23	23	23	50022
1	倚天剑	UI_ShenQi_yitianjian.img	24	293600	3	24	24	24	50023
1	倚天剑	UI_ShenQi_yitianjian.img	25	333600	3	25	25	25	50024
1	倚天剑	UI_ShenQi_yitianjian.img	26	383600	3	26	26	26	50025
1	倚天剑	UI_ShenQi_yitianjian.img	27	443600	3	27	27	27	50026
1	倚天剑	UI_ShenQi_yitianjian.img	28	513600	3	28	28	28	50027
1	倚天剑	UI_ShenQi_yitianjian.img	29	593600	3	29	29	29	50028
1	倚天剑	UI_ShenQi_yitianjian.img	30	683600	3	30	30	30	50029
1	倚天剑	UI_ShenQi_yitianjian.img	31	803600	5	31	31	31	50030
1	倚天剑	UI_ShenQi_yitianjian.img	32	943600	5	32	32	32	50031
1	倚天剑	UI_ShenQi_yitianjian.img	33	1103600	5	33	33	33	50032
1	倚天剑	UI_ShenQi_yitianjian.img	34	1283600	5	34	34	34	50033
1	倚天剑	UI_ShenQi_yitianjian.img	35	1483600	5	35	35	35	50034
1	倚天剑	UI_ShenQi_yitianjian.img	36	1703600	5	36	36	36	50035
1	倚天剑	UI_ShenQi_yitianjian.img	37	1963600	5	37	37	37	50036
1	倚天剑	UI_ShenQi_yitianjian.img	38	2283600	5	38	38	38	50037
1	倚天剑	UI_ShenQi_yitianjian.img	39	2683600	5	39	39	39	50038
1	倚天剑	UI_ShenQi_yitianjian.img	40	3203600	5	40	40	40	50039
2	青釭剑	UI_ShenQi_qinggangjian.img	1	0	1	1	1	1	50100
2	青釭剑	UI_ShenQi_qinggangjian.img	2	100	1	2	2	2	50101
2	青釭剑	UI_ShenQi_qinggangjian.img	3	600	1	3	3	3	50102
2	青釭剑	UI_ShenQi_qinggangjian.img	4	1600	1	4	4	4	50103
2	青釭剑	UI_ShenQi_qinggangjian.img	5	3600	1	5	5	5	50104
2	青釭剑	UI_ShenQi_qinggangjian.img	6	8600	1	6	6	6	50105
2	青釭剑	UI_ShenQi_qinggangjian.img	7	14600	1	7	7	7	50106
2	青釭剑	UI_ShenQi_qinggangjian.img	8	21600	1	8	8	8	50107
2	青釭剑	UI_ShenQi_qinggangjian.img	9	29600	1	9	9	9	50108
2	青釭剑	UI_ShenQi_qinggangjian.img	10	38600	1	10	10	10	50109
2	青釭剑	UI_ShenQi_qinggangjian.img	11	48600	2	11	11	11	50110
2	青釭剑	UI_ShenQi_qinggangjian.img	12	59600	2	12	12	12	50111
2	青釭剑	UI_ShenQi_qinggangjian.img	13	71600	2	13	13	13	50112
2	青釭剑	UI_ShenQi_qinggangjian.img	14	84600	2	14	14	14	50113
2	青釭剑	UI_ShenQi_qinggangjian.img	15	98600	2	15	15	15	50114
2	青釭剑	UI_ShenQi_qinggangjian.img	16	113600	2	16	16	16	50115
2	青釭剑	UI_ShenQi_qinggangjian.img	17	129600	2	17	17	17	50116
2	青釭剑	UI_ShenQi_qinggangjian.img	18	146600	2	18	18	18	50117
2	青釭剑	UI_ShenQi_qinggangjian.img	19	164600	2	19	19	19	50118
2	青釭剑	UI_ShenQi_qinggangjian.img	20	183600	2	20	20	20	50119
2	青釭剑	UI_ShenQi_qinggangjian.img	21	203600	3	21	21	21	50120
2	青釭剑	UI_ShenQi_qinggangjian.img	22	228600	3	22	22	22	50121
2	青釭剑	UI_ShenQi_qinggangjian.img	23	258600	3	23	23	23	50122
2	青釭剑	UI_ShenQi_qinggangjian.img	24	293600	3	24	24	24	50123
2	青釭剑	UI_ShenQi_qinggangjian.img	25	333600	3	25	25	25	50124
2	青釭剑	UI_ShenQi_qinggangjian.img	26	383600	3	26	26	26	50125
2	青釭剑	UI_ShenQi_qinggangjian.img	27	443600	3	27	27	27	50126
2	青釭剑	UI_ShenQi_qinggangjian.img	28	513600	3	28	28	28	50127
2	青釭剑	UI_ShenQi_qinggangjian.img	29	593600	3	29	29	29	50128
2	青釭剑	UI_ShenQi_qinggangjian.img	30	683600	3	30	30	30	50129
2	青釭剑	UI_ShenQi_qinggangjian.img	31	803600	5	31	31	31	50130
2	青釭剑	UI_ShenQi_qinggangjian.img	32	943600	5	32	32	32	50131
2	青釭剑	UI_ShenQi_qinggangjian.img	33	1103600	5	33	33	33	50132
2	青釭剑	UI_ShenQi_qinggangjian.img	34	1283600	5	34	34	34	50133
2	青釭剑	UI_ShenQi_qinggangjian.img	35	1483600	5	35	35	35	50134
2	青釭剑	UI_ShenQi_qinggangjian.img	36	1703600	5	36	36	36	50135
2	青釭剑	UI_ShenQi_qinggangjian.img	37	1963600	5	37	37	37	50136
2	青釭剑	UI_ShenQi_qinggangjian.img	38	2283600	5	38	38	38	50137
2	青釭剑	UI_ShenQi_qinggangjian.img	39	2683600	5	39	39	39	50138
2	青釭剑	UI_ShenQi_qinggangjian.img	40	3203600	5	40	40	40	50139
3	射日弓	UI_ShenQi_sherigong.img	1	0	1	1	1	1	50200
3	射日弓	UI_ShenQi_sherigong.img	2	100	1	2	2	2	50201
3	射日弓	UI_ShenQi_sherigong.img	3	600	1	3	3	3	50202
3	射日弓	UI_ShenQi_sherigong.img	4	1600	1	4	4	4	50203
3	射日弓	UI_ShenQi_sherigong.img	5	3600	1	5	5	5	50204
3	射日弓	UI_ShenQi_sherigong.img	6	8600	1	6	6	6	50205
3	射日弓	UI_ShenQi_sherigong.img	7	14600	1	7	7	7	50206
3	射日弓	UI_ShenQi_sherigong.img	8	21600	1	8	8	8	50207
3	射日弓	UI_ShenQi_sherigong.img	9	29600	1	9	9	9	50208
3	射日弓	UI_ShenQi_sherigong.img	10	38600	1	10	10	10	50209
3	射日弓	UI_ShenQi_sherigong.img	11	48600	2	11	11	11	50210
3	射日弓	UI_ShenQi_sherigong.img	12	59600	2	12	12	12	50211
3	射日弓	UI_ShenQi_sherigong.img	13	71600	2	13	13	13	50212
3	射日弓	UI_ShenQi_sherigong.img	14	84600	2	14	14	14	50213
3	射日弓	UI_ShenQi_sherigong.img	15	98600	2	15	15	15	50214
3	射日弓	UI_ShenQi_sherigong.img	16	113600	2	16	16	16	50215
3	射日弓	UI_ShenQi_sherigong.img	17	129600	2	17	17	17	50216
3	射日弓	UI_ShenQi_sherigong.img	18	146600	2	18	18	18	50217
3	射日弓	UI_ShenQi_sherigong.img	19	164600	2	19	19	19	50218
3	射日弓	UI_ShenQi_sherigong.img	20	183600	2	20	20	20	50219
3	射日弓	UI_ShenQi_sherigong.img	21	203600	3	21	21	21	50220
3	射日弓	UI_ShenQi_sherigong.img	22	228600	3	22	22	22	50221
3	射日弓	UI_ShenQi_sherigong.img	23	258600	3	23	23	23	50222
3	射日弓	UI_ShenQi_sherigong.img	24	293600	3	24	24	24	50223
3	射日弓	UI_ShenQi_sherigong.img	25	333600	3	25	25	25	50224
3	射日弓	UI_ShenQi_sherigong.img	26	383600	3	26	26	26	50225
3	射日弓	UI_ShenQi_sherigong.img	27	443600	3	27	27	27	50226
3	射日弓	UI_ShenQi_sherigong.img	28	513600	3	28	28	28	50227
3	射日弓	UI_ShenQi_sherigong.img	29	593600	3	29	29	29	50228
3	射日弓	UI_ShenQi_sherigong.img	30	683600	3	30	30	30	50229
3	射日弓	UI_ShenQi_sherigong.img	31	803600	5	31	31	31	50230
3	射日弓	UI_ShenQi_sherigong.img	32	943600	5	32	32	32	50231
3	射日弓	UI_ShenQi_sherigong.img	33	1103600	5	33	33	33	50232
3	射日弓	UI_ShenQi_sherigong.img	34	1283600	5	34	34	34	50233
3	射日弓	UI_ShenQi_sherigong.img	35	1483600	5	35	35	35	50234
3	射日弓	UI_ShenQi_sherigong.img	36	1703600	5	36	36	36	50235
3	射日弓	UI_ShenQi_sherigong.img	37	1963600	5	37	37	37	50236
3	射日弓	UI_ShenQi_sherigong.img	38	2283600	5	38	38	38	50237
3	射日弓	UI_ShenQi_sherigong.img	39	2683600	5	39	39	39	50238
3	射日弓	UI_ShenQi_sherigong.img	40	3203600	5	40	40	40	50239
