chengchiid	兵种	abstractid	攻速	CD缩减	移动速度	护甲值	魔甲	格挡几率	攻击力	生命值	暴击率	闪避率	攻城攻击力	攻击距离	命中率	穿透	法术穿透	潜行	反潜行	视野	无视闪避	反弹物伤	反弹法伤	物理吸血	法术吸血	暴击剑	溅射	物伤加深	法伤加深	equipid	物伤加成	法伤加成	回复效果	描述	备注1	备注2
1001	0								50																					24800				步兵攻击+5%	不耐	山地
1002	3												50																	24801				器械攻城攻击+5%	乐浪	城郭
1003	0								50																					24800				步兵攻击+5%	带方	山地
1004	1								50																					24804				弓兵攻击+5%	海冥	水域
1005	0								50																					24800				步兵攻击+5%	安平	山地
1006	2								50																					24805				骑兵攻击+5%	襄平	平原
1007	3												50																	24805				器械攻城攻击+5%	安市	城郭
1008	3												50																	24801				器械攻城攻击+5%	平郭	城郭
1009	1								50																					24802				弓兵攻击+5%	北丰	水域
1010	3												50																	24805				器械攻城攻击+5%	东沓	城郭
1011	3												50																	24801				器械攻城攻击+5%	玄菟	城郭
1012	3												50																	24801				器械攻城攻击+5%	昌黎	城郭
1013	3												50																	24802				器械攻击+5%	柳城	城郭
2001	2								50																					24805				骑兵攻击+5%	辽西	平原
2002	3												50																	24801				器械攻城攻击+5%	北平	城郭
2003	0								50																					24800				步兵攻击+5%	蓟	山地
2004	0								50																					24800				步兵攻击+5%	涿县	山地
2005	3												50																	24800				器械攻城攻击+5%	代县	城郭
2006	3												50																	24802				器械攻击+5%	易京	城郭
3001	1								50																					24805				弓兵攻击+5%	河间	水域
3002	2								50																					24805				骑兵攻击+5%	南皮	平原
3003	3												50																	24802				器械攻击+5%	灵丘	城郭
3004	2								50																					24805				骑兵攻击+5%	中山	平原
3005	0								50																					24800				步兵攻击+5%	常山	山地
3006	2								50																					24805				骑兵攻击+5%	巨鹿	平原
3007	2								50																					24805				骑兵攻击+5%	邯郸	平原
3008	0								50																					24803				步兵攻击+5%	临水	山地
3009	2								50																					24805				骑兵攻击+5%	邺	平原
3010	2								50																					24802				骑兵攻击+5%	黎阳	平原
3011	3												50																	24805				器械攻城攻击+5%	馆陶	城郭
3012	3												50																	24802				器械攻击+5%	界桥	城郭
4001	1								50							 														24805				弓兵攻击+5%	东莱	水域
4002	2								50																					24800				骑兵攻击+5%	即墨	平原
4003	1								50																					24805				弓兵攻击+5%	北海	水域
4004	2								50																					24805				骑兵攻击+5%	临淄	平原
