fubenid	兵种	abstractid	攻速	CD缩减	移动速度	护甲值	魔甲	格挡几率	攻击力	生命值	暴击率	闪避率	攻城攻击力	攻击距离	命中率	穿透	法术穿透	潜行	反潜行	视野	无视闪避	反弹物伤	反弹法伤	物理吸血	法术吸血	暴击剑	溅射	物伤加深	法伤加深	equipid	物伤加成	法伤加成	回复效果	描述	备注
45	2								200																					24806				骑兵攻击+20%	平原
46	2								200																					24806				骑兵攻击+20%	平原
997	2								200																					24806				骑兵攻击+20%	平原
1000	0								200																					24803				步兵攻击+20%	山地
1001	1								200																					24804				弓兵攻击+20%	水域
1002	1								200																					24804				弓兵攻击+20%	水域
1003	2								200																					24806				骑兵攻击+20%	平原
1031	1								200																					24804				弓兵攻击+20%	水域
1032	3												200																	24805				器械攻击+20%	城郭
1033	3												200																	24805				器械攻击+20%	城郭
1034	0								200																					24803				步兵攻击+20%	山地
1040	1								200																					24804				弓兵攻击+20%	水域
1041	0								200																					24803				步兵攻击+20%	山地
1042	0								200																					24803				步兵攻击+20%	山地
1043	2								200																					24806				骑兵攻击+20%	平原
1044	2								200																					24806				骑兵攻击+20%	平原
1045	0								200																					24803				步兵攻击+20%	山地
1046	1								200																					24804				弓兵攻击+20%	水域
1047	2								200																					24806				骑兵攻击+20%	平原
1053	2								200																					24806				骑兵攻击+20%	平原
1054	1								200																					24804				弓兵攻击+20%	水域
1055	2								200																					24806				骑兵攻击+20%	平原
1056	2								200																					24806				骑兵攻击+20%	平原
1057	1								200																					24804				弓兵攻击+20%	水域
1058	1								200																					24804				弓兵攻击+20%	水域
1060	3												200																	24805				器械攻击+20%	城郭
1061	1								200																					24804				弓兵攻击+20%	水域
1062	2								200																					24806				骑兵攻击+20%	平原
1067	0								200																					24803				步兵攻击+20%	山地
1068	0								200																					24803				步兵攻击+20%	山地
1069	0								200																					24803				步兵攻击+20%	山地
1070	2								200																					24806				骑兵攻击+20%	平原
1071	2								200																					24806				骑兵攻击+20%	平原
1072	0								200																					24803				步兵攻击+20%	山地
1073	2								200																					24806				骑兵攻击+20%	平原
2000	0								200																					24803				步兵攻击+20%	山地
2001	2								200																					24806				骑兵攻击+20%	平原
2002	0								200																					24803				步兵攻击+20%	山地
2003	2								200																					24806				骑兵攻击+20%	平原
2004	0								200																					24803				步兵攻击+20%	山地
2005	0								200																					24803				步兵攻击+20%	山地
2006	0								200																					24803				步兵攻击+20%	山地
2007	0								200																					24803				步兵攻击+20%	山地
2008	2								200																					24806				骑兵攻击+20%	平原
2009	0								200																					24803				步兵攻击+20%	山地
2010	2								200																					24806				骑兵攻击+20%	平原
2011	2								200																					24806				骑兵攻击+20%	平原
3000	2								200																					24806				骑兵攻击+20%	平原
3001	2								200																					24806				骑兵攻击+20%	平原
3002	2								200																					24806				骑兵攻击+20%	平原
3003	2								200																					24806				骑兵攻击+20%	平原
3004	2								200																					24806				骑兵攻击+20%	平原
3005	2								200																					24806				骑兵攻击+20%	平原
3006	2								200																					24806				骑兵攻击+20%	平原
3007	2								200																					24806				骑兵攻击+20%	平原
3008	2								200																					24806				骑兵攻击+20%	平原
3009	2								200																					24806				骑兵攻击+20%	平原
3010	0								200																					24803				步兵攻击+20%	山地
