itemid	abstractid	ÊýÁ¿
7600	20001	200
7601	20001	500
7602	20001	1000
7603	20001	1500
7604	20001	2500
7605	20002	200
7606	20002	500
7607	20002	1000
7608	20002	1500
7609	20002	2500
7610	20003	200
7611	20003	500
7612	20003	1000
7613	20003	1500
7614	20003	2500
7615	20004	200
7616	20004	500
7617	20004	1000
7618	20004	1500
7619	20004	2500
7620	20005	200
7621	20005	500
7622	20005	1000
7623	20005	1500
7624	20005	2500
7625	20006	200
7626	20006	500
7627	20006	1000
7628	20006	1500
7629	20006	2500
7630	20007	200
7631	20007	500
7632	20007	1000
7633	20007	1500
7634	20007	2500
7635	20008	200
7636	20008	500
7637	20008	1000
7638	20008	1500
7639	20008	2500
7640	20009	200
7641	20009	500
7642	20009	1000
7643	20009	1500
7644	20009	2500
7645	20010	200
7646	20010	500
7647	20010	1000
7648	20010	1500
7649	20010	2500
7650	20011	200
7651	20011	500
7652	20011	1000
7653	20011	1500
7654	20011	2500
7655	20012	200
7656	20012	500
7657	20012	1000
7658	20012	1500
7659	20012	2500
7660	20013	200
7661	20013	500
7662	20013	1000
7663	20013	1500
7664	20013	2500
7665	20014	200
7666	20014	500
7667	20014	1000
7668	20014	1500
7669	20014	2500
7670	20015	200
7671	20015	500
7672	20015	1000
7673	20015	1500
7674	20015	2500
7675	20016	200
7676	20016	500
7677	20016	1000
7678	20016	1500
7679	20016	2500
7680	20017	200
7681	20017	500
7682	20017	1000
7683	20017	1500
7684	20017	2500
7685	20018	200
7686	20018	500
7687	20018	1000
7688	20018	1500
7689	20018	2500
7690	20019	200
7691	20019	500
7692	20019	1000
7693	20019	1500
7694	20019	2500
7695	20020	200
7696	20020	500
7697	20020	1000
7698	20020	1500
7699	20020	2500
7700	20021	200
7701	20021	500
7702	20021	1000
7703	20021	1500
7704	20021	2500
7705	20022	200
7706	20022	500
7707	20022	1000
7708	20022	1500
7709	20022	2500
7710	20500	200
7711	20500	500
7712	20500	1000
7713	20500	1500
7714	20500	2500
7715	20501	200
7716	20501	500
7717	20501	1000
7718	20501	1500
7719	20501	2500
7720	20502	200
7721	20502	500
7722	20502	1000
7723	20502	1500
7724	20502	2500
7725	20503	200
7726	20503	500
7727	20503	1000
7728	20503	1500
7729	20503	2500
7730	20504	200
7731	20504	500
7732	20504	1000
7733	20504	1500
7734	20504	2500
7735	20505	200
7736	20505	500
7737	20505	1000
7738	20505	1500
7739	20505	2500
7740	20506	200
7741	20506	500
7742	20506	1000
7743	20506	1500
7744	20506	2500
7745	20507	200
7746	20507	500
7747	20507	1000
7748	20507	1500
7749	20507	2500
7750	20508	200
7751	20508	500
7752	20508	1000
7753	20508	1500
7754	20508	2500
7755	20509	200
7756	20509	500
7757	20509	1000
7758	20509	1500
7759	20509	2500
7760	20510	200
7761	20510	500
7762	20510	1000
7763	20510	1500
7764	20510	2500
7765	20023	200
7766	20023	500
7767	20023	1000
7768	20023	1500
7769	20023	2500
6133	20504	500
6141	20004	1000
7770	20015	100
