id	lv	工坊lv	消耗铜钱	官职	消耗道具	name	兵种	abstractid	攻速	CD缩减	移动速度	护甲值	魔甲	格挡几率	攻击力	生命值	暴击率	闪避率	攻城攻击力	攻击距离	命中率	穿透	法术穿透	潜行	反潜行	视野	无视闪避	反弹物伤	反弹法伤	物理吸血	法术吸血	暴击剑	溅射	物伤加深	法伤加深	equipid	物伤加成	法伤加成	回复效果
30000	0	0	300			青铜铸造术	-1	20007																															
30000	1	1	600				-1	20007							10	10																							
30000	2	2	900				-1	20007							20	20																							
30000	3	3	1200				-1	20007							30	30																							
30000	4	4	1500				-1	20007							40	40																							
30000	5	5	1800				-1	20007							50	50																							
30000	6	6	2100				-1	20007							60	60																							
30000	7	7	2400				-1	20007							70	70																							
30000	8	8	2700				-1	20007							80	80																							
30000	9	9	3000				-1	20007							90	90																							
30000	10	10	3300				-1	20007							100	100																							
30000	11	11	3600				-1	20007							110	110																							
30000	12	12	3900				-1	20007							120	120																							
30000	13	13	4200				-1	20007							130	130																							
30000	14	14	4500				-1	20007							140	140																							
30000	15	15	4800				-1	20007							150	150																							
30000	16	16	5100				-1	20007							160	160																							
30000	17	17	5400				-1	20007							170	170																							
30000	18	18	5700				-1	20007							180	180																							
30000	19	19	6000				-1	20007							190	190																							
30000	20	20	0				-1	20007							200	200																							
30001	0	20	6000			韧性铸铁法	-1	20008|20501																															
30001	1	21	6600				-1	20008|20501				10				10																							
30001	2	22	7200				-1	20008|20501				20				20																							
30001	3	23	7800				-1	20008|20501				30				30																							
30001	4	24	8400				-1	20008|20501				40				40																							
30001	5	25	9000				-1	20008|20501				50				50																							
30001	6	26	9600				-1	20008|20501				60				60																							
30001	7	27	10200				-1	20008|20501				70				70																							
30001	8	28	10800				-1	20008|20501				80				80																							
30001	9	29	11400				-1	20008|20501				90				90																							
30001	10	30	12000				-1	20008|20501				100				100																							
30001	11	31	12600				-1	20008|20501				110				110																							
30001	12	32	13200				-1	20008|20501				120				120																							
30001	13	33	13800				-1	20008|20501				130				130																							
30001	14	34	14400				-1	20008|20501				140				140																							
30001	15	35	0				-1	20008|20501				150				150																							
30002	0	35	15000			坩埚炼铁法	-1	20009|20504																															
30002	1	36	18000				-1	20009|20504				10				10																							
30002	2	37	21000				-1	20009|20504				20				20																							
30002	3	38	24000				-1	20009|20504				30				30																							
30002	4	39	27000				-1	20009|20504				40				40																							
30002	5	40	30000				-1	20009|20504				50				50																							
30002	6	41	33000				-1	20009|20504				60				60																							
30002	7	42	36000				-1	20009|20504				70				70																							
30002	8	43	39000				-1	20009|20504				80				80																							
30002	9	44	42000				-1	20009|20504				90				90																							
30002	10	45	45000				-1	20009|20504				100				100																							
30002	11	46	48000				-1	20009|20504				110				110																							
30002	12	47	51000				-1	20009|20504				120				120																							
30002	13	48	54000				-1	20009|20504				130				130																							
30002	14	49	57000				-1	20009|20504				140				140																							
30002	15	50	0				-1	20009|20504				150				150																							
30003	0	50	60000			炒钢法	-1	20011|20010																															
30003	1	51	63000				-1	20011|20010				15				15																							
30003	2	52	66000				-1	20011|20010				30				30																							
30003	3	53	69000				-1	20011|20010				45				45																							
30003	4	54	72000				-1	20011|20010				60				60																							
30003	5	55	75000				-1	20011|20010				75				75																							
30003	6	56	78000				-1	20011|20010				90				90																							
30003	7	57	81000				-1	20011|20010				105				105																							
30003	8	58	84000				-1	20011|20010				120				120																							
30003	9	59	87000				-1	20011|20010				135				135																							
30003	10	60	0				-1	20011|20010				150				150																							
30004	0	60	90000			百炼钢秘术	-1	20503|20012																															
30004	1	61	105000				-1	20503|20012				10				10																							
30004	2	62	120000				-1	20503|20012				20				20																							
30004	3	63	135000				-1	20503|20012				30				30																							
30004	4	64	150000				-1	20503|20012				40				40																							
30004	5	65	165000				-1	20503|20012				50				50																							
30004	6	66	180000				-1	20503|20012				60				60																							
30004	7	67	195000				-1	20503|20012				70				70																							
30004	8	68	210000				-1	20503|20012				80				80																							
30004	9	69	225000				-1	20503|20012				90				90																							
30004	10	70	240000				-1	20503|20012				100				100																							
30004	11	71	255000				-1	20503|20012				110				110																							
30004	12	72	270000				-1	20503|20012				120				120																							
30004	13	73	285000				-1	20503|20012				130				130																							
30004	14	74	300000				-1	20503|20012				140				140																							
30004	15	75	0				-1	20503|20012				150				150																							
30005	0	20	6000			黑山铁甲	-1	20501																															
30005	1	21	6600				-1	20501										30																					
30005	2	22	7200				-1	20501										60																					
30005	3	23	7800				-1	20501										90																					
30005	4	24	8400				-1	20501										120																					
30005	5	25	9000				-1	20501										150																					
30005	6	26	9600				-1	20501							10			180																					
30005	7	27	10200				-1	20501							20			210																					
30005	8	28	10800				-1	20501							30			240																					
30005	9	29	11400				-1	20501							40			270																					
30005	10	30	12000				-1	20501							50			300																					
30005	11	31	12600				-1	20501							60			330																					
30005	12	32	13200				-1	20501							70			360																					
30005	13	33	13800				-1	20501							80			390																					
30005	14	34	14400				-1	20501							90			420																					
30005	15	35	0				-1	20501							100			500																					
30006	0	40	15000			玄铁甲	-1	20504										0																					
30006	1	41	18000				-1	20504										30																					
30006	2	42	21000				-1	20504										60																					
30006	3	43	24000				-1	20504										90																					
30006	4	44	27000				-1	20504										120																					
30006	5	45	30000				-1	20504										150																					
30006	6	46	33000				-1	20504							10			180																					
30006	7	47	36000				-1	20504							20			210																					
30006	8	48	39000				-1	20504							30			240																					
30006	9	49	42000				-1	20504							40			270																					
30006	10	50	45000				-1	20504							50			300																					
30006	11	51	48000				-1	20504							60			330																					
30006	12	52	51000				-1	20504							70			360																					
30006	13	53	54000				-1	20504							80			390																					
30006	14	54	57000				-1	20504							90			420																					
30006	15	80	3000000				-1	20504							100			500																					
30006	16	80	0				-1	20504							100			750																					
30007	0	55	60000			明光铠	-1	20010										0																					
30007	1	56	63000				-1	20010										30																					
30007	2	57	66000				-1	20010										60																					
30007	3	58	69000				-1	20010										90																					
30007	4	59	72000				-1	20010										120																					
30007	5	60	75000				-1	20010										150																					
30007	6	61	78000				-1	20010							10			180																					
30007	7	62	81000				-1	20010							20			210																					
30007	8	63	84000				-1	20010							30			240																					
30007	9	64	87000				-1	20010							40			270																					
30007	10	65	90000				-1	20010							50			300																					
30007	11	66	105000				-1	20010							60			330																					
30007	12	67	120000				-1	20010							70			360																					
30007	13	68	135000				-1	20010							80			390																					
30007	14	69	150000				-1	20010							90			420																					
30007	15	80	3000000				-1	20010							100			500																					
30007	16	80	5000000	21	7556|50		-1	20010							100			500																		24320			
30007	17	80	0				-1	20010							100			500																		24321			
30008	0	70	165000			黑光铠	-1	20012										0																					
30008	1	71	180000				-1	20012							10			50																					
30008	2	72	195000				-1	20012							20			100																					
30008	3	73	210000				-1	20012							30			150																					
30008	4	74	225000				-1	20012							40			200																					
30008	5	75	240000				-1	20012							50			250																					
30008	6	76	255000				-1	20012							60			300																					
30008	7	77	270000				-1	20012							70			350																					
30008	8	78	285000				-1	20012							80			400																					
30008	9	79	300000				-1	20012							90			450																					
30008	10	80	7000000	23	7556|250		-1	20012							100			500																					
30008	11	80	7500000	23	7556|300		-1	20012							100			500																		24374			
30008	12	80	8000000	23	7556|350		-1	20012							100			500																		24375			
30008	13	80	0				-1	20012							100			500																		24376			
30009	0	55	60000			虎头刀	-1	20010																															
30009	1	56	63000				-1	20010	10																														
30009	2	57	66000				-1	20010	20																														
30009	3	58	69000				-1	20010	30																														
30009	4	59	72000				-1	20010	40																														
30009	5	60	75000				-1	20010	50																														
30009	6	61	78000				-1	20010	50								50																						
30009	7	62	81000				-1	20010	50								100																						
30009	8	63	84000				-1	20010	50								150																						
30009	9	64	87000				-1	20010	50								200																						
30009	10	65	90000				-1	20010	50								250																						
30009	11	66	105000				-1	20010	50								300																						
30009	12	67	120000				-1	20010	50								350																						
30009	13	68	135000				-1	20010	50								400																						
30009	14	69	150000				-1	20010	50								450																						
30009	15	80	5500000	22	7556|100		-1	20010	50								500																						
30009	16	80	6000000	22	7556|150		-1	20010	50								500																			24322			
30009	17	80	0				-1	20010	50								500																			24323			
30010	0	70	165000			百炼狼牙棒	-1	20012																															
30010	1	71	180000				-1	20012	10								50																						
30010	2	72	195000				-1	20012	20								100																						
30010	3	73	210000				-1	20012	30								150																						
30010	4	74	225000				-1	20012	40								200																						
