id	lv	消耗成长值	add	
21065	0	0	0	农田产量(左列为千分位)
21065	1	10	0	
21065	2	50	0	
21065	3	100	0	
21065	4	1000	0	
21065	5	5000	0	
21065	6	10000	0	
21065	7	30000	0	
21065	8	50000	0	
21065	9	70000	0	
21065	10	100000	0	
21066	0	0	0	林地产量(左列为千分位)
21066	1	10	0	
21066	2	50	0	
21066	3	100	0	
21066	4	1000	0	
21066	5	5000	0	
21066	6	10000	0	
21066	7	30000	0	
21066	8	50000	0	
21066	9	70000	0	
21066	10	100000	0	
21067	0	0	0	牧场产量(左列为千分位)
21067	1	10	0	
21067	2	50	0	
21067	3	100	0	
21067	4	1000	0	
21067	5	5000	0	
21067	6	10000	0	
21067	7	30000	0	
21067	8	50000	0	
21067	9	70000	0	
21067	10	100000	0	
21068	0	0	0	矿山产量(左列为千分位)
21068	1	10	0	
21068	2	50	0	
21068	3	100	0	
21068	4	1000	0	
21068	5	5000	0	
21068	6	10000	0	
21068	7	30000	0	
21068	8	50000	0	
21068	9	70000	0	
21068	10	100000	0	
21069	0	0	0	提升征收暴击率(左列为千分位)
21069	1	10	0	
21069	2	50	0	
21069	3	100	0	
21069	4	1000	0	
21069	5	5000	0	
21069	6	10000	0	
21069	7	30000	0	
21069	8	50000	0	
21069	9	70000	0	
21069	10	100000	0	
21070	0	0	0	提升征收暴击倍数(左列为千分位)
21070	1	10	0	
21070	2	50	0	
21070	3	100	0	
21070	4	1000	0	
21070	5	5000	0	
21070	6	10000	0	
21070	7	30000	0	
21070	8	50000	0	
21070	9	70000	0	
21070	10	100000	0	
21071	0	0	0	提升招募加速率(左列为千分位)
21071	1	10	0	
21071	2	50	0	
21071	3	100	0	
21071	4	1000	0	
21071	5	5000	0	
21071	6	10000	0	
21071	7	30000	0	
21071	8	50000	0	
21071	9	70000	0	
21071	10	100000	0	
21072	0	0	0	提升招募加速倍数(左列为千分位)
21072	1	10	0	
21072	2	50	0	
21072	3	100	0	
21072	4	1000	0	
21072	5	5000	0	
21072	6	10000	0	
21072	7	30000	0	
21072	8	50000	0	
21072	9	70000	0	
21072	10	100000	0	
21073	0	0	0	提升祭祀暴击率(左列为千分位)
21073	1	10	0	
21073	2	50	0	
21073	3	100	0	
21073	4	1000	0	
21073	5	5000	0	
21073	6	10000	0	
21073	7	30000	0	
21073	8	50000	0	
21073	9	70000	0	
21073	10	100000	0	
21074	0	0	0	提升祭祀暴击倍数(左列为千分位)
21074	1	10	0	
21074	2	50	0	
21074	3	100	0	
21074	4	1000	0	
21074	5	5000	0	
21074	6	10000	0	
21074	7	30000	0	
21074	8	50000	0	
21074	9	70000	0	
21074	10	100000	0	
