viplv	½±Àø1	½±Àø2	½±Àø3	½±Àø4	½±Àø5
1	10|7527|0|10	10|7643|0|1	8|0|0|50	10|7526|0|1	10|7520|0|1
2	10|7527|0|20	10|7613|0|1	8|0|0|100	10|7526|0|1	10|7520|0|1
3	10|7525|0|1	10|7618|0|1	8|0|0|200	10|7526|0|1	10|7520|0|1
4	10|6135|0|1	10|7623|0|1	8|0|0|300	10|7526|0|1	10|7520|0|1
5	10|6136|0|1	10|7698|0|1	8|0|0|400	10|7526|0|1	10|7520|0|1
6	10|7524|0|1	10|7763|0|1	8|0|0|500	10|7526|0|1	10|7520|0|1
7	10|6137|0|1	10|7648|0|1	8|0|0|600	10|7526|0|1	10|7520|0|1
8	10|6139|0|1	10|7653|0|1	8|0|0|700	10|7526|0|1	10|7520|0|1
9	10|7525|0|1	10|7768|0|1	8|0|0|800	10|7526|0|1	10|7520|0|1
10	10|7535|0|50	10|7628|0|1	8|0|0|900	10|7526|0|1	10|7520|0|1
11	10|7533|0|50	10|7693|0|1	8|0|0|1000	10|7526|0|1	10|7520|0|1
12	10|7524|0|1	10|7728|0|1	8|0|0|1100	10|7526|0|1	10|7520|0|1
13	10|7532|0|1	10|7658|0|1	8|0|0|1200	10|7526|0|1	10|7520|0|1
14	10|7534|0|25	10|7683|0|1	8|0|0|1300	10|7526|0|1	10|7520|0|1
15	10|7524|0|1	10|7688|0|1	8|0|0|1400	10|7526|0|1	10|7520|0|1
