abstractId	BuffId	触发概率	类型	Buff说明
20091	200	1250	1	增加5%攻击力
20091	201	500	1	增加10%攻击力
20091	202	500	1	增加20%攻击力
20091	203	100	1	增加50%攻击力
20091	204	25	1	增加100%攻击力
20091	205	167	1	减少10%攻击力
20091	210	1250	1	每5秒增加5士气
20091	211	500	1	每5秒增加10士气
20091	212	500	1	每5秒增加15士气
20091	213	100	1	每5秒增加20士气
20091	214	25	1	每5秒增加30士气
20091	215	167	1	每5秒减少5士气
20091	220	1250	1	增加5%攻击速度
20091	221	500	1	增加10%攻击速度
20091	222	500	1	增加20%攻击速度
20091	223	100	1	增加50%攻击速度
20091	224	25	1	增加100%攻击速度
20091	225	166	1	减少10%攻击速度
20091	230	1250	1	增加5%物理穿透
20091	231	500	1	增加10%物理穿透
20091	232	500	1	增加20%物理穿透
20091	233	100	1	增加50%物理穿透
20091	234	25	1	增加100%物理穿透
20092	240	1250	2	增加5%护甲
20092	241	500	2	增加10%护甲
20092	242	500	2	增加20%护甲
20092	243	100	2	增加50%护甲
20092	244	25	2	增加100%护甲
20092	245	250	2	减少10%护甲
20092	250	1250	2	增加5%生命上限
20092	251	500	2	增加10%生命上限
20092	252	500	2	增加20%生命上限
20092	253	100	2	增加50%生命上限
20092	254	25	2	增加100%生命上限
20092	255	250	2	减少10%生命上限
20092	260	1250	2	增加5%物理反弹
20092	261	500	2	增加10%物理反弹
20092	262	500	2	增加20%物理反弹
20092	263	100	2	增加50%物理反弹
20092	264	25	2	增加100%物理反弹
20092	270	1250	2	增加5%法术反弹
20092	271	500	2	增加10%法术反弹
20092	272	500	2	增加20%法术反弹
20092	273	100	2	增加50%法术反弹
20092	274	25	2	增加100%法术反弹
20090	280	1666	3	增加5%移动速度
20090	281	666	3	增加10%移动速度
20090	282	666	3	增加15%移动速度
20090	283	133	3	增加20%移动速度
20090	284	33	3	增加25%移动速度
20090	285	508	3	减少10%移动速度
20090	290	1666	3	增加1%物理吸血
20090	291	666	3	增加3%物理吸血
20090	292	666	3	增加5%物理吸血
20090	293	133	3	增加7%物理吸血
20090	294	33	3	增加10%物理吸血
20090	300	1666	3	增加5%法术吸血
20090	301	666	3	增加10%法术吸血
20090	302	666	3	增加20%法术吸血
20090	303	133	3	增加50%法术吸血
20090	304	33	3	增加100%法术吸血
