id	title1	title2	Name	icon	说明	HyperText	Steps	成就	脚本	备注
1	副本	征战天下	旗开得胜	T_Icon_ItemBox_White.img	赢得1场征战天下副本的胜利	accomplish/A_qikaidesheng.cfg	1	10	A_zhengzhantianxia.cfg	0
2	副本	征战天下	长驱直入	T_Icon_ItemBox_White.img	赢得10场征战天下副本的胜利	accomplish/A_changquzhiru.cfg	10	10	A_zhengzhantianxia.cfg	0
3	副本	征战天下	势如破竹	T_Icon_ItemBox_White.img	赢得20场征战天下副本的胜利	accomplish/A_changquzhiru.cfg	20	20	A_zhengzhantianxia.cfg	0
4	副本	征战天下	扫清六合	T_Icon_ItemBox_White.img	赢得30场征战天下副本的胜利	accomplish/A_changquzhiru.cfg	30	50	A_zhengzhantianxia.cfg	0
5	副本	征战天下	剑指天下	T_Icon_ItemBox_White.img	赢得40场征战天下副本的胜利	accomplish/A_changquzhiru.cfg	40	80	A_zhengzhantianxia.cfg	0
6	副本	征战天下	出师未捷	T_Icon_ItemBox_White.img	第一次在征战天下副本中失败		1	10	A_mingjiangworldpass.cfg	1
7	副本	征战天下	节节败退	T_Icon_ItemBox_White.img	在征战天下中失败3次		3	10	A_mingjiangworldpass.cfg	1
8	副本	征战天下	无力回天	T_Icon_ItemBox_White.img	在征战天下中失败5次		5	20	A_mingjiangworldpass.cfg	1
10	副本	征战天下	并州攻略	T_Icon_ItemBox_White.img	通关并州的所有城池副本		2	20	A_zhengzhantianxia_zhou.cfg	2|1000
11	副本	征战天下	青州攻略	T_Icon_ItemBox_White.img	通关青州的所有城池副本		3	30	A_zhengzhantianxia_zhou.cfg	2|1001
19	副本	征战天下	荆北攻略	T_Icon_ItemBox_White.img	通关荆北的所有城池副本		4	40	A_zhengzhantianxia_zhou.cfg	2|1002
20	副本	征战天下	荆南攻略	T_Icon_ItemBox_White.img	通关荆南的所有城池副本		2	20	A_zhengzhantianxia_zhou.cfg	2|1003
21	副本	征战天下	益州攻略	T_Icon_ItemBox_White.img	通关益州的所有城池副本		6	60	A_zhengzhantianxia_zhou.cfg	2|1004
23	副本	征战天下	扬州攻略	T_Icon_ItemBox_White.img	通关扬州的所有城池副本		9	90	A_zhengzhantianxia_zhou.cfg	2|1005
25	副本	征战天下	雍州攻略	T_Icon_ItemBox_White.img	通关雍州的所有城池副本		4	40	A_zhengzhantianxia_zhou.cfg	2|1006
26	副本	征战天下	司隶攻略	T_Icon_ItemBox_White.img	通关司隶的所有城池副本		3	30	A_zhengzhantianxia_zhou.cfg	2|1007
27	副本	征战天下	雄才伟略	T_Icon_ItemBox_White.img	征战天下所有副本达到3星评价		34	100	A_zhengzhantianxia_star.cfg	3
28	副本	名将之路	广宗战张角	UI_Chenjiu_Icon1.img	通过名将之路广宗战张角		1	10	A_mingjiangfinish.cfg	2000
29	副本	名将之路	汴水战徐荣	UI_Chenjiu_Icon1.img	通过名将之路汴水战徐荣		1	10	A_mingjiangfinish.cfg	2001
30	副本	名将之路	虎牢战吕布	UI_Chenjiu_Icon1.img	通过名将之路虎牢战吕布		1	10	A_mingjiangfinish.cfg	2002
31	副本	名将之路	南阳战纪灵	UI_Chenjiu_Icon1.img	通过名将之路南阳战纪灵		1	10	A_mingjiangfinish.cfg	2003
32	副本	名将之路	宛城战张绣	UI_Chenjiu_Icon1.img	通过名将之路宛城战张绣		1	10	A_mingjiangfinish.cfg	2004
33	副本	名将之路	白马斩颜良	UI_Chenjiu_Icon1.img	通过名将之路白马斩颜良		1	10	A_mingjiangfinish.cfg	2005
34	副本	名将之路	延津破文丑	UI_Chenjiu_Icon1.img	通过名将之路延津破文丑		1	10	A_mingjiangfinish.cfg	2006
35	副本	名将之路	凉州战马腾	UI_Chenjiu_Icon1.img	通过名将之路凉州战马腾		1	10	A_mingjiangfinish.cfg	2007
36	副本	名将之路	濮阳破吕布	UI_Chenjiu_Icon1.img	通过名将之路濮阳破吕布		1	10	A_mingjiangfinish.cfg	2008
37	副本	名将之路	关中呈武勇	UI_Chenjiu_Icon1.img	通过名将之路关中呈武勇		1	10	A_mingjiangfinish.cfg	2009
38	副本	名将之路	荆州夸奇谋	UI_Chenjiu_Icon1.img	通过名将之路荆州夸奇谋		1	10	A_mingjiangfinish.cfg	2010
39	副本	名将之路	三雄争禹鼎	UI_Chenjiu_Icon1.img	通过名将之路三雄争禹鼎		1	10	A_mingjiangfinish.cfg	2011
40	副本	名将之路	折戟名将	UI_Chenjiu_Icon1.img	名将之路副本失败3次		3	10	A_mingjiangworldpass.cfg	
41	副本	名将之路	血战名将	UI_Chenjiu_Icon1.img	通关名将之路50次		50	30	A_mingjiangworldpass.cfg	
42	副本	名将之路	名将功成	UI_Chenjiu_Icon1.img	通关名将之路150次		150	50	A_mingjiangworldpass.cfg	
43	副本	世界战场	初识三国	UI_Chenjiu_Icon1.img	参加一次世界战场活动		1	10	A_mingjiangworldpass.cfg	
44	副本	世界战场	混战三国	UI_Chenjiu_Icon1.img	参加10次数世界战场活动		10	30	A_mingjiangworldpass.cfg	
45	副本	世界战场	三国老将	UI_Chenjiu_Icon1.img	参加50次世界战场活动		50	50	A_mingjiangworldpass.cfg	
46	副本	世界战场	给人点赞	UI_Chenjiu_Icon1.img	给别人点赞10次		10	10	A_guozhanachieve.cfg	10|22647|0|0
47	副本	世界战场	只会点赞	UI_Chenjiu_Icon1.img	给别人点赞50次		50	20	A_guozhanachieve.cfg	50|22647|0|0
48	副本	世界战场	点赞高手	UI_Chenjiu_Icon1.img	给别人点赞100次		100	30	A_guozhanachieve.cfg	100|22647|0|0
49	副本	世界战场	被人点赞	UI_Chenjiu_Icon1.img	获得点赞10次		10	10	A_guozhanachieve.cfg	10|22640|0|0
50	副本	世界战场	集赞高手	UI_Chenjiu_Icon1.img	获得点赞50次		50	20	A_guozhanachieve.cfg	50|22640|0|0
51	副本	世界战场	众人中心	UI_Chenjiu_Icon1.img	获得点赞100次		100	30	A_guozhanachieve.cfg	100|22640|0|0
52	副本	世界战场	万众瞩目	UI_Chenjiu_Icon1.img	获得点赞500次		255	50	A_guozhanachieve.cfg	500|22640|0|0
200	国战	战场	拔得头筹	T_Icon_ItemBox_White.img	赢得1场国战中攻城战场胜利		1	10	A_GuozhanAttackVictoryTimes.cfg	0
201	国战	战场	战争狂人	T_Icon_ItemBox_White.img	赢得80场国战中攻城战场胜利		80	50	A_GuozhanAttackVictoryTimes.cfg	0
202	国战	战场	一鼓作气	T_Icon_ItemBox_White.img	所属国家成功占领1座城池		1	10	A_BattleGround.cfg	1
203	国战	战场	步步为营	T_Icon_ItemBox_White.img	所属国家成功占领10座城池		10	20	A_BattleGround.cfg	1
204	国战	战场	攻城略地	T_Icon_ItemBox_White.img	所属国家成功占领30座城池		30	30	A_BattleGround.cfg	1
190	国战	战场	偏霸一方	T_Icon_ItemBox_White.img	所属国家成功占领60座城池		60	40	A_BattleGround.cfg	1
191	国战	战场	虎视中原	T_Icon_ItemBox_White.img	所属国家成功占领100座城池		100	50	A_BattleGround.cfg	1
192	国战	战场	三分有二	T_Icon_ItemBox_White.img	所属国家成功占领150座城池		150	60	A_BattleGround.cfg	1
193	国战	战场	大局已定	T_Icon_ItemBox_White.img	所属国家成功占领200座城池		200	70	A_BattleGround.cfg	1
