level	¼õÕÐ±øCD
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
40	40
41	40.5
42	41
43	41.5
44	42
45	42.5
46	43
47	43.5
48	44
49	44.5
50	45
51	45.5
52	46
53	46.5
54	47
55	47.5
56	48
57	48.5
58	49
59	49.5
60	50
61	50.5
62	51
63	51.5
64	52
65	52.5
66	53
67	53.5
68	54
69	54.5
70	55
71	55.5
72	56
73	56.5
74	57
75	57.5
76	58
77	58.5
78	59
79	59.5
80	60
