id	类型	数量	商店价格	name	特卖标识	刷新权重	TAB_VERSION									
0	10	7534|0|20	5000	至尊精炼石	1	50										
1	10	7534|0|1	400	至尊精炼石	0	50										
2	10	7524|0|1	3000	将卡轮回符	0	50										
3	10	7525|0|1	3000	装备轮回符	0	50										
4	10	6144|0|1	1000	一星将卡材料包	0	50										
5	10	6145|0|1	2000	二星将卡材料包	0	40										
6	10	6146|0|1	3000	三星将卡材料包	0	30										
7	10	6164|0|1	4000	四星将卡材料包	0	20										
8	10	6165|0|1	100000	五星将卡材料包	0	1										
9	10	3443|0|1	500	八卦石.水（四级）	0	50										
10	10	3444|0|1	2500	八卦石.水（五级）	0	20										
11	10	3445|0|1	12500	八卦石.水（六级）	0	10										
12	10	3453|0|1	500	八卦石.火（四级）	0	50										
13	10	3454|0|1	2500	八卦石.火（五级）	0	20										
14	10	3455|0|1	12500	八卦石.火（六级）	0	10										
15	10	3463|0|1	500	八卦石.山（四级）	0	50										
16	10	3464|0|1	2500	八卦石.山（五级）	0	20										
17	10	3465|0|1	12500	八卦石.山（六级）	0	10										
18	10	3473|0|1	500	八卦石.泽（四级）	0	50										
19	10	3474|0|1	2500	八卦石.泽（五级）	0	20										
20	10	3475|0|1	12500	八卦石.泽（六级）	0	10										
21	10	6137|0|1	1000	战场犒赏符	0	100										
22	10	6216|0|1	30000	仙人宝箱	0	5										
23	10	6708|0|1	10	高级国战宝箱	0	50										
24	10	6709|0|1	20	至尊国战宝箱	0	50										
25	10	7527|0|1	2	奋进鼓	0	100										
26	10	6118|0|1	10	国家贡献宝箱	0	50										
27	10	6119|0|1	50	国家贡献宝箱	0	50										
28	10	7536|0|1	18000	一折精炼符	0	5										
29	10	7537|0|1	15000	二折精炼符	0	10										
30	10	7538|0|1	13000	三折精炼符	0	15										
31	10	7539|0|1	11000	四折精炼符	0	20										
32	10	7540|0|1	9000	五折精炼符	0	25										
33	10	7541|0|1	7200	六折精炼符	0	30										
34	10	7542|0|1	5400	七折精炼符	0	35										
35	10	7543|0|1	3600	八折精炼符	0	40										
36	10	7544|0|1	1800	九折精炼符	0	45										
																
																
																
