id	名称	icon0	icon1	icon2	icon3	icon4	icon5
1000	并州	UI_Country_BingZhou_N.img	UI_Country_BingZhou_T.img	UI_Country_BingZhou_C.img	UI_Country_BingZhou_D.img	UI_Crops_Zhou_BingZhou_Normal.img	UI_Crops_Zhou_BingZhou_Click.img
1001	青州	UI_Country_QingZhou_N.img	UI_Country_QingZhou_T.img	UI_Country_QingZhou_C.img	UI_Country_QingZhou_D.img	UI_Crops_Zhou_QingZhou_Normal.img	UI_Crops_Zhou_QingZhou_Click.img
1002	冀州	UI_Country_JiZhou_N.img	UI_Country_JiZhou_T.img	UI_Country_JiZhou_C.img	UI_Country_JiZhou_D.img	UI_Crops_Zhou_JiZhou_Normal.img	UI_Crops_Zhou_JiZhou_Click.img
1003	徐州	UI_Country_XuZhou_N.img	UI_Country_XuZhou_T.img	UI_Country_XuZhou_C.img	UI_Country_XuZhou_D.img	UI_Crops_Zhou_XuZhou_Normal.img	UI_Crops_Zhou_XuZhou_Click.img
1004	凉州	UI_Country_LiangZhou_N.img	UI_Country_LiangZhou_T.img	UI_Country_LiangZhou_C.img	UI_Country_LiangZhou_D.img	UI_Crops_Zhou_LiangZhou_Normal.img	UI_Crops_Zhou_LiangZhou_Click.img
1005	豫州	UI_Country_YuZhou_N.img	UI_Country_YuZhou_T.img	UI_Country_YuZhou_C.img	UI_Country_YuZhou_D.img	UI_Crops_Zhou_YuZhou_Normal.img	UI_Crops_Zhou_YuZhou_Click.img
1006	兖州	UI_Country_YanZhou_N.img	UI_Country_YanZhou_T.img	UI_Country_YanZhou_C.img	UI_Country_YanZhou_D.img	UI_Crops_Zhou_YanZhou_Normal.img	UI_Crops_Zhou_YanZhou_Click.img
1007	幽州	UI_Country_YouZhou_N.img	UI_Country_YouZhou_T.img	UI_Country_YouZhou_C.img	UI_Country_YouZhou_D.img	UI_Crops_Zhou_YouZhou_Normal.img	UI_Crops_Zhou_YouZhou_Click.img
1008	荆州北	UI_Country_JingZhouBei_N.img	UI_Country_JingZhouBei_T.img	UI_Country_JingZhouBei_C.img	UI_Country_JingZhouBei_D.img	UI_Crops_Zhou_JingZhouBei_Normal.img	UI_Crops_Zhou_JingZhouBei_Click.img
1009	荆州南	UI_Country_JingZhouNan_N.img	UI_Country_JingZhouNan_T.img	UI_Country_JingZhouNan_C.img	UI_Country_JingZhouNan_D.img	UI_Crops_Zhou_JingZhouNan_Normal.img	UI_Crops_Zhou_JingZhouNan_Click.img
1010	益州北	UI_Country_YiZhouBei_N.img	UI_Country_YiZhouBei_T.img	UI_Country_YiZhouBei_C.img	UI_Country_YiZhouBei_D.img	UI_Crops_Zhou_YiZhouBei_Normal.img	UI_Crops_Zhou_YiZhouBei_Click.img
1011	扬州北	UI_Country_YangZhouBei_N.img	UI_Country_YangZhouBei_T.img	UI_Country_YangZhouBei_C.img	UI_Country_YangZhouBei_D.img	UI_Crops_Zhou_YangZhouBei_Normal.img	UI_Crops_Zhou_YangZhouBei_Click.img
1012	雍州	UI_Country_YongZhou_N.img	UI_Country_YongZhou_T.img	UI_Country_YongZhou_C.img	UI_Country_YongZhou_D.img	UI_Crops_Zhou_YongZhou_Normal.img	UI_Crops_Zhou_YongZhou_Click.img
1013	司州	UI_Country_SiZhou_N.img	UI_Country_SiZhou_T.img	UI_Country_SiZhou_C.img	UI_Country_SiZhou_D.img	UI_Crops_Zhou_SiZhou_Normal.img	UI_Crops_Zhou_SiZhou_Click.img
1014	交州	UI_Country_JiaoZhou_N.img	UI_Country_JiaoZhou_T.img	UI_Country_JiaoZhou_C.img	UI_Country_JiaoZhou_D.img	UI_Crops_Zhou_JiaoZhou_Normal.img	UI_Crops_Zhou_JiaoZhou_Click.img
1015	京兆	UI_Country_JingZhao_N.img	UI_Country_JingZhao_T.img	UI_Country_JingZhao_C.img	UI_Country_JingZhao_D.img	UI_Crops_Zhou_JingZhao_Normal.img	UI_Crops_Zhou_JingZhao_Click.img
1016	南中	UI_Country_NanZhong_N.img	UI_Country_NanZhong_T.img	UI_Country_NanZhong_C.img	UI_Country_NanZhong_D.img	UI_Crops_Zhou_NanZhong_Normal.img	UI_Crops_Zhou_NanZhong_Click.img
1017	平州	UI_Country_PingZhou_N.img	UI_Country_PingZhou_T.img	UI_Country_PingZhou_C.img	UI_Country_PingZhou_D.img	UI_Crops_Zhou_PingZhou_Normal.img	UI_Crops_Zhou_PingZhou_Click.img
1018	扬州南	UI_Country_YangZhouNan_N.img	UI_Country_YangZhouNan_T.img	UI_Country_YangZhouNan_C.img	UI_Country_YangZhouNan_D.img	UI_Crops_Zhou_YangZhouNan_Normal.img	UI_Crops_Zhou_YangZhouNan_Click.img
1019	益州南	UI_Country_YiZhouNan_N.img	UI_Country_YiZhouNan_T.img	UI_Country_YiZhouNan_C.img	UI_Country_YiZhouNan_D.img	UI_Crops_Zhou_YiZhouNan_Normal.img	UI_Crops_Zhou_YiZhouNan_Click.img
