name	³Ç³Ø1	³Ç³Ø2	³Ç³Ø3
UI_Line_Shushi-Yunnan-Jianning	15002	15004	15003
UI_Line_Wan-Bowang	16001	16002	
UI_Line_Pingguo-Anshi	1008	1007	
UI_Line_Anding-Xinping-Jieting	11002	11001	11003
UI_Line_Ruyin-Qiao	7006	7008	
UI_Line_Mangdangshan-Pengcheng	7009	5002	
UI_Line_Pengcheng-Xiaopei	5002	5004	
UI_Line_Xiaopei-Xiapi	5004	5003	
UI_Line_Langya-Xiapi	5001	5003	
UI_Line_Xiaopei-Huaiyin	5004	5006	
UI_Line_Beihai-Langya-Jimo	4003	5001	4002
UI_Line_Donglai-Jimo	4001	4002	
UI_Line_Jimo-Beihai	4002	4003	
UI_Line_Linzi-Beihai	4004	4003	
UI_Line_Jinan-Linzi	4005	4004	
UI_Line_Jinan-Taishan	4005	6001	
UI_Line_Dongping-Taishan	6003	6001	
UI_Line_Dongping-Puyang	6003	6006	
UI_Line_Dingtao-Rencheng	6007	6004	
UI_Line_Chenliu-Dingtao	6008	6007	
UI_Line_Linjiang-Fuling	14007	14008	
UI_Line_Ruyin-Pinge	7006	18003	
UI_Line_Huailing-Shouchun	5005	18002	
UI_Line_Dongping-Rencheng	6003	6004	
UI_Line_Ji-Yijing	2003	18003	
UI_Line_Hejian-Yijing	3001	18003	
UI_Line_Yijing-Nanpi	18003	3002	
UI_Line_Nanpi-Pingyuan	3002	4006	
UI_Line_Julu-Hejian	3006	3001	
UI_Line_Pingyuan-Jinan	4006	4005	
UI_Line_Julu-Jieqiao	3006	3012	
UI_Line_Pingyuan-Jieqiao	4006	3012	
UI_Line_Guantao-Jieqiao	3011	3012	
UI_Line_Jieqiao-Donge	3012	6002	
UI_Line_Runan-Ruyin	7005	7006	
UI_Line_Huaiyin-Huailing	5006	5005	
UI_Line_Huaiyin-Sheyang	5006	5007	
UI_Line_Yandu-Sheyang	5008	5007	
UI_Line_Fuling2-Jianye	18005	18004	
UI_Line_Guangling-Jianye	5009	18004	
UI_Line_Donge-Dongping	6002	6003	
UI_Line_Baima-Liyang	6005	3010	
UI_Line_Ye-Liyang	3009	3010	
UI_Line_Huguan-Ye	8006	3009	
UI_Line_Linshui-Ye	3008	3009	
UI_Line_Linshui-Handan	3008	3007	
UI_Line_Leping-Handan	8001	3007	
UI_Line_Changshan-Leping	3005	8001	
UI_Line_Zhongshan-Changshan	3004	3005	
UI_Line_Lingqiu-Zhongshan	3003	3004	
UI_Line_Daixian-Lingqiu	2005	3003	
UI_Line_Daixian-Zhuoxian	2005	2004	
UI_Line_Ye-Guantao	3009	3011	
UI_Line_Puyang-Dingtao	6006	6007	
UI_Line_Baima-Puyang	6005	6006	
UI_Line_Mayi-Yanmen	8003	8002	
UI_Line_Hejian-Nanpi	3001	3002	
UI_Line_Pinge-Shouchun	18003	18002	
UI_Line_Wan-Xinye	16001	16004	
UI_Line_Xinye-Xiangyang	16004	16006	
UI_Line_Hedong-Tongguan	9003	10003	
UI_Line_Anchang-Xiangyang	16003	16006	
UI_Line_Anyang-Anchang	7007	16003	
UI_Line_Runan-Anyang	7005	7007	
UI_Line_Anyang-Yiyang	7007	7010	
UI_Line_Yiyang-Xiyang	7010	7011	
UI_Line_Suixian-Xiyang	16005	7011	
UI_Line_Xiangyang-Suixian	16006	16005	
UI_Line_Xiyang-Jiangxia	7011	16012	
UI_Line_Maicheng-Suixian	17005	16005	
UI_Line_Maicheng-Jiangling	17005	17004	
UI_Line_Jiangling-Huarong	17004	17006	
UI_Line_Jiangxia-Chibi	16012	17009	
UI_Line_Huarong-Chibi	17006	17009	
UI_Line_Zigui-Yongan	17001	14005	
UI_Line_Yongan-Linjiang	14005	14007	
UI_Line_Linjiang-Jiangzhou	14007	14006	
UI_Line_Jiangzhou-Deyang	14006	14002	
UI_Line_Chengdu-Qianwei	14003	14010	
UI_Line_Deyang-Chengdu	14002	14003	
UI_Line_Anfeng-Xiyang	7012	7011	
UI_Line_Shouchun-Hefei	18002	18001	
UI_Line_Luan-Hefei	18008	18001	
UI_Line_Luan-Anfeng	18008	7012	
UI_Line_Anfeng-Shouchun	7012	18002	
UI_Line_Fuling2-Ruxuwu	18005	18009	
UI_Line_Hefei-Ruxuwu	18001	18009	
UI_Line_Guangling-Hailing	5009	5010	
UI_Line_Sheyang-Hailing	5007	5010	
UI_Line_Ruxuwu-Lujiang	18009	18010	
UI_Line_Lujiang-Chaisang	18010	19006	
UI_Line_Jiangyou-Fuguan	13007	13010	
UI_Line_Xicheng-Shangyong	16010	16011	
