StringId	IconName
#1#	T_BiaoQing_1.img
#2#	T_BiaoQing_2.img
#3#	T_BiaoQing_3.img
#4#	T_BiaoQing_4.img
#5#	T_BiaoQing_5.img
#6#	T_BiaoQing_6.img
#7#	T_BiaoQing_7.img
#8#	T_BiaoQing_8.img
#9#	T_BiaoQing_9.img
#10#	T_BiaoQing_10.img
#11#	T_BiaoQing_11.img
#12#	T_BiaoQing_12.img
#13#	T_BiaoQing_13.img
#14#	T_BiaoQing_14.img
#15#	T_BiaoQing_15.img
#16#	T_BiaoQing_16.img
#17#	T_BiaoQing_17.img
#18#	T_BiaoQing_18.img
#19#	T_BiaoQing_19.img
#20#	T_BiaoQing_20.img
#21#	T_BiaoQing_21.img
#22#	T_BiaoQing_22.img
#23#	T_BiaoQing_23.img
#24#	T_BiaoQing_24.img
#25#	T_BiaoQing_25.img
#26#	T_BiaoQing_26.img
#27#	T_BiaoQing_27.img
#28#	T_BiaoQing_28.img
#29#	T_BiaoQing_29.img
#30#	T_BiaoQing_30.img
#31#	T_BiaoQing_31.img
#32#	T_BiaoQing_32.img
#33#	T_BiaoQing_33.img
