id	sceneid	chapterid	icon	icon高亮	icon灰	name	将领	将领icon	兵种	地形	掉落	说明	时间	玩家数量	结束进度	军令	前置id	需求等级	征伐值	难度	归属	开启双倍所需VIP等级	双倍消耗元宝值	允许补兵次数	多人副本	副本pic	副本描述	重置价格	兵力返还	消耗资金	敌军波数	完成目标
45	50008	0				初试身手				平原	平原地形		1800	1	3	0	0|0	3		0		3	20	5	0			0	1	0		2|0|0
46	20014	0				序幕				平原	平原地形		1800	1	3	0	0|0	0		0		3	20	3	0			0	1	0		
997	50005	1000	T_FB_Name_MaYi.img	T_FB_Name_MaYi.img	T_FB_Name_MaYi.img	马邑惊闻				平原	小股匈奴骑兵突袭马邑，已经围困马邑城门，速速前往救援/n平原地形		1800	1	4	1	0|0	4		0		3	20	1	0	T_FB_Name_Big_MaYi.img		0	1	0		5|0|0
1000	50007	1000	T_FB_Name_JinYang.img	T_FB_Name_JinYang.img	T_FB_Name_JinYang_D.img	晋阳为民				山地	"掉落装备打造通用材料,资源加成卡,神秘宝箱./n山地地形"		1800	1	7	1	0|997	18		0		3	20	3	0	T_FB_Name_Big_JinYang.img		0	1	0		0|0|0
1001	50011	1001	T_FB_Name_BeiHai.img	T_FB_Name_BeiHai.img	T_FB_Name_BeiHai_D.img	北海突围	孔融		弓箭兵、弩兵、重步兵、轻骑兵	水域	"掉落装备打造通用材料,资源加成卡,神秘宝箱./n水域地形"	击败太守孔融，击毁政厅即可获胜，征战天下内消耗的兵力会在返回领地时全部返还，需求等级24	1800	1	7	1	0|1000	20		0		3	20	3	0	T_FB_Name_Big_BeiHai.img		0	1	0		0|0|0
1002	50012	1001	T_FB_Name_DongLai.img	T_FB_Name_DongLai.img	T_FB_Name_DongLai_D.img	收复东莱	管正		弓箭兵、弩兵、重步兵、轻骑兵	水域	"掉落装备打造通用材料,资源加成卡,神秘宝箱./n水域地形"		1800	1	6	1	0|1001	22		0		3	20	3		T_FB_Name_Big_DongLai.img		0	1	0		0|0|0
1003	50013	1001	T_FB_Name_PingYuan.img	T_FB_Name_PingYuan.img	T_FB_Name_PingYuan_D.img	平原求援	袁谭		弓箭兵、弩兵、重步兵、轻骑兵	平原	"掉落装备打造通用材料,资源加成卡,神秘宝箱./n平原地形"		1800	1	3	1	0|1002	24		0		3	20	3		T_FB_Name_Big_PingYuan.img		0	1	0		0|0|0
1031	50038	1002	T_FB_Name_XiangYang.img	T_FB_Name_XiangYang.img	T_FB_Name_XiangYang_D.img	水淹七军	刘表		长戟兵，弩兵，轻骑兵，重步兵	水域	"掉落装备打造通用材料,30级装备打造材料.资源加成卡,神秘宝箱./n水域地形"	击败太守刘表，击毁政厅即可获胜，征战天下内消耗的兵力会在返回领地时全部返还，需求等级45	1800	1	8	1	0|1003	26		0		3	20	3	0	T_FB_Name_Big_XiangYang.img		0	1	0		0|0|0
1032	50039	1002	T_FB_Name_Wan.img	T_FB_Name_Wan.img	T_FB_Name_Wan_D.img	宛城闻讯	张绣		长戟兵，弩兵，重步兵，丹阳兵，弓箭兵	城郭	"掉落装备打造通用材料,30级装备打造材料.资源加成卡,神秘宝箱./n城郭地形"	击败太守张绣，击毁政厅即可获胜，征战天下内消耗的兵力会在返回领地时全部返还，需求等级46	1800	1	3	1	0|1031	28		0		3	20	3	0	T_FB_Name_Big_Wan.img		0	1	0		0|0|0
1033	50040	1002	T_FB_Name_ShangYong.img	T_FB_Name_ShangYong.img	T_FB_Name_ShangYong_D.img	上庸求援	申耽		轻骑兵，重步兵，弩兵	城郭	"掉落装备打造通用材料,30级装备打造材料.资源加成卡,神秘宝箱./n城郭地形"	击败太守申耽，击毁政厅即可获胜，征战天下内消耗的兵力会在返回领地时全部返还，需求等级47	1800	1	4	1	0|1032	30		0		3	20	3	0	T_FB_Name_Big_ShangYong.img		0	1	0		0|0|0
