id	Í­Ç®	¾­Ñé	¹¦Ñ«	ÀñÈ¯	±¸×¢	±¸×¢	±¸×¢
45	13	6	0	0	Ê§°Ü	0	
45	26	11	0	0	Ê¤Àû	1	1ÐÇ
45	0	0	10	0		2	2ÐÇ
45	0	0	0	5		3	3ÐÇ
997	31	8	0	0	Ê§°Ü	0	
997	62	15	0	0	Ê¤Àû	1	1ÐÇ
997	0	0	100	0	Ê¤Àû	2	2ÐÇ
997	0	0	0	5	Ê¤Àû	3	3ÐÇ
1000	49	302	0	0	Ê§°Ü	0	
1000	198	605	0	0	Ê¤Àû	1	
1000	0	0	150	0		2	
1000	0	0	0	5		3	
1001	55	305	0	0	Ê§°Ü	0	
1001	210	610	0	0	Ê¤Àû	1	
1001	0	0	200	0		2	
1001	0	0	0	5		3	
1002	61	307	0	0	Ê§°Ü	0	
1002	322	615	0	0	Ê¤Àû	1	
1002	0	0	250	0		2	
1002	0	0	0	5		3	
1003	67	310	0	0	Ê§°Ü	0	
1003	434	620	0	0	Ê¤Àû	1	
1003	0	0	300	0		2	
1003	0	0	0	5		3	
1031	292	312	0	0	Ê§°Ü	0	
1031	583	625	0	0	Ê¤Àû	1	
1031	0	0	650	0		2	
1031	0	0	0	10		3	
1032	299	315	0	0	Ê§°Ü	0	
1032	698	630	0	0	Ê¤Àû	1	
1032	0	0	700	0		2	
1032	0	0	0	10		3	
1033	307	317	0	0	Ê§°Ü	0	
1033	813	635	0	0	Ê¤Àû	1	
1033	0	0	800	0		2	
1033	0	0	0	10		3	
1034	314	320	0	0	Ê§°Ü	0	
1034	928	640	0	0	Ê¤Àû	1	
1034	0	0	900	0		2	
1034	0	0	0	15		3	
1040	429	322	0	0	Ê§°Ü	0	
1040	1057	645	0	0	Ê¤Àû	1	
1040	0	0	1500	0		2	
1040	0	0	0	15		3	
1041	438	325	0	0	Ê§°Ü	0	
1041	1175	650	0	0	Ê¤Àû	1	
1041	0	0	1600	0		2	
1041	0	0	0	15		3	
1042	447	337.5	0	0	Ê§°Ü	0	
1042	1293	675	0	0	Ê¤Àû	1	
1042	0	0	1700	0		2	
1042	0	0	0	15		3	
1043	456	375	0	0	Ê§°Ü	0	
1043	1411	750	0	0	Ê¤Àû	1	
1043	0	0	1800	0		2	
1043	0	0	0	15		3	
1044	465	407.5	0	0	Ê§°Ü	0	
1044	1529	815	0	0	Ê¤Àû	1	
1044	0	0	1900	0		2	
1044	0	0	0	20		3	
1045	474	440	0	0	Ê§°Ü	0	
1045	1647	880	0	0	Ê¤Àû	1	
1045	0	0	2000	0		2	
1045	0	0	0	20		3	
1046	483	472.5	0	0	Ê§°Ü	0	
1046	1765	945	0	0	Ê¤Àû	1	
1046	0	0	2100	0		2	
1046	0	0	0	20		3	
1047	492	505	0	0	Ê§°Ü	0	
1047	1883	1010	0	0	Ê¤Àû	1	
1047	0	0	2200	0		2	
1047	0	0	0	20		3	
1053	546	655	0	0	Ê§°Ü	0	
1053	1991	1310	0	0	Ê¤Àû	1	
1053	0	0	2800	0		2	
1053	0	0	0	20		3	
1054	555	680	0	0	Ê§°Ü	0	
1054	2109	1360	0	0	Ê¤Àû	1	
1054	0	0	2900	0		2	
1054	0	0	0	30		3	
1055	564	705	0	0	Ê§°Ü	0	
1055	2227	1410	0	0	Ê¤Àû	1	
1055	0	0	3000	0		2	
1055	0	0	0	30		3	
1056	573	730	0	0	Ê§°Ü	0	
1056	2345	1460	0	0	Ê¤Àû	1	
1056	0	0	3100	0		2	
1056	0	0	0	30		3	
1057	582	755	0	0	Ê§°Ü	0	
1057	2463	1510	0	0	Ê¤Àû	1	
1057	0	0	3200	0		2	
1057	0	0	0	30		3	
1058	688	780	0	0	Ê§°Ü	0	
1058	2575	1560	0	0	Ê¤Àû	1	
1058	0	0	3300	0		2	
1058	0	0	0	30		3	
1060	709	880	0	0	Ê§°Ü	0	
1060	2617	1760	0	0	Ê¤Àû	1	
1060	0	0	3500	0		2	
1060	0	0	0	30		3	
1061	719	930	0	0	Ê§°Ü	0	
1061	2738	1860	0	0	Ê¤Àû	1	
1061	0	0	3600	0		2	
1061	0	0	0	30		3	
1062	730	980	0	0	Ê§°Ü	0	
1062	2859	1960	0	0	Ê¤Àû	1	
1062	0	0	3700	0		2	
1062	0	0	0	30		3	
1067	892	1230	0	0	Ê§°Ü	0	
1067	2984	2460	0	0	Ê¤Àû	1	
1067	0	0	4200	0		2	
1067	0	0	0	50		3	
1068	904	1280	0	0	Ê§°Ü	0	
1068	3108	2560	0	0	Ê¤Àû	1	
1068	0	0	4300	0		2	
1068	0	0	0	50		3	
1069	916	1330	0	0	Ê§°Ü	0	
1069	3232	2660	0	0	Ê¤Àû	1	
1069	0	0	4400	0		2	
1069	0	0	0	50		3	
1070	928	1380	0	0	Ê§°Ü	0	
1070	3356	2760	0	0	Ê¤Àû	1	
1070	0	0	4500	0		2	
1070	0	0	0	50		3	
1071	940	1430	0	0	Ê§°Ü	0	
1071	3480	2860	0	0	Ê¤Àû	1	
1071	0	0	4600	0		2	
1071	0	0	0	50		3	
1072	952	1480	0	0	Ê§°Ü	0	
1072	3504	2960	0	0	Ê¤Àû	1	
1072	0	0	4700	0		2	
1072	0	0	0	50		3	
1073	964	1530	0	0	Ê§°Ü	0	
1073	3628	3060	0	0	Ê¤Àû	1	
1073	0	0	4800	0		2	
1073	0	0	0	50		3	
2000	0	0	0	0	Ê§°Ü	0	
2000	911	1617	0	0	Ê¤Àû	1	
2000	0	0	1800	0		2	
2000	0	0	0	15		3	
2001	0	0	0	0	Ê§°Ü	0	
2001	911	1839	0	0	Ê¤Àû	1	
2001	0	0	1800	0		2	
2001	0	0	0	15		3	
2002	0	0	0	0	Ê§°Ü	0	
2002	911	2083	0	0	Ê¤Àû	1	
2002	0	0	1800	0		2	
2002	0	0	0	15		3	
2003	0	0	0	0	Ê§°Ü	0	
2003	911	2285	0	0	Ê¤Àû	1	
2003	0	0	1800	0		2	
2003	0	0	0	15		3	
2004	0	0	0	0	Ê§°Ü	0	
2004	911	2498	0	0	Ê¤Àû	1	
2004	0	0	1800	0		2	
2004	0	0	0	15		3	
2005	0	0	0	0	Ê§°Ü	0	
2005	911	2723	0	0	Ê¤Àû	1	
2005	0	0	1800	0		2	
2005	0	0	0	15		3	
2006	0	0	0	0	Ê§°Ü	0	
2006	911	2962	0	0	Ê¤Àû	1	
2006	0	0	1800	0		2	
2006	0	0	0	15		3	
2007	0	0	0	0	Ê§°Ü	0	
2007	911	3213	0	0	Ê¤Àû	1	
2007	0	0	1800	0		2	
2007	0	0	0	15		3	
2008	0	0	0	0	Ê§°Ü	0	
2008	911	3576	0	0	Ê¤Àû	1	
2008	0	0	1800	0		2	
2008	0	0	0	15		3	
2009	0	0	0	0	Ê§°Ü	0	
2009	911	3576	0	0	Ê¤Àû	1	
2009	0	0	1800	0		2	
2009	0	0	0	15		3	
2010	0	0	0	0	Ê§°Ü	0	
2010	911	3576	0	0	Ê¤Àû	1	
2010	0	0	1800	0		2	
2010	0	0	0	15		3	
2011	0	0	0	0	Ê§°Ü	0	
2011	911	3576	0	0	Ê¤Àû	1	
2011	0	0	1800	0		2	
2011	0	0	0	15		3	
3000	159	129	0	0	Ê§°Ü	0	
3001	159	129	0	0	Ê§°Ü	0	
3002	159	129	0	0	Ê§°Ü	0	
3003	159	129	0	0	Ê§°Ü	0	
3004	159	129	0	0	Ê§°Ü	0	
3005	159	129	0	0	Ê§°Ü	0	
3006	159	129	0	0	Ê§°Ü	0	
3007	159	129	0	0	Ê§°Ü	0	
3008	159	129	0	0	Ê§°Ü	0	
3009	159	129	0	0	Ê§°Ü	0	
60101	20000	1000			Ê¤Àû	1	
60102	30000	1500			Ê¤Àû	1	
60103	48000	3200			Ê¤Àû	1	
60104	100000	6500			Ê¤Àû	1	
60105	180000	12000			Ê¤Àû	1	
3010	0	200	200	0	¹úÕ½ÌåÑé¸±±¾	0	
