´ÎÊý	Ôª±¦
1	5
2	11
3	17
4	23
5	31
6	39
7	47
8	57
9	68
10	80
11	93
12	107
13	123
14	140
15	159
16	180
17	203
18	228
19	256
20	286
21	320
22	357
23	398
24	442
25	492
26	546
27	605
28	671
29	743
30	822
31	910
32	1006
33	1111
34	1227
35	1355
36	1496
37	1650
38	1820
39	2007
40	2213
41	2439
42	2688
43	2962
44	3263
45	3595
46	3959
47	4360
48	4801
49	5286
50	5820
51	6406
52	7052
53	7762
54	8544
55	9403
56	10348
57	11388
58	12532
59	13790
60	15174
61	16696
62	18371
63	20213
64	22240
65	24469
66	26920
67	29617
68	32584
69	35848
70	39437
71	43386
72	47730
73	52508
74	57763
75	63545
76	69904
77	76900
78	84595
79	93059
80	102370
