id	类型	数量	等级	商店价格	name	TAB_VERSION
0	10	7520|0|1	10	200	匠造牌	
1	10	7521|0|1	10	150	征募符	
2	10	7522|0|1	10	40	督战令	
3	10	7523|0|1	12	50	军团令	
4	10	7554|0|1	10	100	贡酒	
5	10	7555|0|1	35	100	公输帖	
6	10	7526|0|1	30	30	行囊令	
7	10	3403|0|1	55	400	八卦石.天（四级）	
8	10	3413|0|1	55	400	八卦石.地（四级）	
9	10	3423|0|1	55	400	八卦石.风（四级）	
10	10	3433|0|1	55	400	八卦石.雷（四级）	
11	10	4200|0|1	25	80	御神佩	
12	10	4201|0|1	25	80	受命圭	
13	10	4202|0|1	25	100	养魂玉	
14	10	4203|0|1	35	200	锁魄琥	
15	10	4204|0|1	45	300	筑影瑗	
16	10	4205|0|1	55	400	凝血璧	
17	10	2131|0|1	35	500	五火烈焰盔	
18	10	2132|0|1	35	500	狮纹吞云铠	
19	10	2133|0|1	35	500	龙舌弓	
20	10	2134|0|1	35	500	公羊	
21	10	2135|0|1	35	500	步景	
